name	category	source	size	speed	ac	attack	ability_scores	special_qualities	starting_stats	advancement	flavor	monster_url	url
Bear	Animal	PRPG Core Rulebook pg. 53	Small	40 ft.	+2 natural armor	bite (1d4), 2 claws (1d3)	Str 15, Dex 15, Con 13, Int 2, Wis 12, Cha 6	low-light vision, scent.	Size Small; Speed 40 ft.; AC +2 natural armor; Attack bite (1d4), 2 claws (1d3); Ability Scores Str 15, Dex 15, Con 13, Int 2, Wis 12, Cha 6; Special Qualities low-light vision, scent.	4th-Level Advancement: Size Medium; Attack bite (1d6), 2 claws (1d4); Ability Scores Str +4, Dex -2, Con +2.	Broad, powerful muscles move beneath this massive bear’s brown fur, promising both speed and lethal force.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Grizzly%20Bear	https://aonprd.com/DruidCompanions.aspx?ItemName=Bear
Beetle, Giant	Animal, Vermin	Ultimate Magic pg. 36	Small	20 ft., fly 20 ft. (poor)	+6 natural armor	bite (1d6)	Str 13, Dex 12, Con 13, Int —, Wis 11, Cha 4	darkvision	Size Small; Speed 20 ft., fly 20 ft. (poor); AC +6 natural armor; Attack bite (1d6); Ability Scores Str 13, Dex 12, Con 13, Int —, Wis 11, Cha 4; Special Qualities darkvision; CMD +8 vs. trip.	4th-Level Advancement: Size Medium; Attack bite (1d8); Ability Scores Str +4, Dex -2, Con +2; Special Attacks trample (1d4).	With a sleek body and huge mandibles raised in a threatening pose, this large beetle stands firm in defense of its territory.		https://aonprd.com/DruidCompanions.aspx?ItemName=Beetle,%20Giant
Bird (Eagle/Hawk/Owl)	Animal	PRPG Core Rulebook pg. 53	Small	10 ft., fly 80 ft. (average)	+1 natural armor	bite (1d4), 2 talons (1d4)	Str 10, Dex 15, Con 12, Int 2, Wis 14, Cha 6	low-light vision.	Size Small; Speed 10 ft., fly 80 ft. (average); AC +1 natural armor; Attack bite (1d4), 2 talons (1d4); Ability Scores Str 10, Dex 15, Con 12, Int 2, Wis 14, Cha 6; Special Qualities low-light vision.	4th-Level Advancement: Ability Scores Str +2, Con +2.	This magnificent bird of prey has dark feathers save for those on its head, which are pure white.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Eagle	https://aonprd.com/DruidCompanions.aspx?ItemName=Bird%20(Eagle/Hawk/Owl)
Blackwisp Egret	Animal	Pathfinder #91: Battle of Bloodmarch Hills pg. 83	Small	30 ft., fly 30 ft. (poor)	+1 natural armor	bite (1d4)	Str 8, Dex 17, Con 8, Int 2, Wis 13, Cha 5	low-light vision.	Size Small; Speed 30 ft., fly 30 ft. (poor); AC +1 natural armor; Attack bite (1d4); Ability Scores Str 8, Dex 17, Con 8, Int 2, Wis 13, Cha 5; Special Qualities low-light vision.	4th-Level Advancement: Size Medium; Attack bite (1d6); Ability Scores Str +4, Dex -2, Con +2; Special Qualities deceptive target.	This jet-black bird has a long, hooked beak. Its piercing orange eyes reflect any light that hits them, making them appear to glow ominously.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Blackwisp%20Egret	https://aonprd.com/DruidCompanions.aspx?ItemName=Blackwisp%20Egret
Blue Whale	Animal	Bestiary 5 pg. 312	Medium	swim 80 ft.	+1 natural armor	tail slap (1d8)	Str 11, Dex 19, Con 10, Int 2, Wis 14, Cha 6	low-light vision, hold breath.	Size Medium; Speed swim 80 ft.; AC +1 natural armor; Attack tail slap (1d8); Ability Scores Str 11, Dex 19, Con 10, Int 2, Wis 14, Cha 6; Special Qualities low-light vision, hold breath.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack tail slap (2d6); Ability Scores Str +8, Dex -2, Con +4.	This massive aquatic mammal has bluish-gray coloration, a wide fluke tail, and a wide mouth filled with layers of baleen.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Blue%20Whale	https://aonprd.com/DruidCompanions.aspx?ItemName=Blue%20Whale
Boar	Animal	PRPG Core Rulebook pg. 53	Small	40 ft.	+6 natural armor	gore (1d6)	Str 13, Dex 12, Con 15, Int 2, Wis 13, Cha 4	low-light vision, scent.	Size Small; Speed 40 ft.; AC +6 natural armor; Attack gore (1d6); Ability Scores Str 13, Dex 12, Con 15, Int 2, Wis 13, Cha 4; Special Qualities low-light vision, scent.	4th-Level Advancement: Size Medium; Attack gore (1d8); Ability Scores Str +4, Dex -2, Con +2; Special Attacks ferocity.	This ill-tempered beast’s tiny, bloodshot eyes glare angrily above a mouth filled with sharp tusks.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Boar	https://aonprd.com/DruidCompanions.aspx?ItemName=Boar
Bristle Boar	Animal	Belkzen, Hold of the Orc Hordes pg. 55	Small	40 ft.	+6 natural armor	gore (1d6)	Str 15, Dex 10, Con 15, Int 2, Wis 11, Cha 4	low-light vision.	Size Small; Speed 40 ft.; AC +6 natural armor; Attack gore (1d6); Ability Scores Str 15, Dex 10, Con 15, Int 2, Wis 11, Cha 4; Special Qualities low-light vision.	4th-Level Advancement: Size Medium; Attack gore (1d8); Ability Scores Str +4, Dex -2, Con +2; Special Attacks spines (Those hit by a bristle boar’s gore attack must succeed at a Reflex saving throw to avoid being speared by the dangerously sharp spines around its head and neck. Failure results in 1d4 points of piercing damage.).	The vicious spines surrounding this boar’s head are almost as unnerving as the wild look in its eyes.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Bristle%20Boar	https://aonprd.com/DruidCompanions.aspx?ItemName=Bristle%20Boar
Brontotherium	Animal	Bestiary 6 pg. 311	Medium	40 ft.	+8 natural armor	slam (1d10)	Str 12, Dex 15, Con 12, Int 2, Wis 17, Cha 7	low-light vision, scent.	Size Medium; Speed 40 ft.; AC +8 natural armor; Attack slam (1d10); Ability Scores Str 12, Dex 15, Con 12, Int 2, Wis 17, Cha 7; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack slam (2d6); Ability Scores Str +8, Dex -2, Con +4; Special Qualities powerful charge (slam), trample.	This stocky quadruped’s lowered head puts its intimidating Y-shaped horn on full display.		https://aonprd.com/DruidCompanions.aspx?ItemName=Brontotherium
Bull of Zagresh	Animal	Belkzen, Hold of the Orc Hordes pg. 55	Medium	40 ft.	+4 natural armor	gore (1d8)	Str 15, Dex 14, Con 13, Int 2, Wis 11, Cha 4	low-light vision.	Size Medium; Speed 40 ft.; AC +4 natural armor; Attack gore (1d8); Ability Scores Str 15, Dex 14, Con 13, Int 2, Wis 11, Cha 4; Special Qualities low-light vision.	4th-Level Advancement: Size Large; AC +3 natural armor; Attack gore (2d6); Ability Scores Str +8, Dex -2, Con +4; Special Attacks trample.	This immense bovine has horns reminiscent of a stag, with daggerlike points spreading more than fifteen feet across.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Bull%20of%20Zagresh	https://aonprd.com/DruidCompanions.aspx?ItemName=Bull%20of%20Zagresh
Bustard	Animal	Ultimate Wilderness pg. 178	Medium	20 ft., fly 50 ft. (poor)	+2 natural armor	bite (1d6), 2 talons (1d4)	Str 13, Dex 14, Con 13, Int 2, Wis 13, Cha 5	low-light vision.	Size Medium; Speed 20 ft., fly 50 ft. (poor); AC +2 natural armor; Attack bite (1d6), 2 talons (1d4); Ability Scores Str 13, Dex 14, Con 13, Int 2, Wis 13, Cha 5; Special Qualities low-light vision.	4th-Level Advancement: Attack Str +2, Con +2.	The bustard is a sizable bird with long legs. Bustards can fly, but they do so relatively poorly and prefer to walk or run.		https://aonprd.com/DruidCompanions.aspx?ItemName=Bustard
Camel	Animal	PRPG Core Rulebook pg. 54	Large	50 ft.	+1 natural armor	bite (1d4) or spit (ranged touch attack, target is sickened for 1d4 rounds, range 10 feet)	Str 18, Dex 16, Con 14, Int 2, Wis 11, Cha 4	low-light vision, scent.	Size Large; Speed 50 ft.; AC +1 natural armor; Attack bite (1d4) or spit (ranged touch attack, target is sickened for 1d4 rounds, range 10 feet); Ability Scores Str 18, Dex 16, Con 14, Int 2, Wis 11, Cha 4; Special Qualities low-light vision, scent.	4th-Level Advancement: Ability Scores Str +2, Con +2.	This somewhat irritated-looking, one-humped camel has been outfitted with a bridle and saddle.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Camel	https://aonprd.com/DruidCompanions.aspx?ItemName=Camel
Cameroceras	Animal	Bestiary 5 pg. 312	Medium	5 ft., swim 20 ft., jet 90 ft.	+1 natural armor	tentalces (1d4 plus grab), bite (1d3)	Str 14, Dex 15, Con 11, Int 2, Wis 12, Cha 2	low-light vision, pressure adaptation.	Size Medium; Speed 5 ft., swim 20 ft., jet 90 ft.; AC +1 natural armor; Attack tentalces (1d4 plus grab), bite (1d3); Ability Scores Str 14, Dex 15, Con 11, Int 2, Wis 12, Cha 2; Special Qualities low-light vision, pressure adaptation.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack tentacles (1d6 plus grab), bite (1d4); Ability Scores Str +4, Dex -2, Con +2; Special Attacks constrict (1d6).	Emerging from the open end of a long, conical shell, this huge creature’s unblinking eyes peer from above a mass of tentacles.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Cameroceras	https://aonprd.com/DruidCompanions.aspx?ItemName=Cameroceras
Capybara	Animal	Ultimate Wilderness pg. 179	Medium	30 ft., swim 20 ft.	+1 natural armor	bite (1d6)	Str 12, Dex 15, Con 12, Int 2, Wis 13, Cha 5	low-light vision, scent.	Size Medium; Speed 30 ft., swim 20 ft.; AC +1 natural armor; Attack bite (1d6); Ability Scores Str 12, Dex 15, Con 12, Int 2, Wis 13, Cha 5; Special Qualities low-light vision, scent.	4th-Level Advancement: Ability Scores Str +2, Con +2.	This large, brown-furred rodent is equally at home on land or in the water, and is often found near lakes and rivers.		https://aonprd.com/DruidCompanions.aspx?ItemName=Capybara
Cat, Big (Lion, Tiger)	Animal	PRPG Core Rulebook pg. 54	Medium	40 ft.	+1 natural armor	bite (1d6), 2 claws (1d4)	Str 13, Dex 17, Con 13, Int 2, Wis 15, Cha 10	low-light vision, scent.	Size Medium; Speed 40 ft.; AC +1 natural armor; Attack bite (1d6), 2 claws (1d4); Ability Scores Str 13, Dex 17, Con 13, Int 2, Wis 15, Cha 10; Special Attacks rake (1d4); Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack bite (1d8), 2 claws (1d6); Ability Scores Str +8, Dex -2, Con +4; Special Attacks grab, pounce, rake (1d6).	This great cat’s muscles flex visibly under its skin as it bares its fangs and shakes its thick mane of hair.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Lion	https://aonprd.com/DruidCompanions.aspx?ItemName=Cat,%20Big%20(Lion,%20Tiger)
Cat, Small (Cheetah, Leopard)	Animal	PRPG Core Rulebook pg. 54	Small	50 ft.	+1 natural armor	bite (1d4 plus trip), 2 claws (1d2)	Str 12, Dex 21, Con 13, Int 2, Wis 12, Cha 6	low-light vision, scent.	Size Small; Speed 50 ft.; AC +1 natural armor; Attack bite (1d4 plus trip), 2 claws (1d2); Ability Scores Str 12, Dex 21, Con 13, Int 2, Wis 12, Cha 6; Special Qualities low-light vision, scent.	4th-Level Advancement: Size Medium; Attack bite (1d6 plus trip), 2 claws (1d3); Ability Scores Str +4, Dex -2, Con +2; Special Qualities sprint.	This large, sleek feline has a golden coat spotted with black. Its long and powerful legs are obviously capable of great speed.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Cheetah	https://aonprd.com/DruidCompanions.aspx?ItemName=Cat,%20Small%20(Cheetah,%20Leopard)
Caterpillar, Giant	Animal, Vermin	Ultimate Wilderness pg. 184	Small	30 ft. climb 30 ft.	+2 natural armor	bite (1d6), bristles* (1d4 plus poison)	Str 14, Dex 13, Con 13, Int —, Wis 11, Cha 2	compression, darkvision 60 ft.	Size Small; Speed 30 ft. climb 30 ft.; AC +2 natural armor; Attack bite (1d6), bristles* (1d4 plus poison); Ability Scores Str 14, Dex 13, Con 13, Int —, Wis 11, Cha 2; Special Attacks bristles (a creature attacking the giant caterpillar with a natural attack or non-reach melee weapon must succeed at a Reflex save or take damage as if the caterpillar had struck the creature with its bristles attack; Dex-based DC with a +2 racial bonus), poison (frequency 1 round [4]; effect 1d2 Str damage; cure 1 save; Con-based DC); Special Qualities compression, darkvision 60 ft.; CMD can't be tripped.	4th-Level Advancement: Size Medium; AC +1 natural armor; Attack bite (1d8), bristles* (1d6 plus poison); Ability Scores Str +4, Dex -2, Con +2<br>*This is a secondary natural attack that deals piercing damage.	This many-legged wormlike creature is a larval form of a moth or butterfly, but as long as it remains a vermin companion, it will not go through this metamorphosis.		https://aonprd.com/DruidCompanions.aspx?ItemName=Caterpillar,%20Giant
Cattle	Animal	Ultimate Wilderness pg. 179	Medium	40 ft.	+2 natural armor	gore (1d6)	Str 14, Dex 12, Con 12, Int 2, Wis 11, Cha 4	low-light vision.	Size Medium; Speed 40 ft.; AC +2 natural armor; Attack gore (1d6); Ability Scores Str 14, Dex 12, Con 12, Int 2, Wis 11, Cha 4; Special Qualities low-light vision.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack gore (1d8); Ability Scores Str +8, Dex -2, Con +4; Special Qualities powerful charge (gore, 1d8), trample.	Commonly seen as a docile farm animal, an ill-tempered bull or cow can be an effective animal companion as well.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Aurochs	https://aonprd.com/DruidCompanions.aspx?ItemName=Cattle
Cave Salamander	Animal	Monster Codex pg. 128	Medium	40 ft.	+2 natural armor	bite (1d6)	Str 13, Dex 12, Con 13, Int 1, Wis 12, Cha 4	darkvision 60 ft..	Size Medium; Speed 40 ft.; AC +2 natural armor; Attack bite (1d6); Ability Scores Str 13, Dex 12, Con 13, Int 1, Wis 12, Cha 4; Special Qualities darkvision 60 ft..	4th-Level Advancement: Ability Scores Str +2, Con +2; Special Attacks combat training (see the Handle Animal skill on page 97 of the Core Rulebook).	This immense lizard moves with a slow but relentless gait. Its feet end in large talons, and ropes of drool hang from its toothy maw.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Monitor%20Lizard	https://aonprd.com/DruidCompanions.aspx?ItemName=Cave%20Salamander
Centipede, Giant	Animal, Vermin	Ultimate Magic pg. 36	Small	20 ft., climb 20 ft.	+2 natural armor	bite (1d4 plus poison)	Str 8, Dex 17, Con 11, Int —, Wis 10, Cha 2	darkvision 60 ft	Size Small; Speed 20 ft., climb 20 ft.; AC +2 natural armor; Attack bite (1d4 plus poison); Ability Scores Str 8, Dex 17, Con 11, Int —, Wis 10, Cha 2; Special Attacks poison (frequency 1 round [6], effect 1 Dex damage, cure 1 save, Con-based DC); Special Qualities darkvision 60 ft; CMD can't be tripped.	4th-Level Advancement: Size Medium; Attack bite (1d6 plus poison); Ability Scores Str +4, Dex -2, Con +2.	This lengthy, segmented horror writhes and twists, pulsing its venomous mandibles in search of prey.	https://aonprd.com/MonsterDisplay.aspx?ItemName=Giant%20Centipede	https://aonprd.com/DruidCompanions.aspx?ItemName=Centipede,%20Giant
Ceratosaurus	Animal	Bestiary 5 pg. 312	Medium	40 ft.	+4 natural armor	bite (1d8)	Str 14, Dex 17, Con 11, Int 2, Wis 11, Cha 10	low-light vision, scent, trip.	Size Medium; Speed 40 ft.; AC +4 natural armor; Attack bite (1d8); Ability Scores Str 14, Dex 17, Con 11, Int 2, Wis 11, Cha 10; Special Qualities low-light vision, scent, trip.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack bite (2d6); Ability Scores Str +8, Dex -2, Con +4; Special Qualities blood rage, ferocity.	Bladelike horns jut from the snout and eye ridges of this toothy, bipedal dinosaur.		https://aonprd.com/DruidCompanions.aspx?ItemName=Ceratosaurus
Chalicotherium	Animal	Bestiary 5 pg. 312	Medium	30 ft., climb 30 ft.	+4 natural armor	2 claws (1d4)	Str 12, Dex 14, Con 13, Int 2, Wis 13, Cha 3	low-light vision, scent.	Size Medium; Speed 30 ft., climb 30 ft.; AC +4 natural armor; Attack 2 claws (1d4); Ability Scores Str 12, Dex 14, Con 13, Int 2, Wis 13, Cha 3; Special Qualities low-light vision, scent.	7th-Level Advancement: Size Large; AC +2 natural armor; Attack 2 claws (1d6); Ability Scores Str +8, Dex -2, Con +4; Special Attacks red (2 claws, 1d6).	This huge, rather slow-moving and slothlike creature has long, clawed forelimbs and short rear legs.		https://aonprd.com/DruidCompanions.aspx?ItemName=Chalicotherium
Chimpanzee	Animal	Ultimate Wilderness pg. 179	Small	30 ft., climb 30 ft.	+1 natural armor	bite (1d4), slam (1d4 plus grab)	Str 13, Dex 17, Con 12, Int 2, Wis 12, Cha 7	low-light vision, scent.	Size Small; Speed 30 ft., climb 30 ft.; AC +1 natural armor; Attack bite (1d4), slam (1d4 plus grab); Ability Scores Str 13, Dex 17, Con 12, Int 2, Wis 12, Cha 7; Special Qualities low-light vision, scent.	4th-Level Advancement: Size Medium; Attack bite (1d6), slam (1d4 plus grab); Ability Scores Str +4, Dex -2, Con +2.	This small primate is more dangerous than its size suggests.		https://aonprd.com/DruidCompanions.aspx?ItemName=Chimpanzee
