name	types	source	description	prerequisites	benefit	normal	special	mythic	combat_trick	url
Champion of Destruction	Alignment	Pathfinder Unchained pg. 98	You would destroy the world if it were within your power.	10 Hit Dice, chaotic evil alignment.	You can store a number of affirmations up to your Charisma bonus (minimum 1) to use at any time, not just within the next 24 hours. You can also use an affirmation to treat an effect on you from a spell, magic item, or other alignment-based effect as if you were neither chaotic nor evil. You can choose to do so after any attack roll hits you with such an effect or you fail a saving throw against such an effect. Lastly, you gain a +2 bonus on weapon and spell damage rolls against lawful and good creatures (or +4 if the creature is both lawful and good). This is an alignment-based effect.					https://aonprd.com/FeatDisplay.aspx?ItemName=Champion%20of%20Destruction
Champion of Freedom	Alignment	Pathfinder Unchained pg. 99	You believe that beings can thrive only when free.	10 Hit Dice, chaotic good alignment.	You can store a number of affirmations up to your Charisma bonus (minimum 1) to use at any time, not just within the next 24 hours. You can also use an affirmation to gain the effects of freedom of movement for 1 round. Lastly, you gain a +2 bonus on weapon and spell damage rolls against evil and lawful creatures (or +4 if the creature is both evil and lawful). This is an alignment-based effect.					https://aonprd.com/FeatDisplay.aspx?ItemName=Champion%20of%20Freedom
Champion of Grace	Alignment	Pathfinder Unchained pg. 99	It is your mission to do as much good as possible.	10 Hit Dice, neutral good alignment.	You can store a number of affirmations up to your Charisma bonus (minimum 1) to use at any time, not just within the next 24 hours. You can use an affirmation and touch a creature as a standard action to remove a single condition or harmful effect from the list of paladin mercies (using your Hit Dice as your paladin level to determine which mercies you can use and their effects). Lastly, you gain a +2 bonus on weapon and spell damage rolls against evil creatures. This is an alignment-based effect.					https://aonprd.com/FeatDisplay.aspx?ItemName=Champion%20of%20Grace
Champion of Malevolence	Alignment	Pathfinder Unchained pg. 99	Things would be better if everyone just did as you wished.	10 Hit Dice, neutral evil alignment.	You can store a number of affirmations up to your Charisma bonus (minimum 1) to use at any time, not just within the next 24 hours. You can use an affirmation and touch a creature as a standard action to bestow a single condition or harmful effect from the list of antipaladin cruelties (using your Hit Dice as your antipaladin level to determine which cruelties you can use and their effects). Lastly, you gain a +2 bonus on weapon and spell damage rolls against good creatures. This is an alignment-based effect.					https://aonprd.com/FeatDisplay.aspx?ItemName=Champion%20of%20Malevolence
Champion of Righteousness	Alignment	Pathfinder Unchained pg. 99	You know that good must be tempered with order if it’s going to prevail in the long term.	10 Hit Dice, lawful good alignment.	You can store a number of affirmations up to your Charisma bonus (minimum 1) to use at any time, not just within the next 24 hours. You can use an affirmation to treat the effect of a spell, magic item, or other alignment-based effect on you as if you were neither lawful nor good. You can choose to do so after any attack roll hits you with such an effect or you fail a saving throw against such an effect. Lastly, you gain a +2 bonus on weapon and spell damage rolls against chaotic and evil creatures (or +4 if the creature is both chaotic and evil). This is an alignment-based effect.					https://aonprd.com/FeatDisplay.aspx?ItemName=Champion%20of%20Righteousness
Champion of Tranquility	Alignment	Pathfinder Unchained pg. 99	The harmony of law is your highest ideal.	10 Hit Dice, lawful neutral alignment.	You can store a number of affirmations up to your Charisma bonus (minimum 1) to use at any time, not just within the next 24 hours. You can use an affirmation to cast calm emotions as a spell-like ability as a standard action, with a caster level equal to your Hit Dice. Lastly, you gain a +2 bonus on weapon and spell damage rolls against chaotic creatures. This is an alignment-based effect.					https://aonprd.com/FeatDisplay.aspx?ItemName=Champion%20of%20Tranquility
Champion of Tyranny	Alignment	Pathfinder Unchained pg. 99	You must beat down the masses to have true order.	10 Hit Dice, lawful evil alignment.	You can store a number of affirmations up to your Charisma bonus (minimum 1) to use at any time, not just within the next 24 hours. You can use an affirmation to cast hold person as a spell-like ability as a standard action, with a caster level equal to your Hit Dice. You gain a +2 bonus on weapon and spell damage rolls against chaotic and good creatures (or +4 if the creature is both chaotic and good). This is an alignment-based effect.					https://aonprd.com/FeatDisplay.aspx?ItemName=Champion%20of%20Tyranny
Armor Material Expertise	Armor Mastery, Combat	Armor Master's Handbook pg. 16	You tap into the potential of your armor’s special material.	Base attack bonus +6 or fighter level 4th, armor training class feature.	When wearing armor made of one of the materials listed below, you can use the listed ability twice per day (unless otherwise stated).<br>Adamantine: As an immediate action after being struck by an attack, you convert half the lethal damage of the attack into nonlethal damage.<br>AngelskinUE: As a swift action, you shine with bright light as daylight for 1 round.<br>Darkleaf ClothUE: As a swift action, you gain the woodland stride druid class feature for 1 minute.<br>Dragonhide: As an immediate action when you take energy damage of the same type to which the dragonhide armor is immune, you reduce the damage taken by 10 hit points.<br>Elysian BronzeUE: As an immediate action after being struck by an attack from a magical beast or monstrous humanoid, you convert half the lethal damage of the attack into nonlethal damage.<br>Fire-Forged SteelUE or Frost-Forged SteelUE: As a swift action, any unarmed strikes, shield bashes, or attacks with a spiked gauntlet or armor spikes you make are treated as having the flaming special ability (for fire-forged steel) or the frost special ability (for frost-forged steel) for 1 minute.<br>Horacalcum (Pathfinder Adventure Path #61: Shards of Sin): Once per day as a swift action, you can grant yourself the benefits of haste for 1 round.<br>Living SteelUE: As an immediate action after being struck by an attack with a metal weapon, you can use the living steel’s ability to damage metal weapons, as if the attacker had rolled a natural 1 on the attack.<br>Mithral: As an immediate action, you gain spell resistance against transmutation spells equal to 5 + the armor’s enhancement bonus + your character level for 1 round.<br>Noqual (Pathfinder Adventure Path #61: Shards of Sin): The armor’s resistance bonus on saves increases to +4 for 1 round.					https://aonprd.com/FeatDisplay.aspx?ItemName=Armor%20Material%20Expertise
Armor Material Mastery	Armor Mastery, Combat	Armor Master's Handbook pg. 16	You bring the most out of your armor’s special material.	Armor Material Expertise, base attack bonus +11 or fighter level 8th, armor training class feature.	You can use the ability granted by Armor Material Expertise two additional times per day.					https://aonprd.com/FeatDisplay.aspx?ItemName=Armor%20Material%20Mastery
Combat Reflexes	Combat	PRPG Core Rulebook pg. 119	You can make additional attacks of opportunity.		You may make a number of additional attacks of opportunity per round equal to your Dexterity bonus. With this feat, you may also make attacks of opportunity while flat-footed.	A character without this feat can make only one attack of opportunity per round and can't make attacks of opportunity while flat-footed.	The Combat Reflexes feat does not allow a rogue to use her opportunist ability more than once per round.	You strike viciously whenever your foe gives you an opening.<br>Prerequisites: Combat Reflexes.<br>Benefit: You can make any number of additional attacks of opportunity per round. As a swift action, you can expend one use of mythic power to, until the start of your next turn, make attacks of opportunity against foes you’ve already made attacks of opportunity against this round if they provoke attacks of opportunity from you by moving.		https://aonprd.com/FeatDisplay.aspx?ItemName=Combat%20Reflexes
Cushioning Armor	Armor Mastery, Combat	Armor Master's Handbook pg. 16	You twist in your armor, allowing it to mitigate your fall.	Armor training class feature, proficiency with medium or heavy armor.	When you take falling damage, you can direct half of the damage to your armor. This damage ignores the armor’s hardness.					https://aonprd.com/FeatDisplay.aspx?ItemName=Cushioning%20Armor
Greater Ironclad Reactions	Armor Mastery, Combat	Armor Master's Handbook pg. 16	You are able to quickly react to attacks.	Combat Reflexes, Ironclad Reactions, base attack bonus +11 or fighter level 8th, armor trainingclass feature, proficiency with medium armor.	You can use Ironclad Reactions more than once per round, but not more than once for each act you take that provokes an attack of opportunity. Each 5-foot step you take still counts as expending one use of an attack of opportunity.					https://aonprd.com/FeatDisplay.aspx?ItemName=Greater%20Ironclad%20Reactions
Imposing Bearing	Armor Mastery, Combat	Armor Master's Handbook pg. 17	Your armor allows you to push your opponents around.	Poised Bearing, base attack bonus +11 or fighter level 8th, armor training class feature, proficiency with heavy armor.	You treat your size as two categories larger for the purposes of determining the size of creatures against which you can attempt bull rush, dragAPG, overrun, and trip combat maneuvers.					https://aonprd.com/FeatDisplay.aspx?ItemName=Imposing%20Bearing
Intense Blows	Armor Mastery, Combat	Armor Master's Handbook pg. 17	Your forceful blows and your armor’s weight make you more difficult to hinder in combat.	Str 13, Power Attack, base attack bonus +6 or fighter level 4th, armor training class feature, proficiency with heavy armor.	When you are using Power Attack, you gain a +1 bonus to your CMD until the beginning of your next turn. When your base attack bonus reaches +4, and every 4 points thereafter, this bonus increases by another 1.					https://aonprd.com/FeatDisplay.aspx?ItemName=Intense%20Blows
Ironclad Reactions	Armor Mastery, Combat	Armor Master's Handbook pg. 17	You are able to quickly react to attacks.	Base attack bonus +6 or fighter level 4th, armor training class feature, proficiency with medium armor.	Once per round when a foe successfully hits you with an attack of opportunity, you can expend a use of an attack of opportunity to take a 5-foot step. You can do this even if you have already taken a 5-foot step.					https://aonprd.com/FeatDisplay.aspx?ItemName=Ironclad%20Reactions
Knocking Blows	Armor Mastery, Combat	Armor Master's Handbook pg. 17	The weight of your blows overwhelms your opponents.	Str 13, Intense Blows, Power Attack, base attack bonus +11 or fighter level 8th, armor training class feature, proficiency with heavy armor.	If you hit a creature that is no more than one size category larger than you with a Power Attack, the creature you attacked is also knocked off balance. Until the beginning of your next turn, it takes a –4 penalty to its CMD against combat maneuvers that move it or knock it prone.					https://aonprd.com/FeatDisplay.aspx?ItemName=Knocking%20Blows
Poised Bearing	Armor Mastery, Combat	Armor Master's Handbook pg. 17	Your armor’s weight gives you stable footing.	Base attack bonus +6 or fighter level 4th, armor training class feature, proficiency with medium or heavy armor.	You treat your size as one category larger for the purposes of determining the size of creatures against which you can attempt bull rush, dragAPG, overrun, and trip combat maneuvers.					https://aonprd.com/FeatDisplay.aspx?ItemName=Poised%20Bearing
Power Attack	Combat	PRPG Core Rulebook pg. 131	You can make exceptionally deadly melee attacks by sacrificing accuracy for strength.	Str 13, base attack bonus +1.	You can choose to take a –1 penalty on all melee attack rolls and combat maneuver checks to gain a +2 bonus on all melee damage rolls. This bonus to damage is increased by half (+50%) if you are making an attack with a two-handed weapon, a one handed weapon using two hands, or a primary natural weapon that adds 1-1/2 times your Strength modifier on damage rolls. This bonus to damage is halved (–50%) if you are making an attack with an off-hand weapon or secondary natural weapon. When your base attack bonus reaches +4, and every 4 points thereafter, the penalty increases by –1 and the bonus to damage increases by +2. You must choose to use this feat before making an attack roll, and its effects last until your next turn. The bonus damage does not apply to touch attacks or effects that do not deal hit point damage.			Your attacks are truly devastating.<br>Prerequisites: Power Attack.<br>Benefit: When you use Power Attack, you gain a +3 bonus on melee damage rolls instead of +2. When your base attack bonus reaches +4 and every 4 points thereafter, the amount of bonus damage increases by +3 instead of +2. In addition, the bonus damage from this feat is doubled on a critical hit, before it’s multiplied by the weapon’s critical multiplier.<br>You can expend one use of mythic power when you activate Power Attack to ignore the penalties on melee attack rolls and combat maneuver checks for 1 minute.		https://aonprd.com/FeatDisplay.aspx?ItemName=Power%20Attack
Secured Armor	Armor Mastery, Combat	Armor Master's Handbook pg. 17	You are adept at using your armor to cover your most vulnerable areas.	Base attack bonus +11 or fighter level 8th, armor training class feature, proficiency with medium or heavy armor.	When you are hit by a confirmed critical hit or a sneak attack, there is a 25% chance that the critical hit or sneak attack is negated and damage is instead rolled normally.		This chance stacks with the light fortification and moderate fortification armor special abilities.			https://aonprd.com/FeatDisplay.aspx?ItemName=Secured%20Armor
Sprightly Armor	Armor Mastery, Combat	Armor Master's Handbook pg. 17	You make the most of your armor’s magical capabilities.	Dex 13, base attack bonus +11 or fighter level 8th, armor training class feature, proficiency with light armor.	You add your armor’s enhancement bonus as a bonus on your initiative checks.					https://aonprd.com/FeatDisplay.aspx?ItemName=Sprightly%20Armor
Bulette Charge Style	Armor Style, Combat, Style	Armor Master's Handbook pg. 10	You use the weight of your armor to enhance the momentum of your charge.	Str 13, Improved Overrun, Power Attack, proficiency with heavy armor.	While using this style, you gain a +4 bonus on combat maneuver checks to overrun an opponent. Any magic ability or material that reduces your armor check penalty also reduces the bonus you gain for this style.		A character with the armor training class feature can use Bulette Charge Style while wearing any type of armor with which she is proficient. Medium armor grants a +3 bonus, and light armor grants a +2 bonus.			https://aonprd.com/FeatDisplay.aspx?ItemName=Bulette%20Charge%20Style
Bulette Leap	Armor Style, Combat	Armor Master's Handbook pg. 10	You can shove aside multiple opponents while leaping into the air.	Str 15, Bulette Charge Style, Improved Overrun, Power Attack, proficiency with heavy armor.	While using Bulette Charge Style, you gain a bonus on Acrobatics checks to jump equal to your Strength bonus. Additionally, when you perform an overrun combat maneuver, you can attempt to overrun multiple foes, but you take a cumulative –2 penalty on each successive overrun attempt in the same round. If an overrun attempt fails, you cannot make any further attempts until your next round.					https://aonprd.com/FeatDisplay.aspx?ItemName=Bulette%20Leap
Bulette Rampage	Armor Style, Combat	Armor Master's Handbook pg. 10	You are able to channel your enhanced momentum to deal incredible damage to multiple foes.	Str 15, Bulette Charge Style, Bulette Leap, Improved Overrun, Power Attack, proficiency with heavy armor.	While you’re using Bulette Charge Style, whenever you succeed at an overrun combat maneuver check against a foe, that foe takes an amount of damage equal to 1d8 (if you’re Medium) or 1d6 (if you’re Small) + 1/2 your armor bonus to AC + 1-1/2 times your Strength bonus.					https://aonprd.com/FeatDisplay.aspx?ItemName=Bulette%20Rampage
Dodge	Combat	PRPG Core Rulebook pg. 122	Your training and reflexes allow you to react swiftly to avoid an opponents' attacks.	Dex 13.	You gain a +1 dodge bonus to your AC. A condition that makes you lose your Dex bonus to AC also makes you lose the benefits of this feat.			When focused, you become nearly impossible to strike.<br>Prerequisites: Dodge.<br>Benefit: The bonus to AC from Dodge increases by 1. As an immediate action, you can expend one use of mythic power to grant yourself an additional +10 dodge bonus to AC against one attack.		https://aonprd.com/FeatDisplay.aspx?ItemName=Dodge
Improved Overrun	Combat	PRPG Core Rulebook pg. 127	You are skilled at running down your foes.	Str 13, Power Attack, base attack bonus +1.	You do not provoke an attack of opportunity when performing an overrun combat maneuver. In addition, you receive a +2 bonus on checks made to overrrun a foe. You also receive a +2 bonus to your Combat Maneuver Defense whenever an opponent tries to overrun you. Targets of your overrun attempt may not chose to avoid you.	You provoke an attack of opportunity when performing an overrun combat maneuver.		You’re an unstoppable force on the battlefield, able to run down lesser foes with ease.<br>Prerequisites: Improved Overrun.<br>Benefit: You gain a bonus equal to half your tier on checks to overrun, and to your CMD when an opponent tries to overrun you. These bonuses stack with those granted by Improved Overrun.<br>Furthermore, you can make an attack of opportunity against any creature that attempts to overrun you, unless it also has this feat.		https://aonprd.com/FeatDisplay.aspx?ItemName=Improved%20Overrun
Mobility	Combat	PRPG Core Rulebook pg. 130	You can easily move through a dangerous melee.	Dex 13, Dodge.	You get a +4 dodge bonus to Armor Class against attacks of opportunity caused when you move out of or within a threatened area. A condition that makes you lose your Dexterity bonus to Armor Class (if any) also makes you lose dodge bonuses.<br>Dodge bonuses stack with each other, unlike most types of bonuses.			You have perfected your ability to weave through the battlefield, using your momentum to propel yourself far.<br>Prerequisites: Mobility.<br>Benefit: Whenever you use Mobility, you gain a +6 dodge bonus to AC instead of the normal +4. In addition, once per round when an attack of opportunity provoked by your movement misses you, you may move 5 feet as a free action. This movement doesn’t count against your total overall movement for the round, but it does provoke attacks of opportunity.		https://aonprd.com/FeatDisplay.aspx?ItemName=Mobility
Spring-Heeled Reaping	Armor Style, Combat	Armor Master's Handbook pg. 11	Your armor’s flexibility and your own training allow you to strike multiple times while moving.	Dex 17, Dodge, Mobility, Shot on the Run or Spring Attack, Spring-Heeled Sprint, Spring-Heeled Style, base attack bonus +11, proficiency with light armor.	While using Spring-Heeled Style, whenever you use Shot on the Run or Spring Attack, you can attack two different creatures at any point in your movement. Each attack is made at your full attack bonus. Any creature that you attack in melee with this feat cannot make attacks of opportunity against you for that movement, as normal for Spring Attack.					https://aonprd.com/FeatDisplay.aspx?ItemName=Spring-Heeled%20Reaping
Spring-Heeled Sprint	Armor Style, Combat	Armor Master's Handbook pg. 11	You can move quickly without sacrificing your offense.	Dex 15, Dodge, Mobility, Shot on the Run or Spring Attack, Spring-Heeled Style, base attack bonus +7, proficiency with light armor.	While using Spring-Heeled Style, you can move up to twice your speed when using the Shot on the Run or Spring Attack feats					https://aonprd.com/FeatDisplay.aspx?ItemName=Spring-Heeled%20Sprint
Spring-Heeled Style	Armor Style, Combat, Style	Armor Master's Handbook pg. 11	You cunningly dart across the battlefield from foe to foe, taking advantage of your armor’s flexibility to duck blows.	Dex 13, Dodge, Mobility, Shot on the Run or Spring Attack, base attack bonus +4, proficiency with light armor.	If using this style during any round in which you take a move action to move 10 or more feet, you gain a +2 bonus on weapon attack rolls until the start of your next turn. While using this style, you gain the AC bonus from Mobility against attacks of opportunity provoked by making a ranged attack or loading a ranged weapon.		A character with the armor training class feature can use Spring-Heeled Style while wearing any type of armor with which she is proficient.			https://aonprd.com/FeatDisplay.aspx?ItemName=Spring-Heeled%20Style
Swift Iron Style	Armor Style, Combat, Style	Armor Master's Handbook pg. 11	You have learned to move in ways that better accommodate your armor, and can maneuver easily despite its bulk.	Str 13, Dex 13, proficiency with medium armor.	While using this style, you treat the armor check penalty of your armor as if it were 1 less, and the maximum Dexterity bonus to AC as if it were 1 higher.		A character with the armor training class feature can use Swift Iron Style while wearing any type of armor with which she is proficient. These benefits stack with armor training.			https://aonprd.com/FeatDisplay.aspx?ItemName=Swift%20Iron%20Style
Swift Refuge	Armor Style, Combat	Armor Master's Handbook pg. 11	You quickly turn, forcing devastating blows to be blunted by the thickest part of your armor.	Str 13, Dex 13, Swift Iron Style, proficiency with medium armor.	Once per day when using Swift Iron Style, when you’re hit by a weapon, unarmed attack, or natural weapon, you can treat all dice other than the weapon’s base damage dice (including extra dice from sneak attack, critical hit, magic special weapon abilities, and Vital Strike) as having rolled 1s. You can use this ability a second time per day when your base attack bonus reaches +8, and a third time at +16.					https://aonprd.com/FeatDisplay.aspx?ItemName=Swift%20Refuge
Swift Sprint	Armor Style, Combat	Armor Master's Handbook pg. 11	You balance your armor expertly, allowing you to run and sprint without impediment.	Str 13, Dex 13, Swift Iron Style, Swift Refuge, proficiency with medium armor.	When you’re charging, running, or taking no action in your turn other than movement, your armor does not reduce your movement.					https://aonprd.com/FeatDisplay.aspx?ItemName=Swift%20Sprint
Ally Shield	Betrayal, Teamwork	Champions of Corruption pg. 20	You are willing to use your allies as shields to ward off attacks aimed at you.		Whenever you are the target of a melee or ranged attack and are adjacent to an ally who also has this feat, you can initiate this feat to skillfully pull the abettor into harm’s way or dodge behind the abettor as an immediate action. You gain cover against that attack (and only that attack). If the attack misses you but would have hit you if not for the cover bonus to your Armor Class, the abettor becomes the target of the attack and the attacker must make a new attack roll (with all the same modifiers) against the abettor’s Armor Class.					https://aonprd.com/FeatDisplay.aspx?ItemName=Ally%20Shield
Callous Casting	Betrayal, Teamwork	Champions of Corruption pg. 20	You don’t care if your allies are harmed by your spells. The smart ones know this and start running.	Spellcraft 1 rank.	You initiate this feat by including an abetting ally in the area of any spell that deals damage of a type to which the abettor is not immune. The callousness of the attack disheartens foes in the area, who must succeed at a Will save against the spell’s DC or be shaken for 1 round per spell level. After you resolve the spell’s effects, the abettor can move up to her speed as an immediate action. Any movement undertaken using this action is then subtracted from her speed until the end of her next turn. This movement can still provoke attacks of opportunity as normal. Once a foe has attempted a Will save against this feat, he is immune to this effect from that initiator for 24 hours thereafter.					https://aonprd.com/FeatDisplay.aspx?ItemName=Callous%20Casting
Friendly Fire	Betrayal, Teamwork	Champions of Corruption pg. 21	Your ranged attacks startle your enemies, partly because you’re not even trying to avoid hitting your allies.	Precise Shot.	You initiate this feat as a standard action, making a ranged attack against a foe engaged in melee with at least one abettor. This shot deliberately forsakes normal precautions, putting your abettor at risk, but also is unexpected enough to surprise your mutual opponent. You gain a +2 bonus on your attack roll if the attack passes through an abettor’s space. If your shot misses the target, you must immediately make a second attack roll with all the same modifiers against the abettor, potentially hitting her with the attack instead of the opponent. When the attack resolves (regardless of whether either potential target was hit), the intended target’s startled reaction provokes an attack of opportunity from the abettor.					https://aonprd.com/FeatDisplay.aspx?ItemName=Friendly%20Fire
Precise Shot	Combat	PRPG Core Rulebook pg. 131	You are adept at firing ranged attacks into melee.	Point-Blank Shot.	You can shoot or throw ranged weapons at an opponent engaged in melee without taking the standard –4 penalty on your attack roll.					https://aonprd.com/FeatDisplay.aspx?ItemName=Precise%20Shot
Reckless Moves	Betrayal, Teamwork	Champions of Corruption pg. 21	You and your teammates push and pull each other to maintain your balance in precarious circumstances.	Acrobatics 3 ranks.	If you are adjacent to an ally who also has this feat, you can initiate this feat as a free action to use the ally as a counterweight to improve your balance, which requires you to push or pull her slightly. You gain a +4 bonus on Acrobatics, Climb, and Stealth checks until you cease using this feat as a free action or you move away from the ally. The abettor is kept off balance and takes a –2 penalty on Acrobatics, Climb, and Stealth checks as long as this feat remains in effect. You can initiate this feat as an immediate action while you are falling or being knocked prone in order to switch places with the abettor, moving her into your former space and moving yourself into her former space. If you do, you and the abettor each end this movement prone unless you succeed at an Acrobatics check with a DC of 20 (the bonuses and penalties for this feat apply). If you were falling, the abettor is falling instead. If you or the abettor were climbing, the other person must succeed at a Climb check against the surface’s normal DC to grab on and avoid falling. Switching places provokes attacks of opportunity for the abettor only.					https://aonprd.com/FeatDisplay.aspx?ItemName=Reckless%20Moves
Splash Volley	Betrayal, Teamwork	Champions of Corruption pg. 21	Your allies are used to being in the splash zone of your hurled weapons, and try to ensure that at least your opponent gets hit.	Base attack bonus +1.	You initiate this feat whenever you throw a splash weapon into a square within the reach of an ally who also has this feat and miss your target. Rather than you rolling to see where the weapon lands, the abettor can try to redirect it as an immediate action by making a melee touch attack against any adjacent foe. If the abettor’s attack hits that foe, the splash weapon impacts in the nearest square the targeted foe occupies.					https://aonprd.com/FeatDisplay.aspx?ItemName=Splash%20Volley
Wild Flanking	Betrayal, Teamwork	Champions of Corruption pg. 21	When flanking, you use your position to rain grievous blows upon a trapped foe, though you have little regard to the well-being of your flanking partner as you wildly hack away.	Power Attack, base attack bonus +4.	When you are flanking an opponent with an ally who also possesses this feat, you can throw yourself into your attacks in such a way that your opponent takes extra damage, at the risk of these attacks striking your ally as well. When you choose to use this feat, check the results of your attack roll against both your opponent’s AC and your ally’s AC. If you hit your opponent, you deal bonus damage as though you were using Power Attack. If you hit your ally, the ally takes no damage from your attack except this bonus damage. It is possible to hit both your enemy and your abettor with one attack. Extra damage from this feat stacks with Power Attack.					https://aonprd.com/FeatDisplay.aspx?ItemName=Wild%20Flanking
Abeyance	Blood Hex	Magic Tactics Toolbox pg. 28	You can disrupt your opponent’s connection to its own magical power.	Int 13, Spellcraft 5 ranks, Use Magic Device 1 rank.	As a standard action, you can drain the innate magical ability of a creature you’ve dealt damage to with a metal weapon since the beginning of your last turn. That creature must succeed at a Will save or be unable to access any spell-like abilities it can use more than once per day, until it is healed of all hit point damage, or up to a maximum duration of 1 minute.		If a shaman or witch uses this blood hex, the target is unable to use any of its spell-like abilities for the hex’s duration.			https://aonprd.com/FeatDisplay.aspx?ItemName=Abeyance
