archetype	class	feature	type	level	replaces	text	source	url
Alchemical Sapper	Alchemist	Selective Detonation	Su	10	poison immunity	At 10th level, when an alchemical sapper plants a trip mine, he can designate a number of allies up to his Intelligence modifier, allowing the designated allies to pass safely through an armed trip mine’s square without causing it to detonate. If another creature triggers the trip mine while an ally is nearby, the ally still takes damage as normal.<br>This ability replaces poison immunity.	Ultimate Intrigue pg. 18	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Alchemical%20Sapper
Alchemical Trapper	Alchemist	Bomb Trap	Su	2	the discovery at 2nd level	At 2nd level, an alchemical trapper can use one of her bombs to make a trap. Setting a bomb trap is a full-round action that provokes attacks of opportunity. A bomb trap fills a single 5-foot square and cannot be placed in the same area as any other trap. The alchemical trapper needs the same materials required for making a bomb. The DCs for Perception checks to notice the trap, Disable Device checks to disable it, and saving throws to avoid it are equal to the DC for the alchemical trapper’s bombs. All bomb traps have location triggers and do not reset. The alchemical trapper can use any one discovery that applies to a bomb when making a bomb trap. The bomb trap lasts 10 minutes for each alchemist level the trapper possesses. If the bomb trap is not disabled or exploded within that time frame, the trap becomes inert. Creating a bomb trap uses one of the alchemical trapper’s bombs per day. This ability replaces the discovery at 2nd level.	Monster Codex pg. 128	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Alchemical%20Trapper
Alchemical Trapper	Alchemist	Trapfinding	Ex	4	the discovery at 4th level	At 4th level, an alchemical trapper can find and disable traps, as the rogue class feature of the same name. This ability replaces the discovery at 4th level.	Monster Codex pg. 128	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Alchemical%20Trapper
Aquachymist	Alchemist	Class Skills			the alchemist’s class skills	An aquachymist has Swim as a class skill instead of Fly. This alters the alchemist’s class skills.	Aquatic Adventures pg. 49	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Aquachymist
Aquachymist	Alchemist	Sureseal Alchemy	Su		alchemy	An aquachymist’s extracts and mutagens self-generate a flexible outer shell of sureseal, similar to sureseal bladders , allowing the aquachymist to craft a waterproof supply without expending a plethora of sureseal bladders.<br>This ability alters alchemy.	Aquatic Adventures pg. 49	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Aquachymist
Aquachymist	Alchemist	Underwater Bombs	Su		bombs	An aquachymist’s fire bombs deal steam damage, allowing them to deal damage underwater or on land. Since thrown weapons don’t work well underwater, when the aquachymist creates a bomb, he either weights it or includes excess air as part of the action of creating the bomb, granting the bomb his choice of swiftly rising or swiftly sinking buoyancy and allowing him to target foes directly above or below him. If the attack misses, the bomb doesn’t deal splash damage, but instead continues to travel up or down until it loses potency at the end of the alchemist’s turn; the exception is when the aquachymist throws a swiftly sinking bomb close to the bottom, in which case it might reach the bottom and explode there. Because of the strange aquadynamic features of the aquachymist’s underwater bombs, they have a range increment of only 5 feet above the water.<br>This ability alters bombs.	Aquatic Adventures pg. 49	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Aquachymist
Aquachymist	Alchemist	Amphibious Mutagen	Su	2	the discovery at 2nd level	At 2nd level, an aquachymist’s mutagen allows him to breathe both air and water for its duration, in addition to its other effects.<br>This ability replaces the discovery at 2nd level.	Aquatic Adventures pg. 49	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Aquachymist
Beastmorph	Alchemist	Beastform Mutagen		3	swift alchemy	At 3rd level, a beastmorph's mutagen causes him to take on animalistic features—whether those of an animal, a magical beast, an animal-like humanoid (such as a lizardfolk), or a monstrous humanoid. For example, when the beastmorph uses his mutagen, he may gain a furry muzzle and pointed ears like a werewolf, scaly skin like a lizardfolk or sahuagin, or compound eyes and mandibles like a giant insect. The beastmorph also gains his choice of one of the abilities listed in the alter self spell, which persists as long as the mutagen. He may select a different ability each time he creates a mutagen. This ability replaces swift alchemy.	Ultimate Combat pg. 25	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Beastmorph
Beastmorph	Alchemist	Improved Beastform Mutagen		6	swift poisoning	At 6th level, a beastmorph’s mutagen grants him additional abilities and options. The alchemist gains his choice of two of the abilities listed in the beast shape I spell, which persist as long as the mutagen. He may select two different abilities each time he creates a mutagen. This ability replaces swift poisoning.	Ultimate Combat pg. 25	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Beastmorph
Beastmorph	Alchemist	Greater Beastform Mutagen		10	poison resistance +2, +4, and +6, as well as poison immunity	At 10th level, a beastmorph’s mutagen grants him three of the abilities listed in the beast shape II spell, which persist as long as the mutagen. He may select three different abilities each time he creates a mutagen. This ability replaces poison resistance +2, +4, and +6, as well as poison immunity.	Ultimate Combat pg. 25	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Beastmorph
Beastmorph	Alchemist	Grand Beastform Mutagen		14	persistent mutagen	At 14th level, a beastmorph’s mutagen grants him four of the abilities listed in the beast shape III spell, which persist as long as the mutagen. He may select four different abilities each time he creates a mutagen. This ability replaces persistent mutagen.	Ultimate Combat pg. 25	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Beastmorph
Beastmorph	Alchemist	Discoveries				The following discoveries complement the beastmorph archetype: feral mutagen, grand mutagen, greater mutagen, infuse mutagen, mummification, spontaneous healing, tentacle, and wings.	Ultimate Combat pg. 25	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Beastmorph
Blazing Torchbearer	Alchemist	Everburning Flame	Ex		Brew Potion	Any torch held by a blazing torchbearer is considered to be an everburning torch, although it still sheds heat and can be used as a weapon. In addition, a blazing torchbearer can cast spark as a spell-like ability at will. This ability replaces Brew Potion.	Dungeoneer's Handbook pg. 21	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Blazing%20Torchbearer
Blazing Torchbearer	Alchemist	Intense Light	Ex	2	poison use	At 2nd level, a blazing torchbearer has mastered lighting and holding a torch to the point that it sheds more light than those carried by his peers. The radius of normal and increased illumination of any torch held by a blazing torchbearer increases by 10 feet. Once per day as a standard action, the blazing torchbearer can create a brilliant flash of light that blinds everyone within 10 feet (including the torchbearer) for 1 round. This ability replaces poison use.	Dungeoneer's Handbook pg. 21	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Blazing%20Torchbearer
Blazing Torchbearer	Alchemist	Explosive Torch	Ex	4	the alchemist’s 4th-level discovery	At 4th level, as a standard action, a blazing torchbearer can drop a special blend of explosive powders onto his torch before using it as a weapon. His next successful melee attack with the torch deals an additional 2d6 points of fire damage and sets the target on fire. This attack must be made within 1d4 rounds or the torch prematurely explodes at the end of the blazing torchbearer’s turn, dealing damage to the blazing torchbearer and setting him on fire. This ability replaces the alchemist’s 4th-level discovery.	Dungeoneer's Handbook pg. 21	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Blazing%20Torchbearer
Blightseeker	Alchemist	Spore Bomb	Su	1	bombs	At 1st level, a blightseeker creates a special kind of alchemist bomb that delivers a payload of alchemically engineered fungal spores. These bombs infest their target with a virulent blight (see below). The blightseeker’s bombs deal 1d4 points of damage (instead of 1d6), plus 1d4 points of damage for every 2 alchemist levels beyond 1st.<br>A creature that takes a direct hit from a spore bomb must succeed at a Fortitude save (DC = 10 + half the blightseeker’s level + his Intelligence modifier) or suffer the associated blight effects. Creatures that take splash damage from the bomb are not affected by the blight.<br>This ability alters bombs.	Heroes of the Darklands pg. 10	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Blightseeker
Blightseeker	Alchemist	Blights	Ex	1	the discoveries gained at 6th, 12th, and 18th levels	At 1st level, a blightseeker gains the blights from the list below. When he prepares bombs at the start of the day, a blightseeker chooses which blight to apply to each bomb. If a blight has no duration listed, it lasts a number of rounds equal to the blightseeker’s Intelligence modifier. At 1st level, a blightseeker gains the following blights.<br>Impairing: The target’s base land speed decreases by 10 feet, to a minimum of 10 feet. This effect doesn’t stack with itself.<br>Minor Sickening: The target is sickened, but it takes only a –1 penalty on affected rolls.<br>At 6th level, a blightseeker adds the following blights to the list of those that can be applied to his bombs.<br>Fatiguing: The target is fatigued.<br>Fear-Inducing: The target is shaken.<br>Sickening: The target is sickened.<br>At 12th level, a blightseeker adds the following blights to the list of those blights that can be applied to his bombs.<br>Confusing: The target is confused.<br>Exhausting: The target is exhausted.<br>Nauseating: The target is nauseated for 1 round.<br>Staggering: The target becomes staggered for 1 round.<br>At 18th level, a blightseeker adds the following blights to the list of those that can be selected.<br>Blinding: The target is blinded.<br>Deafening: The target is deafened.<br>Stunning: The target is stunned for 1 round.<br>This ability replaces the discoveries gained at 6th, 12th, and 18th levels.	Heroes of the Darklands pg. 10	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Blightseeker
Blightseeker	Alchemist	Blight Engineering	Ex	14	persistent mutagen	At 14th level, a blightseeker can apply two blights that he knows to each spore bomb he creates.<br>This ability replaces persistent mutagen.	Heroes of the Darklands pg. 10	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Blightseeker
Blood Alchemist	Alchemist	Alignment				A blood alchemist trades the lives of others for more power when using his lifeblood ability. A nonevil blood alchemist can’t use the lifeblood ability, but he can use his other archetype and class abilities, and he can continue to advance in alchemist.	Horror Adventures pg. 44	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Blood%20Alchemist
Blood Alchemist	Alchemist	Lifeblood	Su		mutagen	When a blood alchemist performs a coup de grace that kills an intelligent humanoid creature (though, not a summoned intelligent humanoid creature), he can gather its lifeblood into a vial; this is a death effect. He can use this lifeblood any time within the next 24 hours to create an extract of a spell level he can cast that is no higher than 1/2 the creature’s CR, without spending a daily extract slot. He can use this ability once for each spell level each day (for example, a 13th-level blood alchemist can use lifeblood to gain additional 1st-, 2nd-, 3rd-, 4th-, and 5th level extracts). A blood alchemist can’t take the mutagen or cognatogen discoveries.<br>This ability replaces mutagen.	Horror Adventures pg. 44	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Blood%20Alchemist
Blood Alchemist	Alchemist	Alchemical Circles (Sp, Su)		1	bombs	A blood alchemist gains a blood pool with a number of points equal to his alchemist level + his Intelligence modifier. He can spend 1 point from his blood pool to draw a complex alchemical circle in blood on the ground or on another permanent fixture in a process that takes 1 minute. Depending on his alchemist level, the alchemical circle can have one of several effects. At 1st level, the blood alchemist can spend an unused extract slot to charge the circle with alchemical energy. He chooses one of the spells listed below of equal or lower level to the extract slot he spent, and until he refreshes his extract slots, as long as his body is in physical contact with the circle, he can produce the effect of the spell he chose as a spell-like ability. If the spell normally has an expensive material component, he must still provide it, either grinding it up and mixing it with the blood used for the circle or placing it in the circle (if the component is also the target). The chosen effect can target or affect only something contained within the circle, or the surface on which the blood alchemist drew the circle. To learn one of these effects, he must write it into his formula book, with the same cost as usual for a formula (he can also use his free formula from leveling up to learn the chosen effect instead of a normal formula). The blood alchemist can choose from the following spells for this ability: 1st—expeditious excavation, fabricate bullets, jury-rig, magic weapon, reinforce armaments; 2nd—knock, make whole, masterwork transformation, silk to steel, soften earth and stone, warp wood; 3rd—keen edge, magic vestment, greater magic weapon, obsidian flow, spike stones, stone shape; 4th—fabricate, passwall, transmute mud to rock, transmute rock to mud; 5th—flesh to stone, move earth, stone to flesh, tar pool, transmute metal to wood; 6th—polymorph any object, transmute blood to acid.<br>Starting at 8th level, the blood alchemist can also create a magic circle, as per the magic circles occultist class ability, though it costs 1 point from his blood pool instead of 1 point of mental focus.<br>Starting at 12th level, he can also create a binding circle, as per the occultist class ability of the same name, though it costs 2 points from his blood pool instead of 2 points of mental focus.<br>Starting at 16th level, the blood alchemist can draw magic circles and binding circles more quickly but with a shorter duration, as per the occultist fast circles ability.<br>This ability replaces bombs.	Horror Adventures pg. 44	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Blood%20Alchemist
Blood Alchemist	Alchemist	Blood Knowledge	Sp	4		Starting at 4th level, a blood alchemist can spend an unused extract slot of 2nd level while mixing a drop of blood with various alchemical reagents in a process that takes 1 minute. If he does so, he can drink the resulting concoction as a standard action to gain the information he would learn as if he had cast blood biography on the blood he just used. As per the spell, living and undead creatures receive a Will saving throw (DC = 13 + the blood alchemist’s Intelligence modifier) to negate the effect.	Horror Adventures pg. 44	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Blood%20Alchemist
Bogborn Alchemist	Alchemist	Class Skills				A bogborn alchemist adds Swim to his list of class skills.	Advanced Race Guide pg. 191	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Bogborn%20Alchemist
Bogborn Alchemist	Alchemist	Amphibious Mutagen	Ex	1	throw anything	At 1st level, when a bogborn alchemist uses a mutagen, he may choose to have his mutagen form enhanced for aquatic movement. This gives him the amphibious special quality, his feet elongate, and the webbing between his fingers and toes expands, granting a swim speed of 15 feet. This replaces throw anything.	Advanced Race Guide pg. 191	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Bogborn%20Alchemist
Bogborn Alchemist	Alchemist	Discovery Options				A bogborn alchemist can select the toxic skin grippli racial trait in place of an alchemical discovery.	Advanced Race Guide pg. 191	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Bogborn%20Alchemist
Bogborn Alchemist	Alchemist	Discoveries				The following discoveries complement the bogborn alchemist archetype: chameleon; concentrate poison, sticky poison ; nauseating flesh, poison conversion; bottled ooze, tanglefoot bomb, tentacle .	Advanced Race Guide pg. 191	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Bogborn%20Alchemist
Bramble Brewer	Alchemist	Briar Bombs	Su	2	the 2nd-level discovery class feature	At 2nd level, a bramble brewer gains the tanglefoot bomb discovery, but the entanglement’s duration persists for a number of rounds equal to the bramble brewer’s Intelligence modifier (minimum 1 round). Additionally, when a bramble brewer throws a tanglefoot bomb, it transforms all squares in its splash radius into difficult terrain that persists for as long as the bomb’s entangling effect. Although these bombs deal no damage, for every 1d6 points of damage the bramble brewer’s regular bombs deal, the briar bomb’s splash radius increases by 5 feet. This ability replaces the 2nd-level discovery class feature.	Advanced Race Guide pg. 44	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Bramble%20Brewer
Bramble Brewer	Alchemist	Dendrite Mutagen	Su	1	that ability; that ability; that ability	At 1st level, a bramble brewer’s mutagen still contains transformative power, but grants a treelike sturdiness rather than the feral power of standard mutagens. When imbibed, dendrite mutagen grants a +4 natural armor bonus, a +2 alchemical bonus to one physical ability score, and a –2 penalty to the corresponding mental ability score. In addition, the alchemist gains fast healing 1 as long as he is in an area of bright light (such as sunlight or inside the area of a daylight spell). This otherwise works like the standard mutagen class feature and replaces that ability.<br>A bramble brewer who selects the greater mutagen discovery can create a dendrite mutagen that still grants a +4 natural armor bonus, and also grants a +4 alchemical bonus to one physical ability score and a +2 bonus to a second physical ability score. The bramble brewer takes a –2 penalty to both associated mental ability scores as long as the mutagen persists, but his fast healing increases to 3 as long as he is in an area of bright light. This otherwise works like the greater mutagen discovery and replaces that ability.<br>A bramble brewer who selects the grand mutagen discovery can brew a dendrite mutagen that now grants a +6 natural armor bonus, a +6 alchemical bonus to one physical ability score, a +4 alchemical bonus to a second physical ability score, and a +2 alchemical bonus to a third physical ability score. The bramble brewer takes a –2 penalty to his Intelligence, Wisdom, and Charisma scores as long as the mutagen persists. The bramble brewer’s fast healing increases to 5 as long as he is within an area of bright light. This otherwise works like the grand mutagen discovery and replaces that ability.	Advanced Race Guide pg. 44	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Bramble%20Brewer
Bramble Brewer	Alchemist	Grand Discovery	Su	20		At 20th level, a bramble brewer who selects the true mutagen grand discovery can create a dendrite mutagen that grants a +8 natural armor bonus and a +6 alchemical bonus to Strength, Dexterity, and Constitution. The bramble brewer takes a –2 penalty to his Intelligence, Wisdom, and Charisma scores as long as the mutagen persists. The bramble brewer’s gains fast healing 10, but instead of only gaining fast healing in bright light, this fast healing persists in areas of bright or normal light. A bramble brewer must possess the grand mutagen discovery before selecting this discovery.	Advanced Race Guide pg. 44	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Bramble%20Brewer
Bramble Brewer	Alchemist	Discoveries				The following discoveries complement the bramble brewer archetype: precise bombs; defoliant bomb; lingering spirit, strafe bomb, sunlight bomb.	Advanced Race Guide pg. 44	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Bramble%20Brewer
Chirurgeon	Alchemist	Infused Curative		2	poison use	At 2nd level, a chirurgeon’s extracts of cure spells automatically act as infusions, and can be used by non-alchemists. When a chirurgeon prepares his extracts, he may choose to render any or all of his infused curatives inert and prepare other extracts to replace them (unlike infusions, which continue to occupy the alchemist’s daily extract slots until consumed or used). This ability replaces poison use.	Ultimate Magic pg. 18	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Chirurgeon
Chirurgeon	Alchemist	Anaesthetic		5	poison resistance +4	At 5th level, a chirurgeon learns how to supplement uses of the Heal skill with pain-killing drugs. He gains Skill Focus (Heal) as a bonus feat. Any use of the Heal skill that has a risk of harming the patient (such as extracting a barb) only deals the minimum damage when performed by a chirurgeon. This ability replaces poison resistance +4.	Ultimate Magic pg. 18	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Chirurgeon
Chirurgeon	Alchemist	Power Over Death		10	poison immunity	At 10th level, a chirurgeon adds breath of life to his formula book as a 4th-level extract. His infused curative ability applies to this extract. The chirurgeon can draw and administer a breath of life infusion to another creature as a full-round action. This ability replaces poison immunity.	Ultimate Magic pg. 18	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Chirurgeon
Chirurgeon	Alchemist	Discoveries				The following discoveries complement the chirurgeon archetype: elixir of life, healing touch, infusion, and spontaneous healing.	Ultimate Magic pg. 18	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Chirurgeon
Clone Master	Alchemist	Bomb			the standard alchemist bomb class feature	A clone master’s bombs deal damage one die step lower than normal (regular bombs deal d4s, concussive bombs deal 1d3s, and so on). This otherwise functions as and replaces the standard alchemist bomb class feature.	Ultimate Magic pg. 18	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Clone%20Master
Clone Master	Alchemist	Lesser Simulacrum		7		At 7th level, a clone master adds lesser simulacrum to his formula book as a 3rd-level extract.	Ultimate Magic pg. 18	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Clone%20Master
Clone Master	Alchemist	Rebirth		8	poison resistance +6 and poison immunity	At 8th level, a clone master can prepare a clone of himself that awakens if he is slain. Creating the clone costs 5,000 gp, takes 1 week of work, and requires 3 additional weeks for the clone to grow to maturity. If he dies, the clone awakens as if the alchemist had used the clone spell on himself. He can have one inert of himself at a time. Unused clones created by a clone master do not rot. This ability replaces poison resistance +6 and poison immunity.	Ultimate Magic pg. 18	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Clone%20Master
Clone Master	Alchemist	Simulacrum		13		At 13th level, a clone master adds simulacrum to his formula book as a 5th-level extract.	Ultimate Magic pg. 18	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Clone%20Master
Clone Master	Alchemist	Clone		16		At 16th level, a clone master adds clone to his formula book as a 6th-level extract.	Ultimate Magic pg. 18	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Clone%20Master
Clone Master	Alchemist	Discoveries				The following discoveries complement the clone master archetype: alchemical simulacrum, doppelganger simulacrum, preserve organs, and parasitic twin.	Ultimate Magic pg. 18	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Clone%20Master
Concocter	Alchemist	Mutagenic Mixology	Ex	2	the discoveries gained at 2nd and 4th levels	At 2nd level, whenever a concocter brews a potion, he can mix in some of the chemicals he uses to create his mutagen, adding some of his mutagen’s effects to this concoction.<br>When he drinks this concoction, he gains the benefit of the potion as normal. Additionally, he gains a +2 natural armor bonus and a +4 alchemical bonus to one of his physical ability scores (Strength, Dexterity, or Constitution), while suffering a –2 penalty to the corresponding mental ability score (Intelligence, Wisdom, or Charisma), just as though the concoction were a mutagen. The ability score that receives the bonus must be chosen when the concoction is made. These benefits and penalties last for the duration of the effects of the potion on which the concoction is based or for 1 minute per the concocter’s alchemist level, whichever is shorter.<br>The effects of this concoction do not stack with another such concoction or a mutagen. If the concocter drinks another concoction or a mutagen while under the effects of this concoction, the effects of any previous concoction or mutagen immediately end. A concoction that is not in the concocter’s possession becomes inert until the concocter picks it up again (even if the concocter has the infuse mutagen discovery). The process used to combine the mutagen with a potion make it particularly volatile, so anyone else who drinks the concoction (including other alchemists) does not gain its benefits and must succeed at a Fortitude saving throw or be nauseated for 1 minute. The DC of this saving throw is equal to 10 + the concocter’s alchemist level + the concocter’s Intelligence modifier.<br>Additional reagents and materials are required to brew a concoction in this way, doubling the cost in raw materials to create the potion on which the concoction is based. A mutagen brewed into a concoction in this way does not count against the number of mutagens the concocter can have active at a given time.<br>A concocter can make one such concoction per day at 2nd level and a second per day at 4th level. A concoction becomes inert 24 hours after it is created.<br>This replaces the discoveries gained at 2nd and 4th levels.	Potions and Poisons pg. 8	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Concocter
Concocter	Alchemist	Extracting Mixology	Ex	6	swift poisoning and the discovery gained at 6th level	At 6th level, a concocter can combine an extract and a potion, allowing him to consume this mixture simultaneously, albeit with some potential side effects. As a full-round action, the concocter can combine an extract with a potion in his possession. The concocter can then drink the mixture as a standard action. If he does not consume the mixture within 2 rounds of creating it, the mixture grows inert and both the extract and the potion are ruined. This ability cannot be used with a potion into which he has fused his mutagen using his mutagenic mixology ability.<br>The exact effects of drinking one of these mixtures are volatile and unpredictable. Each time the concocter drinks a mixture, roll on the following table to determine the result.<br>d4Effect<br>1Either the extract (01–50 on a d%) or potion (51–100 on a d%) has no effect. The consumable that takes effect treats its caster level or the concocter’s alchemist level as 2 higher, whichever is appropriate.<br>2Both the extract and potion function normally.<br>3Both the extract and potion function normally but treat their caster level or the concocter’s alchemist level as 2 higher, whichever is appropriate.<br>4Both the extract and potion function normally and are affected as though they were spells extended with the Extend Spell metamagic feat. If either the extract or the potion’s duration is concentration, instantaneous, or permanent, both the extract and the potion simply function normally.<br>This replaces swift poisoning and the discovery gained at 6th level.	Potions and Poisons pg. 8	https://aonprd.com/ArchetypeDisplay.aspx?FixedName=Concocter
