name	school	subschool	descriptors	level	casting_time	components	range	target	area	effect	duration	saving_throw	spell_resistance	description	mythic	source	url
Dimension Door	conjuration	teleportation		arcanist 4, bard 4, magus 4, medium 3, mesmerist 4, occultist 4, psychic 4, skald 4, sorcerer 4, spiritualist 4, summoner 3, summoner (unchained) 4, witch 4, wizard 4	1 standard action	V	long (400 ft. + 40 ft./level)	you and touched objects or other touched willing creatures			instantaneous	none and Will negates (object);	no and yes (object)	You instantly transfer yourself from your current location to any other spot within range. You always arrive at exactly the spot desired—whether by simply visualizing the area or by stating direction. After using this spell, you can't take any other actions until your next turn. You can bring along objects as long as their weight doesn't exceed your maximum load. You may also bring one additional willing Medium or smaller creature (carrying gear or objects up to its maximum load) or its equivalent per three caster levels. A Large creature counts as two Medium creatures, a Huge creature counts as two Large creatures, and so forth. All creatures to be transported must be in contact with one another, and at least one of those creatures must be in contact with you.<br>If you arrive in a place that is already occupied by a solid body, you and each creature traveling with you take 1d6 points of damage and are shunted to a random open space on a suitable surface within 100 feet of the intended location.<br>If there is no free space within 100 feet, you and each creature traveling with you take an additional 2d6 points of damage and are shunted to a free space within 1,000 feet. If there is no free space within 1,000 feet, you and each creature travelling with you take an additional 4d6 points of damage and the spell simply fails.	Source Mythic Adventures pg. 91<br>The duration of this spell changes to 1 round per 2 caster levels, and it creates a temporary, invisible, one-way portal in your square to your destination. You immediately pass through the portal and arrive at the destination, but you can’t take any other creatures with you.<br>When casting the spell, you can designate a number of creatures equal to your caster level. These creatures can see and use the portal, passing through it to arrive at the destination (this isn’t an action). A creature that passes through the portal can’t take any other actions until its next turn. Phase Step<br>Source Potions and Poisons pg. 17<br>School conjuration (teleportation); Level alchemist 3, arcanist 3, bard 3, investigator 3, magus 3, skald 3, sorcerer 3, summoner 3, summoner (unchained) 3, witch 3, wizard 3Casting<br>Casting Time 1 standard action<br>Components V, SEffect<br>Range close (25 ft. + 5 ft./2 levels)<br>Target one willing creature touched<br>Duration instantaneous<br>Saving Throw none; Spell Resistance yes (harmless)Description<br>You instantly transfer the touched creature to a point you designate within range. This otherwise functions as the spell dimension door, except that you must have line of sight and line of effect to the target’s destination for this spell’s effects to properly function.	PRPG Core Rulebook pg. 269	https://aonprd.com/SpellDisplay.aspx?ItemName=Dimension%20Door
Dimensional Lock	abjuration			arcanist 8, cleric 8, oracle 8, psychic 8, sorcerer 8, summoner 6, wizard 8	1 standard action	V, S	medium (100 ft. + 10 ft./level)		20-ft.-radius emanation centered on a point in space		1 day/level	none;	yes	You create a shimmering emerald barrier that completely blocks extradimensional travel. Forms of movement barred include astral projection, blink, dimension door, ethereal jaunt, etherealness, gate, maze, plane shift, shadow walk, teleport, and similar spell-like abilities. Once dimensional lock is in place, extradimensional travel into or out of the area is not possible.<br>A dimensional lock does not interfere with the movement of creatures already in ethereal or astral form when the spell is cast, nor does it block extradimensional perception or attack forms. Also, the spell does not prevent summoned creatures from disappearing at the end of a summoning spell.	Source Mythic Adventures pg. 91<br>The spell doesn’t interfere with your extradimensional travel spells and effects.<br>Augmented (4th): You can augment mythic dimensional lock to redirect teleporting creatures to another location. If you expend two uses of mythic power, designate a location that you’re very familiar with. This location must be on the same plane as you. Any creature attempting to use extradimensional travel from outside the spell’s area into that area is instead redirected to this other location.<br>The creature can attempt a Spellcraft check against your caster level. If it succeeds, it’s aware of the redirection (though not the destination) and can interrupt its spellcasting, losing the spell but not teleporting.	PRPG Core Rulebook pg. 270	https://aonprd.com/SpellDisplay.aspx?ItemName=Dimensional%20Lock
Dirge of the Victorious Knights	illusion	shadow		bard 6, skald 6	1 round	V, S, F (a medal from a dead Hellknight or a copy a Chelish opera script, either worth at least 100 gp)	120 ft.		120-ft. line, 10 ft. wide		instantaneous	Reflex half;	yes	By performing part of the Chelish opera Victory of the Hellknights, you call forth spectral illusions of mounted Hellknights to trample your foes under the hooves of their glorious steeds. The shadowy knights appear in an adjacent 10-foot square and ride forward in the direction you indicate, dealing 1d6 points of damage per caster level (maximum 20d6) to all creatures in their path. Half of this damage is cold damage, while half results directly from arcane power and is not subject to cold resistance or immunity. The knights cannot pass through force effects or barriers that block incorporeal creatures or undead.	Source Mythic Origins pg. 12<br>The damage increases to 1d10 points of damage per caster level (maximum 20d10). Any creature that fails its Reflex saving throw is knocked prone, and must succeed at a Fortitude save or be stunned for 1 round.<br>Augmented (7th): If you expend two uses of mythic power, the area increases to a 240-foot line 20 feet wide. All cold damage dealt by the spell ignores cold resistance and cold immunity.	Adventurer's Guide pg. 98	https://aonprd.com/SpellDisplay.aspx?ItemName=Dirge%20of%20the%20Victorious%20Knights
Discordant Blast	evocation		sonic	bard 4, skald 4	1 standard action	V, S	10 ft. or 30 ft.		see text		instantaneous	none;	yes	You create a wave of thunder and force, either in a 10-foot-radius burst centered on you or in 30-foot cone-shaped burst. Creatures in the area take 3d6 points of sonic damage and are pushed away as if bull rushed. Make a combat maneuver check and apply its results to each creature in the area. Your CMB for this bull rush is equal to your caster level plus your Charisma modifier. This bull rush does not provoke an attack of opportunity. A discordant blast cannot penetrate a silence spell (or any similar magical silence effect).	Source Mythic Adventures pg. 91<br>The damage dealt increases to 5d6 points of sonic damage, and you gain a +2 bonus on combat maneuver checks to the bull rush opponents. The spell can penetrate non-mythic magical silence and dispels any non-mythic silence effect of 4th level or lower.	Advanced Player's Guide pg. 216	https://aonprd.com/SpellDisplay.aspx?ItemName=Discordant%20Blast
Disfiguring Touch	transmutation		curse	arcanist 2, bloodrager 2, cleric 2, mesmerist 2, occultist 2, oracle 2, psychic 2, redmantisassassin 2, sorcerer 2, spiritualist 2, warpriest 2, witch 2, wizard 2	1 standard action	V, S	touch	creature touched			1 day/level	Will negates;	yes	With a touch, you cause the victim of this spell to suffer a painful curse that causes it to grow hideously disfigured. The physical appearance of the deformity is subject to the caster’s whim (most demon worshipers choose deformities that reflect their Abyssal patron’s shape or form). The target takes one of the following penalties.<br>- –2 decrease to an ability score (minimum 1).<br>- –2 penalty on attack rolls or saving throws.<br>- Land speed reduced by 5 feet.<br>You may also invent other effects, but they should be no more powerful than those described above.	Source Mythic Adventures pg. 91<br>The target takes two different penalties (chosen from the same list) instead of one.<br>Augmented: If you expend two uses of mythic power, the target also gains the fatigued condition because of its painful disfigurement. If this fatigue is negated without removing the curse, it returns after 1 hour.	Ultimate Magic pg. 217	https://aonprd.com/SpellDisplay.aspx?ItemName=Disfiguring%20Touch
Disintegrate	transmutation			arcanist 6, magus 6, occultist 6, psychic 6, sorcerer 6, spiritualist 6, wizard 6	1 standard action	V, S, M/DF (a lodestone and a pinch of dust)	medium (100 ft. + 10 ft./level)			ray	instantaneous	Fortitude partial (object);	yes	A thin, green ray springs from your pointing finger. You must make a successful ranged touch attack to hit. Any creature struck by the ray takes 2d6 points of damage per caster level (to a maximum of 40d6). Any creature reduced to 0 or fewer hit points by this spell is entirely disintegrated, leaving behind only a trace of fine dust. A disintegrated creature's equipment is unaffected.<br>When used against an object, the ray simply disintegrates as much as a 10-foot cube of nonliving matter. Thus, the spell disintegrates only part of any very large object or structure targeted. The ray affects even objects constructed entirely of force, such as forceful hand or a wall of force, but not magical effects such as a globe of invulnerability or an antimagic field.<br>A creature or object that makes a successful Fortitude save is partially affected, taking only 5d6 points of damage. If this damage reduces the creature or object to 0 or fewer hit points, it is entirely disintegrated.<br>Only the first creature or object struck can be affected; that is, the ray affects only one target per casting.	Source Mythic Adventures pg. 91<br>The damage dealt increases to 3d6 points of damage per caster level (maximum 60d6) plus 1d4 points of Constitution damage.<br>A creature that succeeds at its saving throw takes 5d8 points of damage plus 1 point of Constitution damage. A creature whose Constitution score is reduced to 0 by this spell is entirely disintegrated.<br>Augmented (7th): If you expend two uses of mythic power, you fire two rays.<br>Alternatively, you may fire only one ray, but if the target is a non-mythic creature and it fails its saving throw, it’s automatically disintegrated regardless of its current hp.	PRPG Core Rulebook pg. 271	https://aonprd.com/SpellDisplay.aspx?ItemName=Disintegrate
Dispel Magic	abjuration			antipaladin 3, arcanist 3, bard 3, cleric 3, druid 4, hunter 4, inquisitor 3, magus 3, medium 3, mesmerist 3, occultist 3, oracle 3, paladin 3, psychic 3, shaman 3, skald 3, sorcerer 3, spiritualist 3, summoner 3, summoner (unchained) 3, warpriest 3, witch 3, wizard 3	1 standard action	V, S	medium (100 ft. + 10 ft./level)				instantaneous	none;	no	You can use dispel magic to end one ongoing spell that has been cast on a creature or object, to temporarily suppress the magical abilities of a magic item, or to counter another spellcaster's spell. A dispelled spell ends as if its duration had expired. Some spells, as detailed in their descriptions, can't be defeated by dispel magic. Dispel magic can dispel (but not counter) spell-like effects just as it does spells. The effect of a spell with an instantaneous duration can't be dispelled, because the magical effect is already over before the dispel magic can take effect.<br>You choose to use dispel magic in one of two ways: a targeted dispel or a counterspell.<br>Targeted Dispel: One object, creature, or spell is the target of the dispel magic spell. You make one dispel check (1d20 + your caster level) and compare that to the spell with highest caster level (DC = 11 + the spell's caster level). If successful, that spell ends. If not, compare the same result to the spell with the next highest caster level. Repeat this process until you have dispelled one spell affecting the target, or you have failed to dispel every spell.<br>For example, a 7th-level caster casts dispel magic, targeting a creature affected by stoneskin (caster level 12th) and fly (caster level 6th). The caster level check results in a 19. This check is not high enough to end the stoneskin (which would have required a 23 or higher), but it is high enough to end the fly (which only required a 17). Had the dispel check resulted in a 23 or higher, the stoneskin would have been dispelled, leaving the fly intact. Had the dispel check been a 16 or less, no spells would have been affected.<br>You can also use a targeted dispel to specifically end one spell affecting the target or one spell affecting an area (such as a wall of fire). You must name the specific spell effect to be targeted in this way. If your caster level check is equal to or higher than the DC of that spell, it ends. No other spells or effects on the target are dispelled if your check is not high enough to end the targeted effect.<br>If you target an object or creature that is the effect of an ongoing spell (such as a monster summoned by summon monster), you make a dispel check to end the spell that conjured the object or creature.<br>If the object that you target is a magic item, you make a dispel check against the item's caster level (DC = 11 + the item's caster level). If you succeed, all the item's magical properties are suppressed for 1d4 rounds, after which the item recovers its magical properties. A suppressed item becomes nonmagical for the duration of the effect. An interdimensional opening (such as a bag of holding) is temporarily closed. A magic item's physical properties are unchanged: A suppressed magic sword is still a sword (a masterwork sword, in fact). Artifacts and deities are unaffected by mortal magic such as this.<br>You automatically succeed on your dispel check against any spell that you cast yourself.<br>Counterspell: When dispel magic is used in this way, the spell targets a spellcaster and is cast as a counterspell. Unlike a true counterspell, however, dispel magic may not work; you must make a dispel check to counter the other spellcaster's spell.	Source Mythic Adventures pg. 92<br>When used as a targeted dispel, this spell can end two spells affecting the target instead of just one. If the targeted dispel successfully dispels at least one spell, you heal 1d4 points of damage for every spell level of the dispelled spell. If you dispel two spells, this healing applies only to the highest-level spell dispelled. If you use this spell to counterspell, roll your dispel check twice and take the higher result. Dispel Magic, Greater<br>Source PRPG Core Rulebook pg. 272<br>School abjuration; Level arcanist 6, bard 5, cleric 6, druid 6, hunter 6, inquisitor 6, magus 6, occultist 5, oracle 6, psychic 6, shaman 6, skald 5, sorcerer 6, spiritualist 6, summoner 5, summoner (unchained) 5, warpriest 6, witch 6, wizard 6Casting<br>Casting Time 1 standard action<br>Components V, SEffect<br>Range medium (100 ft. + 10 ft./level)<br>Target or Area one spellcaster, creature, object, or a 20-ft.-radius burst<br>Duration instantaneous<br>Saving Throw none; Spell Resistance noDescription<br>This spell functions like dispel magic, except that it can end more than one spell on a target and it can be used to target multiple creatures.<br>You choose to use greater dispel magic in one of three ways: a targeted dispel, area dispel, or a counterspell:<br>Targeted Dispel: This functions as a targeted dispel magic, but it can dispel one spell for every four caster levels you possess, starting with the highest level spells and proceeding to lower level spells.<br>Additionally, greater dispel magic has a chance to dispel any effect that remove curse can remove, even if dispel magic can't dispel that effect. The DC of this check is equal to the curse's DC.<br>Area Dispel: When greater dispel magic is used in this way, the spell affects everything within a 20-foot-radius burst. Roll one dispel check and apply that check to each creature in the area, as if targeted by dispel magic. For each object within the area that is the target of one or more spells, apply the dispel check as with creatures. Magic items are not affected by an area dispel.<br>For each ongoing area or effect spell whose point of origin is within the area of the greater dispel magic spell, apply the dispel check to dispel the spell. For each ongoing spell whose area overlaps that of the greater dispel magic spell, apply the dispel check to end the effect, but only within the overlapping area.<br>If an object or creature that is the effect of an ongoing spell (such as a monster summoned by summon monster) is in the area, apply the dispel check to end the spell that conjured that object or creature (returning it whence it came) in addition to attempting to dispel one spell targeting the creature or object.<br>You may choose to automatically succeed on dispel checks against any spell that you have cast.<br>Counterspell: This functions as dispel magic, but you receive a +4 bonus on your dispel check to counter the other spellcaster's spell.	PRPG Core Rulebook pg. 272	https://aonprd.com/SpellDisplay.aspx?ItemName=Dispel%20Magic
Divine Favor	evocation			cleric 1, inquisitor 1, oracle 1, paladin 1, warpriest 1	1 standard action	V, S, DF	personal	you			1 minute			Calling upon the strength and wisdom of a deity, you gain a +1 luck bonus on attack and weapon damage rolls for every three caster levels you have (at least +1, maximum +3). The bonus doesn't apply to spell damage.	Source Mythic Adventures pg. 92<br>You also gain the luck bonus on saving throws and skill checks. Alternatively, you can cast this spell on another willing creature, changing the range to touch and target to living creature touched.	PRPG Core Rulebook pg. 273	https://aonprd.com/SpellDisplay.aspx?ItemName=Divine%20Favor
Divine Pursuit	transmutation			inquisitor 5	1 standard action	V, S	personal	you			1 minute/level; see text			Select one creature within 60 feet that you have damaged. If that creature has a burrow, climb, fly, or swim speed, you gain that form of movement for the duration of the spell at the same speed and maneuverability as the selected creature. If this gives you the burrow or swim speed, you can breathe while burrowing or swimming. If the creature moves 1,000 feet or more from you, the spell ends. If the creature has more than one of these types of movement, you select one from the types available to the creature.	Source Mythic Adventures pg. 92<br>The speed of the movement form provided by the spell increases by 30 feet. This adjustment is treated as an enhancement bonus. You gain a bonus on Perception and Survival skill checks attempted against the selected creature. This is a sacred bonus if you’re good or a profane bonus if you’re evil; if you’re neutral, choose either the sacred or profane bonus.	Ultimate Magic pg. 217	https://aonprd.com/SpellDisplay.aspx?ItemName=Divine%20Pursuit
Dominate Person	enchantment	compulsion	mind-affecting	arcanist 5, bard 4, mesmerist 4, occultist 5, psychic 5, shaman 5, skald 4, sorcerer 5, spiritualist 5, witch 5, wizard 5	1 round	V, S	close (25 ft. + 5 ft./2 levels)	one humanoid			1 day/level	Will negates;	yes	You can control the actions of any humanoid creature through a telepathic link that you establish with the subject's mind.<br>If you and the subject have a common language, you can generally force the subject to perform as you desire, within the limits of its abilities. If no common language exists, you can communicate only basic commands, such as “Come here,” “Go there,” “Fight,” and “Stand still.” You know what the subject is experiencing, but you do not receive direct sensory input from it, nor can it communicate with you telepathically.<br>Once you have given a dominated creature a command, it continues to attempt to carry out that command to the exclusion of all other activities except those necessary for day-to-day survival (such as sleeping, eating, and so forth). Because of this limited range of activity, a Sense Motive check against DC 15 (rather than DC 25) can determine that the subject's behavior is being influenced by an enchantment effect (see the Sense Motive skill description).<br>Changing your orders or giving a dominated creature a new command is a move action.<br>By concentrating fully on the spell (a standard action), you can receive full sensory input as interpreted by the mind of the subject, though it still can't communicate with you. You can't actually see through the subject's eyes, so it's not as good as being there yourself, but you still get a good idea of what's going on.<br>Subjects resist this control, and any subject forced to take actions against its nature receives a new saving throw with a +2 bonus. Obviously self-destructive orders are not carried out. Once control is established, the range at which it can be exercised is unlimited, as long as you and the subject are on the same plane. You need not see the subject to control it.<br>If you don't spend at least 1 round concentrating on the spell each day, the subject receives a new saving throw to throw off the domination.<br>Protection from evil or a similar spell can prevent you from exercising control or using the telepathic link while the subject is so warded, but such an effect does not automatically dispel it.	Source Mythic Adventures pg. 92<br>The Sense Motive DC to notice your target is dominated increases by double your tier. You can give orders to the target even if it’s protected by non-mythic effects that block magical control, such as protection from evil. If the target is protected by a mythic effect, you can attempt to overcome this defense with a caster level check (DC 15 plus the caster level of the effect); add your tier to your roll and the opposing caster’s tier to the DC. If the target succeeds at its Will save to break your control, as an immediate action you can expend one use of mythic power to force it to reroll the save and use the lower result.	PRPG Core Rulebook pg. 274	https://aonprd.com/SpellDisplay.aspx?ItemName=Dominate%20Person
Draconic Reservoir	evocation		acid, cold, electricity, or fire	alchemist 3, arcanist 3, bloodrager 3, investigator 3, sorcerer 3, wizard 3	1 standard action	V, S, M (a scale from dragon that produces the energy you seek to absorb)	touch	creature touched			10 minutes/level or until discharged; see text	Fortitude negates (harmless);	yes (harmless)	Draconic reservoir functions as protection from energy, absorbing 6 points of one type of energy damage per caster level (acid, cold, electricity, or fire, maximum 60 points). Each round, as a swift action, the subject can release 1d6 points of the absorbed energy and apply it to any melee attack, as if using an acidic, flaming, frost, or shock weapon. The first creature the subject strikes with this attack takes the energy damage in addition to any other consequences of the attack. Releasing energy in this way does not “free up” space to absorb still more energy; the maximum amount of energy the spell can absorb remains fixed. The subject cannot release more energy than he currently has absorbed. Once the subject has absorbed all the energy allowed by the spell, he takes damage as normal from that energy type. Once the energy has been released, the spell is discharged.<br>Draconic reservoir does not stack with protection from energy. Draconic reservoir overlaps (and does not stack with) resist energy. If a character is warded by draconic reservoir and resist energy, draconic reservoir absorbs damage until it reaches its maximum limit.	Source Mythic Adventures pg. 92<br>The amount of energy damage the spell absorbs increases to 10 points per caster level (maximum 100 points). The energy damage from the weapons improves as if using a corrosive burst, flaming burst, icy burst, or shocking burst weapon.<br>Augmented (3rd): If you expend two uses of mythic power, spending a swift action applies the energy damage to any number of creatures the target hits this round, not just the first.	Advanced Player's Guide pg. 217	https://aonprd.com/SpellDisplay.aspx?ItemName=Draconic%20Reservoir
Dragon's Breath	evocation		acid, cold, electricity, or fire	alchemist 4, arcanist 4, bloodrager 4, investigator 4, magus 4, sorcerer 4, wizard 4	1 standard action	V, S, M (a dragon scale)	30 ft. or 60 ft.		cone-shaped burst or line		instantaneous	Reflex half;	yes	You breathe out a blast of energy. Creatures in the affected area take 1d6 points of energy damage per caster level (maximum of 12d6). A successful Reflex save results in half damage. The spell’s effect and energy type depend on the type of dragon scale used:<br>Black dragon: 60-foot line of acid.<br>Blue or bronze dragon: 60-foot line of electricity.<br>Green dragon: 30-foot cone of acid.<br>Gold or red dragon: 30-foot cone of fire.<br>Silver or white dragon: 30-foot cone of cold.<br>Brass dragon: 60-foot line of fire.<br>Copper dragon: 60-foot line of acid.	Source Mythic Adventures pg. 92<br>The spell’s duration changes to 1 minute/level or until discharged. You can use the breath weapon up to three times during this duration. On the round you cast the spell, using the breath weapon is a free action; later uses require a standard action. You must wait 1d4 rounds between each use of the breath weapon. All uses for a particular casting have the same range, area, and energy type. You can have only one dragon’s breath spell in effect at a time; casting a new one ends the previous one.	Advanced Player's Guide pg. 217	https://aonprd.com/SpellDisplay.aspx?ItemName=Dragon's%20Breath
Dream	illusion	phantasm	mind-affecting	alchemist 5, arcanist 5, bard 5, investigator 5, medium 3, mesmerist 4, psychic 4, redmantisassassin 3, skald 5, sorcerer 5, spiritualist 5, wizard 5	1 minute	V, S	unlimited	one living creature touched			see text	none;	yes	You, or a messenger you touch, send a message to others in the form of a dream. At the beginning of the spell, you must name the recipient or identify him or her by some title that leaves no doubt as to identity. The messenger then enters a trance, appears in the intended recipient's dream, and delivers the message. The message can be of any length, and the recipient remembers it perfectly upon waking. The communication is one-way. The recipient cannot ask questions or offer information, nor can the messenger gain any information by observing the dreams of the recipient.<br>Once the message is delivered, the messenger's mind returns instantly to its body. The duration of the spell is the time required for the messenger to enter the recipient's dream and deliver the message.<br>If the recipient is awake when the spell begins, the messenger can choose to wake up (ending the spell) or remain in the trance. The messenger can remain in the trance until the recipient goes to sleep, then enter the recipient's dream and deliver the message as normal. A messenger that is disturbed during the trance comes awake, ending the spell.<br>Creatures who don't sleep or don't dream cannot be contacted by this spell.<br>The messenger is unaware of its own surroundings or of the activities around it while in the trance. It is defenseless both physically and mentally (always failing any saving throw) while in the trance.	Source Mythic Adventures pg. 92<br>You or the messenger may gain information from the dreamer you contact by asking questions as if using speak with dead to speak with a corpse. An unwilling dreamer can attempt to resist this probing with a Will save (as speak with dead, using the DC dream would have if it allowed a saving throw). Answers to these questions are still generally brief and cryptic.	PRPG Core Rulebook pg. 274	https://aonprd.com/SpellDisplay.aspx?ItemName=Dream
Dust of Twilight	conjuration		darkness	arcanist 2, bard 2, bloodrager 2, skald 2, sorcerer 2, wizard 2	1 standard action	V, S, M (coal dust)	medium (100 ft. + 10 ft./level)	creatures and objects in a 10-ft. spread			instantaneous	Fortitude negates (fatigue only);	no	A shower of iridescent black particles clings to and extinguishes torches, lanterns, sunrods, and similar mundane light sources and dispels any spell of 2nd level or lower with the light descriptor (as dispel magic). Creatures in the area must make a Fortitude save or become fatigued.	Source Mythic Adventures pg. 92<br>A creature that fails its Fortitude save against the spell must also succeed at a Will save at the same DC or fall asleep (as the sleep spell). Creatures that succeed at their saves are merely drowsy (as the lullaby spell).<br>Augmented: If you expend two uses of mythic power, add half your tier to the level of light spells mythic dust of twilight dispels.	Advanced Player's Guide pg. 217	https://aonprd.com/SpellDisplay.aspx?ItemName=Dust%20of%20Twilight
Ear-Piercing Scream	evocation		sonic	arcanist 1, bard 1, bloodrager 1, inquisitor 1, medium 1, psychic 1, skald 1, sorcerer 1, witch 1, wizard 1	1 standard action	V, S	close (25 ft. + 5 ft./2 levels)	one creature			instantaneous; see text	Fortitude partial (see text);	yes	You unleash a powerful scream, inaudible to all but a single target. The target is dazed for 1 round and takes 1d6 points of sonic damage per two caster levels (maximum 5d6). A successful save negates the daze effect and halves the damage.	Source Mythic Adventures pg. 92<br>The damage dealt increases to 1d8 points of sonic damage per 2 caster levels (maximum 5d8) and the duration that creatures in the area are dazed is a number of rounds equal to your tier.<br>Augmented (3rd): If you expend two uses of mythic power, the spell affects a 30-foot cone rather than a single target.	Ultimate Magic pg. 218	https://aonprd.com/SpellDisplay.aspx?ItemName=Ear-Piercing%20Scream
Earthquake	evocation		earth	cleric 8, druid 8, oracle 8, psychic 8, shaman 8	1 standard action	V, S, DF	long (400 ft. + 40 ft./level)		80-ft.-radius spread (S)		1 round	see text;	no	When you cast earthquake, an intense but highly localized tremor rips the ground. The powerful shockwave created by this spell knocks creatures down, collapses structures, opens cracks in the ground, and more. The effect lasts for 1 round, during which time creatures on the ground can't move or attack. A spellcaster on the ground must make a Concentration check (DC 20 + spell level) or lose any spell he or she tries to cast. The earthquake affects all terrain, vegetation, structures, and creatures in the area. The specific effect of an earthquake spell depends on the nature of the terrain where it is cast.<br>Cave, Cavern, or Tunnel: The roof collapses, dealing 8d6 points of damage to any creature caught under the cave-in (Reflex DC 15 half) and pinning that creature beneath the rubble (see below). An earthquake cast on the roof of a very large cavern could also endanger those outside the actual area but below the falling debris and rubble.<br>Cliffs: Earthquake causes a cliff to crumble, creating a landslide that travels horizontally as far as it falls vertically. Any creature in the path takes 8d6 points of bludgeoning damage (Reflex DC 15 half) and is pinned beneath the rubble (see below).<br>Open Ground: Each creature standing in the area must make a DC 15 Reflex save or fall down. Fissures open in the earth, and every creature on the ground has a 25% chance to fall into one (Reflex DC 20 to avoid a fissure). The fissures are 40 feet deep. At the end of the spell, all fissures grind shut. Treat all trapped creatures as if they were in the bury zone of an avalanche, trapped without air (see Environment for more details).<br>Structure: Any structure standing on open ground takes 100 points of damage, enough to collapse a typical wooden or masonry building, but not a structure built of stone or reinforced masonry. Hardness does not reduce this damage, nor is it halved as damage dealt to objects normally is. Any creature caught inside a collapsing structure takes 8d6 points of bludgeoning damage (Reflex DC 15 half) and is pinned beneath the rubble (see below).<br>River, Lake, or Marsh: Fissures open under the water, draining away the water from that area and forming muddy ground. Soggy marsh or swampland becomes quicksand for the duration of the spell, sucking down creatures and structures. Each creature in the area must make a DC 15 Reflex save or sink down in the mud and quicksand. At the end of the spell, the rest of the body of water rushes in to replace the drained water, possibly drowning those caught in the mud.<br>Pinned Beneath Rubble: Any creature pinned beneath rubble takes 1d6 points of nonlethal damage per minute while pinned. If a pinned character falls unconscious, he or she must make a DC 15 Constitution check or take 1d6 points of lethal damage each minute thereafter until freed or dead.	Source Mythic Adventures pg. 92<br>Increase the damage dealt to structures by 10 points of damage per tier. Increase the damage dealt by cave-ins and landslides to 10d8 points of damage. Increase the damage dealt to those pinned beneath rubble to 1d10 points per minute. Add your tier to the DC of concentration checks and Constitution checks attempted as a consequence of this spell.<br>Augmented (8th): If you expend two uses of mythic power, the spell lasts for an additional round and the spread’s radius increases by 20 feet. Each round this spell is in effect, on your turn you may expend one use of mythic power to continue its duration for 1 round and increase its radius by another 20 feet.	PRPG Core Rulebook pg. 275	https://aonprd.com/SpellDisplay.aspx?ItemName=Earthquake
Elemental Body I	transmutation	polymorph		alchemist 4, arcanist 4, bloodrager 4, investigator 4, magus 4, redmantisassassin 4, sorcerer 4, wizard 4	1 standard action	V, S, M (the element you plan to assume)	personal	you			1 min./level			When you cast this spell, you can assume the form of a Small air, earth, fire, or water elemental. The abilities you gain depend upon the type of elemental into which you change. Elemental abilities based on size, such as burn, vortex, and whirlwind, use the size of the elemental you transform into to determine their effect.<br>Air elemental: If the form you take is that of a Small air elemental, you gain a +2 size bonus to your Dexterity and a +2 natural armor bonus. You also gain fly 60 feet (perfect), darkvision 60 feet, and the ability to create a whirlwind.<br>Earth elemental: If the form you take is that of a Small earth elemental, you gain a +2 size bonus to your Strength and a +4 natural armor bonus. You also gain darkvision 60 feet and the ability to earth glide.<br>Fire elemental: If the form you take is that of a Small fire elemental, you gain a +2 size bonus to your Dexterity and a +2 natural armor bonus. You gain darkvision 60 feet, resist fire 20, vulnerability to cold, and the burn ability.<br>Water elemental: If the form you take is that of a Small water elemental, you gain a +2 size bonus to your Constitution and a +4 natural armor bonus. You also gain swim 60 feet, darkvision 60 feet, the ability to create a vortex, and the ability to breathe water.	Source Mythic Adventures pg. 92<br>Each mythic elemental body spell must be learned individually, and you must know the respective non-mythic elemental body spell to learn its mythic version. You don’t have to learn them in order, and aren’t required to know a lower-level mythic elemental body spell before you learn a higher-level one (for example, you can learn mythic elemental body II if you know elemental body II, even if you don’t know mythic elemental body I). Each mythic elemental body spell adds the following benefits to its respective non-mythic version. The spell’s bonuses to ability scores increase by 2, the natural armor bonus increases by 1, and the ability score penalties decrease by 2 (minimum penalty of 0). There is a 50% chance any critical hit or sneak attack against you is treated as a normal hit, as if you were wearing medium fortification armor.<br>Augmented (3rd): If you expend two uses of mythic power, the ability score bonuses increase by an additional 2. You can also, a number of times equal to your tier, add half your tier to the DC of one spell you cast with an energy descriptor that matches your elemental type (air: electricity, earth: acid, fire: fire, water: cold). Elemental Body II<br>Source PRPG Core Rulebook pg. 276<br>School transmutation (polymorph); Level alchemist 5, arcanist 5, investigator 5, magus 5, sorcerer 5, wizard 5Casting<br>Casting Time 1 standard action<br>Components V, S, M (the element you plan to assume)Effect<br>Range personal<br>Target you<br>Duration 1 min./levelDescription<br>This spell functions as elemental body I, except that it also allows you to assume the form of a Medium air, earth, fire, or water elemental. The abilities you gain depend upon the elemental.<br>Air elemental: As elemental body I except that you gain a +4 size bonus to your Dexterity and a +3 natural armor bonus.<br>Earth elemental: As elemental body I except that you gain a +4 size bonus to your Strength and a +5 natural armor bonus.<br>Fire elemental: As elemental body I except that you gain a +4 size bonus to your Dexterity and a +3 natural armor bonus.<br>Water elemental: As elemental body I except that you gain a +4 size bonus to your Constitution and a +5 natural armor bonus.	PRPG Core Rulebook pg. 275	https://aonprd.com/SpellDisplay.aspx?ItemName=Elemental%20Body%20I
