feat	req_type	req_value
Mobility	ability	Dex 13
Mobility	feat	Dodge
Spring-Heeled Reaping	ability	Dex 17
Spring-Heeled Reaping	feat	Dodge
Spring-Heeled Reaping	feat	Mobility
Spring-Heeled Reaping	feat	Shot on the Run or Spring Attack
Spring-Heeled Reaping	feat	Spring-Heeled Sprint
Spring-Heeled Reaping	feat	Spring-Heeled Style
Spring-Heeled Reaping	bab	base attack bonus +11
Spring-Heeled Reaping	other	proficiency with light armor
Spring-Heeled Sprint	ability	Dex 15
Spring-Heeled Sprint	feat	Dodge
Spring-Heeled Sprint	feat	Mobility
Spring-Heeled Sprint	feat	Shot on the Run or Spring Attack
Spring-Heeled Sprint	feat	Spring-Heeled Style
Spring-Heeled Sprint	bab	base attack bonus +7
Spring-Heeled Sprint	other	proficiency with light armor
Spring-Heeled Style	ability	Dex 13
Spring-Heeled Style	feat	Dodge
Spring-Heeled Style	feat	Mobility
Spring-Heeled Style	feat	Shot on the Run or Spring Attack
Spring-Heeled Style	bab	base attack bonus +4
Spring-Heeled Style	other	proficiency with light armor
Swift Iron Style	ability	Str 13
Swift Iron Style	ability	Dex 13
Swift Iron Style	other	proficiency with medium armor
Swift Refuge	ability	Str 13
Swift Refuge	ability	Dex 13
Swift Refuge	feat	Swift Iron Style
Swift Refuge	other	proficiency with medium armor
Swift Sprint	ability	Str 13
Swift Sprint	ability	Dex 13
Swift Sprint	feat	Swift Iron Style
Swift Sprint	feat	Swift Refuge
Swift Sprint	other	proficiency with medium armor
Callous Casting	skill	Spellcraft 1 rank
Friendly Fire	feat	Precise Shot
Precise Shot	feat	Point-Blank Shot
Reckless Moves	skill	Acrobatics 3 ranks
Splash Volley	bab	Base attack bonus +1
Wild Flanking	feat	Power Attack
Wild Flanking	bab	base attack bonus +4
Abeyance	ability	Int 13
Abeyance	skill	Spellcraft 5 ranks
Abeyance	skill	Use Magic Device 1 rank
Blunt Blade	ability	Int 13
Blunt Blade	bab	base attack bonus +6
Blunt Blade	skill	Use Magic Device 1 rank
Cataract	ability	Int 13
Cataract	skill	Perception 5 ranks
Cataract	skill	Use Magic Device 1 rank
Consumption	ability	Int 13
Consumption	skill	Use Magic Device 5 ranks
Falter	ability	Int 13
Falter	skill	Spellcraft 5 ranks
Falter	skill	Use Magic Device 5 ranks
Hinder	ability	Int 13
Hinder	skill	Use Magic Device 5 ranks
Shot on the Run	ability	Dex 13
Shot on the Run	feat	Dodge
Shot on the Run	feat	Mobility
Shot on the Run	feat	Point-Blank Shot
Shot on the Run	bab	base attack bonus +4
Uncertainty	ability	Int 13
Uncertainty	feat	Bluff
Uncertainty	feat	Diplomacy
Uncertainty	skill	and Intimidate 5 ranks
Combat Expertise	ability	Int 13
Greater Called Shot	ability	Int 13
Greater Called Shot	feat	Combat Expertise
Greater Called Shot	feat	Improved Called Shot
Greater Called Shot	bab	base attack bonus +6
Improved Called Shot	ability	Int 13
Improved Called Shot	feat	Combat Expertise
Adder Strike	feat	Poison use class feature
Adder Strike	skill	Craft (alchemy) 1 rank
Adder Strike	feat	Improved Unarmed Strike
Aldori Dueling Disciple	feat	Exotic Weapon Proficiency (Aldori dueling sword)
Aldori Dueling Disciple	feat	Weapon Finesse
Aldori Dueling Disciple	feat	Weapon Focus (Aldori dueling sword)
Aldori Dueling Mastery	feat	Exotic Weapon Proficiency (Aldori dueling sword)
Aldori Dueling Mastery	feat	Quick Draw
Aldori Dueling Mastery	feat	Weapon Finesse
Aldori Dueling Mastery	feat	Weapon Focus (Aldori dueling sword)
Amateur Gunslinger	level	You have no levels in a class that has the grit class feature
Amateur Swashbuckler	level	No levels in a class that has the panache class feature
Ambush Awareness	feat	Alertness
Anticipate Dodge	feat	Dodge
Anticipate Dodge	feat	Mobility
Anticipate Dodge	bab	base attack bonus +7
Anticipate Dodge	level	brawler level 4th
Anticipate Dodge	level	or monk level 4th
Arc Slinger	feat	Point-Blank Shot
Arc Slinger	other	proficient with sling or halfling sling staff
Arcane Armor Mastery	feat	Arcane Armor Training
Arcane Armor Mastery	feat	Medium Armor Proficiency
Arcane Armor Mastery	caster_level	caster level 7th
Arcane Armor Training	feat	Light Armor Proficiency
Arcane Armor Training	caster_level	caster level 3rd
Arcane Strike	feat	Ability to cast arcane spells
Armor Focus	bab	Base attack bonus +1
Armor Focus	other	proficiency with selected armor
Armor Trick	bab	Base attack bonus +1
Armored Athlete	feat	Light armor proficiency
Armored Athlete	other	medium armor proficiency
Armored Athlete	skill	3 ranks in any Dexterity- or Strength-based skill
Artful Dodge	ability	Int 13
Awe-Inspiring Smash	ability	Str 15
Awe-Inspiring Smash	feat	Power Attack
Awe-Inspiring Smash	bab	base attack bonus +3
Barroom Brawler	bab	Base attack bonus +4
Bashing Finish	feat	Improved Shield Bash
Bashing Finish	feat	Shield Master
Bashing Finish	feat	Two-Weapon Fighting
Bashing Finish	bab	base attack bonus +11
Battle Cry	ability	Cha 13
Battle Cry	bab	base attack bonus +5 or Perform (act, oratory, or sing) 5 ranks
Befuddling Strike	ability	Dex 13
Befuddling Strike	ability	Wis 13
Befuddling Strike	feat	Improved Unarmed Strike
Befuddling Strike	bab	base attack bonus +8
Binding Throw	feat	Improved Grapple
Binding Throw	feat	Improved Trip
Binding Throw	feat	Improved Unarmed Strike
Binding Throw	feat	Ki Throw
Black Powder Spectacle	feat	Amateur GunslingerUC or the grit class feature
Black Powder Spectacle	bab	base attack bonus +4
Blazing Aura (ARG)	feat	Inner Flame
Blazing Aura (ARG)	feat	Scorching Weapons
Blazing Aura (ARG)	level	character level 13th
Blazing Aura (ARG)	other	ifrit
Bleeding Critical	feat	Critical Focus
Bleeding Critical	bab	base attack bonus +11
Blinding Critical	feat	Critical Focus
Blinding Critical	bab	base attack bonus +15
Blistering Feint	feat	Combat Expertise
Blistering Feint	feat	Improved Feint
Blistering Feint	other	ifrit
Blood Beak	bab	Base attack bonus +5
Blood Beak	other	natural weapon racial trait
Blood Beak	other	tengu
Blooded Arcane Strike	feat	Arcane Strike
Blooded Arcane Strike	other	ability to cast arcane spells
Blooded Arcane Strike	other	bloodrage class feature
Bloodletting	feat	Worshiper of Zon-Kuthon
Bloody Assault	ability	Str 13
Bloody Assault	feat	Power Attack
Bloody Assault	bab	base attack bonus +6
Bloody Sabres	ability	Dex 15
Bloody Sabres	feat	Exotic Weapon Proficiency (sawtooth sabre)
Bloody Sabres	feat	Two-Weapon Fighting
Bloody Sabres	other	worshiper of Achaekek
Blundering Defense	feat	Cautious Fighter
Blundering Defense	other	halfling
Boar Ferocity	feat	Improved Unarmed Strike
Boar Ferocity	feat	Boar Style
Boar Ferocity	skill	Intimidate 6 ranks
Boar Shred	feat	Improved Unarmed Strike
Boar Shred	feat	Boar Ferocity
Boar Shred	feat	Boar Style
Boar Shred	skill	Intimidate 9 ranks
Boar Style	feat	Improved Unarmed Strike
Boar Style	skill	Intimidate 3 ranks
Body Shield	ability	Dex 13
Body Shield	feat	Improved Grapple
Body Shield	feat	Improved Unarmed Strike
Body Shield	bab	base attack bonus +6
Bodyguard	feat	Combat Reflexes
Bonebreaker	ability	Dex 13
Bonebreaker	feat	Improved Grapple
Bonebreaker	feat	Improved Unarmed Strike
Bonebreaker	feat	Jawbreaker
Bonebreaker	feat	Stunning Fist
Bonebreaker	skill	Heal 9 ranks
Break Guard	ability	Dex 15
Break Guard	ability	Int 13
Break Guard	feat	Combat Expertise
Break Guard	feat	Improved Disarm
Break Guard	feat	Two-Weapon Fighting
Broken Wing Gambit	skill	Bluff 5 ranks
Bull Rush Strike	ability	Str 13
Bull Rush Strike	feat	Improved Bull Rush
Bull Rush Strike	feat	Power Attack
Bull Rush Strike	bab	base attack bonus +9
Bullseye Shot	feat	Point-Blank Shot
Bullseye Shot	feat	Precise Shot
Bullseye Shot	bab	base attack bonus +5
Bullying Blow	skill	Intimidate 1 rank
Bullying Blow	other	orc
Butterfly's Sting	feat	Combat Expertise
Butterfly's Sting	other	worshiper of Desna
Cannon Master	feat	Siege EngineerUC
Cannon Master	skill	Knowledge (engineering) or Profession (siege engineer) 7 ranks
Cannon Master	other	proficiency with at least one firearm siege engine
Canny Tumble	feat	Dodge
Canny Tumble	feat	Mobility
Canny Tumble	skill	Acrobatics 5 ranks
Casterbane Shot	feat	Amateur GunslingerUC or the grit class feature
Casterbane Shot	feat	Point-Blank Shot
Casterbane Shot	feat	Precise Shot
Casterbane Shot	bab	base attack bonus +4
Cautious Fighter	feat	Halfling
Cavalry Formation	feat	Mounted Combat
Channel Smite	feat	Channel energy class feature
Channeling Force	feat	Ability to cast at least one force spell
Channeling Force	other	channel energy class feature
Charge Through	ability	Str 13
Charge Through	feat	Improved Overrun
Charge Through	feat	Power Attack
Charge Through	bab	base attack bonus +1
Charge of the Righteous	bab	Base attack bonus +1
Charge of the Righteous	other	any good alignment
Charging Hurler	feat	Point-Blank Shot
Chokehold	feat	Improved Grapple
Chokehold	feat	Improved Unarmed Strike
Chokehold	bab	base attack bonus +6 or monk level 5th
Claw Pounce	ability	Str 13
Claw Pounce	ability	Dex 15
Claw Pounce	feat	Nimble Striker
Claw Pounce	bab	base attack bonus +10
Claw Pounce	other	catfolk
Claw Pounce	other	cat’s claws racial trait or Aspect of the Beast (claws of the beast manifestation)
Cleave Through	ability	Str 13
Cleave Through	feat	Cleave
Cleave Through	feat	Power Attack
Cleave Through	bab	base attack bonus +11
Cleave Through	other	dwarf
Cleave	ability	Str 13
Cleave	feat	Power Attack
Cleave	bab	base attack bonus +1
Cleaving Finish	ability	Str 13
Cleaving Finish	feat	Cleave
Cleaving Finish	feat	Power Attack
Close-Quarters Thrower	ability	Dex 13
Close-Quarters Thrower	feat	Dodge
Close-Quarters Thrower	feat	Weapon Focus with selected thrown weapon
Cloven Helm	feat	Dented Helm
Cloven Helm	feat	Hard-Headed
Cloven Helm	bab	base attack bonus +11
Cloven Helm	other	dwarf
Clustered Shots	feat	Point-Blank Shot
Clustered Shots	feat	Precise Shot
Clustered Shots	bab	base attack bonus +6
Cockatrice Strike	feat	Improved Unarmed Strike
Cockatrice Strike	feat	Gorgon’s Fist
Cockatrice Strike	feat	Medusa’s Wrath
Cockatrice Strike	bab	base attack bonus +14
Combat Patrol	feat	Combat Reflexes
Combat Patrol	feat	Mobility
Combat Patrol	bab	base attack bonus +5
Combat Style Master	feat	Improved Unarmed Strike
Combat Style Master	other	two or more style feats
Combat Style Master	bab	base attack bonus +6 or monk level 5th
Coordinated Charge	feat	You have at least two other teamwork feats
Coordinated Charge	bab	base attack bonus +10
Coordinated Shot	feat	Point-Blank Shot
Counter Reflexes	feat	Anticipate Dodge
Counter Reflexes	feat	Dodge
Counter Reflexes	feat	Mobility
Counter Reflexes	bab	base attack bonus +9
Counter Reflexes	level	brawler level 6th
Counter Reflexes	level	or monk level 6th
Counterpunch	ability	Dex 18
Counterpunch	feat	Combat Reflexes
Counterpunch	feat	Improved Unarmed Strike
Counterpunch	feat	Weapon Focus (unarmed strike)
Counterpunch	bab	base attack bonus +16 or brawler level 12th
Covering Defense	feat	Shield Focus
Covering Defense	bab	base attack bonus +6
Covering Shield	ability	Dex 13
Covering Shield	feat	Shield Focus
Covering Shield	feat	Shield Proficiency
Crane Riposte	feat	Crane Style
Crane Riposte	feat	Crane Wing
Crane Riposte	feat	Dodge
Crane Riposte	feat	Improved Unarmed Strike
Crane Riposte	bab	base attack bonus +8 or monk level 7th
Crane Style	feat	Dodge
Crane Style	feat	Improved Unarmed Strike
Crane Style	bab	base attack bonus +2 or monk level 1st
Crane Wing	feat	Crane Style
Crane Wing	feat	Dodge
Crane Wing	feat	Improved Unarmed Strike
Crane Wing	bab	base attack bonus +5 or monk level 5th
Crippling Critical	feat	Critical Focus
Crippling Critical	bab	base attack bonus +13
Critical Focus	bab	Base attack bonus +9
Critical Mastery	feat	Critical Focus
Critical Mastery	other	any two critical feats
Critical Mastery	level	14th-level fighter
Critical Versatility	level	Fighter level 11th
Critical Versatility	other	human
Crossbow Mastery	ability	Dex 15
Crossbow Mastery	feat	Point-Blank Shot
Crossbow Mastery	feat	Rapid Reload
Crossbow Mastery	feat	Rapid Shot
Crusader's Fist	feat	Lay on hands class feature or touch of corruption class feature
Crusader's Fist	feat	Improved Unarmed Strike
Crusader's Fist	bab	base attack bonus +6
Crushing Blow	feat	Improved Unarmed Strike
Crushing Blow	feat	Stunning Fist
Cushioning Shield	feat	Shield Focus
Cushioning Shield	bab	base attack bonus +6 or fighter level 4th
Dastardly Finish	feat	Sneak attack +5d6
Dazing Assault	ability	Str 13
Dazing Assault	feat	Power Attack
Dazing Assault	bab	base attack bonus +11
Dazing Fist	ability	Dex 13
Dazing Fist	ability	Wis 13
Dazing Fist	feat	Improved Unarmed Strike
Dazing Fist	bab	base attack bonus +4
Dazzling Display	feat	Weapon Focus
Dazzling Display	other	proficiency with the selected weapon
Deadly Aim	ability	Dex 13
Deadly Aim	bab	base attack bonus +1
Deadly Finish	bab	Base attack bonus +11
Deadly Stroke	feat	Dazzling Display
Deadly Stroke	feat	Greater Weapon Focus
Deadly Stroke	feat	Shatter Defenses
Deadly Stroke	feat	Weapon Focus
Deadly Stroke	other	proficiency with the selected weapon
Deadly Stroke	bab	base attack bonus +11
Deafening Critical	feat	Critical Focus
Deafening Critical	bab	base attack bonus +13
Death or Glory	ability	Str 13
Death or Glory	feat	Power Attack
Death or Glory	bab	base attack bonus +6
Deathless Initiate	ability	Str 13
Deathless Initiate	ability	Con 13
Deathless Initiate	other	orc or half-orc
Deathless Initiate	feat	Diehard
Deathless Initiate	feat	Endurance
Deathless Initiate	bab	base attack bonus +6
Deathless Master	ability	Str 13
Deathless Master	ability	Con 15
Deathless Master	other	orc or half-orc
Deathless Master	feat	Deathless Initiate
Deathless Master	feat	Diehard
Deathless Master	feat	Endurance
Deathless Master	feat	Ironhide
Deathless Master	bab	base attack bonus +9
Deathless Zealot	ability	Str 13
Deathless Zealot	ability	Con 17
Deathless Zealot	other	orc or half-orc
Deathless Zealot	feat	Deathless Initiate
Deathless Zealot	feat	Deathless Master
Deathless Zealot	feat	Diehard
Deathless Zealot	feat	Endurance
Deathless Zealot	feat	Ironhide
Deathless Zealot	bab	base attack bonus +12
Defended Movement	feat	Shield Focus
Defended Movement	bab	base attack bonus +6 or fighter level 4th
Defensive Weapon Training	ability	Int 13
Defensive Weapon Training	bab	base attack bonus +5
Deflect Arrows	ability	Dex 13
Deflect Arrows	feat	Improved Unarmed Strike
Demon Hunter	skill	Knowledge (planes) 6 ranks
Demoralizing Lash	bab	Base attack bonus +1
Demoralizing Lash	skill	Intimidate 1 rank
Demoralizing Lash	other	hobgoblin
Dented Helm	feat	Hard-Headed
Dented Helm	bab	base attack bonus +6
Dented Helm	other	dwarf
Desperate Swing	feat	Cautious Fighter
Desperate Swing	bab	base attack bonus +1
Desperate Swing	other	halfling
Destroy Identity	feat	Critical Focus
Destroy Identity	bab	base attack bonus +11
Destroy Identity	other	worshiper of Lamashtu
Destroyer's Blessing	feat	Half-orc or orc
Destroyer's Blessing	other	rage class feature
Devastating Strike	feat	Vital Strike
Devastating Strike	bab	base attack bonus +9
Disarming Strike	ability	Int 13
Disarming Strike	feat	Combat Expertise
Disarming Strike	feat	Improved Disarm
Disarming Strike	bab	base attack bonus +9
Disengaging Feint	ability	Int 13
Disengaging Feint	feat	Combat Expertise
Disengaging Feint	feat	Improved Feint
Disengaging Flourish	ability	Int 13
Disengaging Flourish	feat	Combat Expertise
Disengaging Flourish	feat	Disengaging Feint
Disengaging Flourish	feat	Improved Feint
Disengaging Shot	ability	Int 13
Disengaging Shot	feat	Combat Expertise
Disengaging Shot	feat	Disengaging Feint
Disengaging Shot	feat	Dodge
Disengaging Shot	feat	Improved Feint
Disengaging Shot	feat	Mobility
Disheartening Display	feat	Dazzling Display
Disheartening Display	feat	Weapon Focus
Disheartening Display	bab	base attack bonus +6
Disheartening Display	other	proficiency with chosen weapon
Disrupting Shot	ability	Dex 13
Disrupting Shot	feat	Point-Blank Shot
Disrupting Shot	level	fighter level 6th
Disruptive	level	6th-level fighter
Distance Thrower	ability	Str 13
Djinni Spin	ability	Con 15
Djinni Spin	ability	Wis 17
Djinni Spin	feat	Djinni Style
Djinni Spin	feat	Djinni Spirit
Djinni Spin	feat	Elemental Fist
Djinni Spin	feat	Improved Unarmed Strike
Djinni Spin	bab	base attack bonus +13 or monk level 11th
Djinni Spirit	ability	Con 15
Djinni Spirit	ability	Wis 15
Djinni Spirit	feat	Djinni Style
Djinni Spirit	feat	Elemental Fist
Djinni Spirit	feat	Improved Unarmed Strike
Djinni Spirit	bab	base attack bonus +11 or monk level 9th
Djinni Style	ability	Con 13
Djinni Style	ability	Wis 15
Djinni Style	feat	Elemental Fist
Djinni Style	feat	Improved Unarmed Strike
Djinni Style	bab	base attack bonus +9 or monk level 5th
Domain Strike	feat	Domain class feature
Domain Strike	feat	Improved Unarmed Strike
Double Slice	ability	Dex 15
Double Slice	feat	Two-Weapon Fighting
Drag Down	ability	Int 13
Drag Down	feat	Combat Expertise
Drag Down	feat	Improved Trip
Dragon Ferocity	ability	Str 15
Dragon Ferocity	feat	Improved Unarmed Strike
Dragon Ferocity	feat	Dragon Style
Dragon Ferocity	feat	Stunning Fist
Dragon Ferocity	skill	Acrobatics 5 ranks
Dragon Roar	ability	Str 15
Dragon Roar	feat	Improved Unarmed Strike
Dragon Roar	feat	Dragon Style
Dragon Roar	feat	Stunning Fist
Dragon Roar	skill	Acrobatics 8 ranks
Dragon Style	ability	Str 15
Dragon Style	feat	Improved Unarmed Strike
Dragon Style	skill	Acrobatics 3 ranks
Draining Strike	ability	Dex 13
Draining Strike	ability	Wis 13
Draining Strike	feat	Improved Unarmed Strike
Draining Strike	bab	base attack bonus +8
Dramatic Display	feat	Dazzling Display
Dreadful Carnage	ability	Str 15
Dreadful Carnage	feat	Power Attack
Dreadful Carnage	feat	Furious Focus
Dreadful Carnage	bab	base attack bonus +11
Dueling Cape Deed	feat	Amateur Swashbuckler† or panache† class feature
Dueling Cape Deed	feat	Dodge
Dueling Cape Deed	skill	Sleight of Hand 1 rank
Duelist of the Roaring Falls	feat	Aldori Dueling Disciple
Duelist of the Roaring Falls	feat	Exotic Weapon Proficiency (Aldori dueling sword)
Duelist of the Roaring Falls	feat	Weapon Finesse
Duelist of the Roaring Falls	feat	Weapon Focus (Aldori dueling sword)
Duelist of the Roaring Falls	bab	base attack bonus +5
Duelist of the Shrouded Lake	feat	Aldori Dueling Disciple
Duelist of the Shrouded Lake	feat	Exotic Weapon Proficiency (Aldori dueling sword)
Duelist of the Shrouded Lake	feat	Weapon Finesse
Duelist of the Shrouded Lake	feat	Weapon Focus (Aldori dueling sword)
Duelist of the Shrouded Lake	bab	base attack bonus +5
Earth Child Binder	ability	Wis 13
Earth Child Binder	other	dwarf or gnome
Earth Child Binder	other	defensive training racial trait
Earth Child Binder	feat	Earth Child Style
Earth Child Binder	feat	Earth Child Topple
Earth Child Binder	feat	Greater Trip
Earth Child Binder	feat	Improved Trip
Earth Child Binder	feat	Improved Unarmed Strike
Earth Child Binder	feat	Stunning Fist
Earth Child Binder	skill	Acrobatics 9 ranks
Earth Child Style	ability	Wis 13
Earth Child Style	other	dwarf or gnome
Earth Child Style	other	defensive training racial trait
Earth Child Style	feat	Improved Unarmed Strike
Earth Child Style	skill	Acrobatics 3 ranks
Earth Child Topple	ability	Wis 13
Earth Child Topple	other	dwarf or gnome
Earth Child Topple	other	defensive training racial trait
Earth Child Topple	feat	Earth Child Style
Earth Child Topple	feat	Improved Trip
Earth Child Topple	feat	Improved Unarmed Strike
Earth Child Topple	skill	Acrobatics 6 ranks
Efreeti Stance	ability	Con 15
Efreeti Stance	ability	Wis 15
Efreeti Stance	feat	Efreeti Style
Efreeti Stance	feat	Elemental Fist
Efreeti Stance	feat	Improved Unarmed Strike
Efreeti Stance	bab	base attack bonus +11 or monk level 9th
Efreeti Style	ability	Con 13
Efreeti Style	ability	Wis 15
Efreeti Style	feat	Elemental Fist
Efreeti Style	feat	Improved Unarmed Strike
Efreeti Style	bab	base attack bonus +9 or monk level 5th
Efreeti Touch	ability	Con 15
Efreeti Touch	ability	Wis 17
Efreeti Touch	feat	Efreeti Style
Efreeti Touch	feat	Efreeti Stance
Efreeti Touch	feat	Elemental Fist
Efreeti Touch	feat	Improved Unarmed Strike
Efreeti Touch	bab	base attack bonus +13 or monk level 11th
Eldritch Claws	ability	Str 15
Eldritch Claws	other	natural weapons
Eldritch Claws	bab	base attack bonus +6
Elemental Fist	ability	Con 13
Elemental Fist	ability	Wis 13
Elemental Fist	feat	Improved Unarmed Strike
Elemental Fist	bab	base attack bonus +8
Elven Accuracy	feat	Elf
Elven Battle Training	bab	Base attack bonus +1
Elven Battle Training	other	elf
Enfilading Fire	feat	Point-Blank Shot
Enfilading Fire	feat	Precise Shot
Enfilading Fire	other	one other teamwork feat
Enforcer	skill	Intimidate 1 rank
Exhausting Critical	feat	Critical Focus
Exhausting Critical	feat	Tiring Critical
Exhausting Critical	bab	base attack bonus +15
Extreme Prejudice	feat	Seething Hatred
Extreme Prejudice	other	sneak attack +3d6
Extreme Prejudice	other	studied target class feature
Faerie's Strike	feat	Nature Magic or the ability to cast druid or ranger spells
Faerie's Strike	feat	Vital Strike
Faerie's Strike	skill	Knowledge (nature) 5 ranks
Falling Water Gambit	feat	Aldori Dueling Disciple
Falling Water Gambit	feat	Duelist of the Roaring Falls
Falling Water Gambit	feat	Duelist of the Shrouded Lake
Falling Water Gambit	feat	Exotic Weapon Proficiency (Aldori dueling sword)
Falling Water Gambit	feat	Weapon Finesse
Falling Water Gambit	feat	Weapon Focus (Aldori dueling sword)
Falling Water Gambit	bab	base attack bonus +8
False Opening	ability	Dex 13
False Opening	feat	Dodge
False Opening	feat	Close Quarters Thrower or Point-Blank Master
False Opening	feat	Weapon Focus with selected ranged weapon
Far Shot	feat	Point-Blank Shot
Feint Defender	feat	Shield Focus
Feint Defender	bab	base attack bonus +6 or fighter level 4th
Feint Defender	skill	Sense Motive 1 rank
Feint Partner	skill	Bluff 1 rank
Felling Escape	ability	Int 13
Felling Escape	feat	Combat Expertise
Felling Escape	feat	Improved Trip
Felling Smash	ability	Int 13
Felling Smash	ability	Str 13
Felling Smash	feat	Combat Expertise
Felling Smash	feat	Improved Trip
Felling Smash	feat	Power Attack
Felling Smash	bab	base attack bonus +6
Feral Combat Training	feat	Improved Unarmed Strike
Feral Combat Training	feat	Weapon Focus with selected natural weapon
Ferocious Tenacity	feat	Ferocity racial trait
Ferocious Tenacity	other	half-orc or orc
Ferocious Tenacity	other	rage class feature
Final Embrace Horror	ability	Str 15
Final Embrace Horror	ability	Int 3
Final Embrace Horror	other	naga
Final Embrace Horror	other	serpentfolk
Final Embrace Horror	other	or creature that has the constrict special attack
Final Embrace Horror	feat	Final Embrace
Final Embrace Horror	bab	base attack bonus +6
Final Embrace Master	ability	Str 17
Final Embrace Master	ability	Int 3
Final Embrace Master	other	naga
Final Embrace Master	other	serpentfolk
Final Embrace Master	other	or creature that has the constrict special attack
Final Embrace Master	feat	Final Embrace
Final Embrace Master	feat	Final Embrace Horror
Final Embrace Master	bab	base attack bonus +9
Final Embrace	ability	Str 13
Final Embrace	ability	Int 3
Final Embrace	other	naga
Final Embrace	other	serpentfolk
Final Embrace	other	or creature that has the constrict special attack as a racial ability
Final Embrace	bab	base attack bonus +3
Fire Hand	feat	Goblin
Flagbearer	ability	Cha 15
Focused Shot	ability	Int 13
Focused Shot	feat	Point-Blank Shot
Focused Shot	feat	Precise Shot
Following Step	ability	Dex 13
Following Step	feat	Step Up
Fortified Armor Training	feat	Proficient with armor or shield
Furious Focus	ability	Str 13
Furious Focus	feat	Power Attack
Furious Focus	bab	base attack bonus +1
Gang Up	ability	Int 13
Gang Up	feat	Combat Expertise
Giant Killer	ability	Str 13
Giant Killer	feat	Cleave
Giant Killer	feat	Goblin Cleaver
Giant Killer	feat	Orc Hewer
Giant Killer	feat	Power Attack
Giant Killer	feat	Strike Back
Giant Killer	bab	base attack bonus +11
Giant Killer	other	dwarf
Gloom Strike	feat	Blind-Fight
Gloom Strike	other	fetchling
Gnome Weapon Focus	bab	Base attack bonus +1
Gnome Weapon Focus	other	gnome
Gnome Weapon Focus	other	proficient with all martial weapons
Goblin Cleaver	ability	Str 13
Goblin Cleaver	feat	Cleave
Goblin Cleaver	feat	Power Attack
Goblin Cleaver	other	dwarf
