name	source	requirements	description	url
Dependent	Ultimate Campaign pg. 65		You are dependent upon the acceptance of others. Whenever you fail a Diplomacy check, you become shaken for 1 hour.	https://aonprd.com/TraitDisplay.aspx?ItemName=Dependent
Doubt	Ultimate Campaign pg. 65		You lack confidence in your abilities or confidence in the universe at large. Whenever you fail a skill or ability check, you take a –4 penalty on that type of skill or ability check for the next hour.	https://aonprd.com/TraitDisplay.aspx?ItemName=Doubt
Empty Mask	Spymaster's Handbook pg. 7		You have spent so long hiding your true identity to escape political enemies that you have lost much of your sense of self. You take a -1 penalty on Will saving throws against compulsions. This penalty increases to -2 against foes who know your true identity.	https://aonprd.com/TraitDisplay.aspx?ItemName=Empty%20Mask
Entomophobe	Antihero's Handbook pg. 6		A harrowing experience with insects when you were young instilled in you a deep-seated fear of vermin of all description, especially when they swarm together. You take a –2 penalty on attacks against vermin, and you take a –2 penalty on saving throws against the nauseated condition of a swarm’s distraction ability.	https://aonprd.com/TraitDisplay.aspx?ItemName=Entomophobe
Envy	Quests and Campaigns pg. 22		You grew up in or near an opulent, decadent culture that valued nothing more than showing up the material wealth or accomplishments of others, causing the seed of envy to be planted in your heart. For each day you spend without stealing at least 10 gp worth of valuables or other wealth, attempt a DC 20 Will save. If you fail, you take a cumulative –1 penalty on Will and Reflex saving throws and concentration checks (up to a –5 penalty). If you succeed, the penalty is reset to 0.	https://aonprd.com/TraitDisplay.aspx?ItemName=Envy
Family Ties	Ultimate Campaign pg. 65		Your family is extremely important to you, and you feel disheartened when you can't do what they ask. When a family member makes a request of you, you must fulfill that request or take a –2 penalty on all Wisdom- and Charisma-based ability checks and skill checks until you either do what was requested or succeed at a DC 20 Will saving throw, which you can attempt once per day at the start of each day. You can't take this drawback if you have no family. If you ever lose your family or lose contact with your family, exchange this drawback for the Doubt drawback.	https://aonprd.com/TraitDisplay.aspx?ItemName=Family%20Ties
Fey-Taken	Quests and Campaigns pg. 22		As a child, you were whisked away to the<br>First World by mischievous fey for a time. When you<br>returned, you were ever after considered odd and distant.<br>You long to return there, and find the mortal world dull<br>and at times revolting, so you do not eat as you should and<br>do not question strange visions. You take a –2 penalty on<br>saving throws against disease, illusions, and poison of all<br>kinds, as well as against the spells, spell-like abilities, and<br>supernatural abilities of fey.	https://aonprd.com/TraitDisplay.aspx?ItemName=Fey-Taken
Forgetful	Quests and Campaigns pg. 22		You are easily distracted and prone to<br>forgetting important things. Whenever you leave a<br>location you have been at for longer than 1 hour, you<br>must attempt a DC 10 Wisdom check. If you fail, you leave<br>behind one random mundane item (a purse of money<br>counts as an item).	https://aonprd.com/TraitDisplay.aspx?ItemName=Forgetful
Foul Brand	Champions of Corruption pg. 29		You have the symbol of an evil deity burned into your flesh. If the symbol is on your hand, you take a –1 penalty on Disable Device, Disguise, and Sleight of Hand checks. If the symbol is on your face, you take a –2 penalty on Bluff, Diplomacy, and Disguise checks. This does not count as a holy symbol for the purposes of a divine focus for spellcasting.	https://aonprd.com/TraitDisplay.aspx?ItemName=Foul%20Brand
Guilty Fraud	Spymaster's Handbook pg. 7		You received something through trickery that you did not deserve, and your guilt for the misdeed distracts you from dangers around you. You take a -4 penalty on Bluff checks against creatures with an attitude toward you of indifferent or better.	https://aonprd.com/TraitDisplay.aspx?ItemName=Guilty%20Fraud
Haunted	Antihero's Handbook pg. 6		Something from your past—or a dark secret you presently hold—makes it difficult for you to ever be at peace, and your chronic worry that you might fall to evil influence has become a self-fulfilling prophecy. You take a –2 penalty on saves against spells with the evil descriptor.	https://aonprd.com/TraitDisplay.aspx?ItemName=Haunted
Haunting Regret	Quests and Campaigns pg. 22		When you were young, a relative<br>with whom you had frequently quarreled passed away<br>where his or her soul could not rest. Now, the unquiet<br>spirit appears around you at inconvenient times,<br>distracting you with regret for being unable to help.<br>You take a –2 penalty on saving throws against the<br>distraction ability of swarms and mind-affecting effects<br>and on concentration checks.	https://aonprd.com/TraitDisplay.aspx?ItemName=Haunting%20Regret
Headstrong	Ultimate Campaign pg. 65		You feel compelled to correct every action and argument that contradicts your worldview. Whenever you witness an action or hear an argument that contradicts your alignment, you must attempt to stop or correct that action or argument. If you either don't try to stop it or fail in your attempt to stop it (as adjudicated by the GM), you are shaken for 1 hour.	https://aonprd.com/TraitDisplay.aspx?ItemName=Headstrong
Hedonistic	Ultimate Campaign pg. 65		You are a creature of pleasure and comfort. Whenever you spend a day without gaining reward or treasure (at least 10 or more gold pieces) or spending an hour on entertainment or pleasure, attempt a DC 20 Fortitude save at the end of that day. If you fail, you begin the next day fatigued. This fatigue lasts 4 hours, or until you receive a reward or sufficient entertainment or pleasure.	https://aonprd.com/TraitDisplay.aspx?ItemName=Hedonistic
Helpless	Antihero's Handbook pg. 6		You once stood helpless as great harm befell a loved one, and that paralysis sometimes returns when an ally is in a dire position. The first time per combat encounter that an ally within 30 feet falls unconscious or dies as the result of an attack, you are dazed until the end of your next turn.	https://aonprd.com/TraitDisplay.aspx?ItemName=Helpless
Impatient	Antihero's Handbook pg. 6		You love leaping into battle at the earliest opportunity, and it frustrates you to wait for others to act. You can’t delay or ready actions, and if you are the last of your allies to act in a round of combat, you take a –1 penalty on ability checks, attack rolls, saving throws, and skill checks.	https://aonprd.com/TraitDisplay.aspx?ItemName=Impatient
Infamous	Spymaster's Handbook pg. 7		You were publicly linked, truthfully or not, to a crime of significant infamy. You draw attention wherever you go and risk imprisonment or worse in the jurisdiction where the crime was committed. You and your apparent allies take a -4 penalty on Diplomacy checks to interact with law-abiding citizens (except enemies of the authority that accused you).	https://aonprd.com/TraitDisplay.aspx?ItemName=Infamous
Information Overload	Spymaster's Handbook pg. 7		You have had access to thousands of spy reports, many of which turned out to be based on faulty deductions or even intentionally false stories spread by opposed spy groups. At this point, you have been exposed to false knowledge as much as accurate information, and you can’t always remember which is which. You take a -2 penalty on all Knowledge checks, and if you fail a Knowledge check by 5 or more, you can recall information that is diametrically opposed to the truth.	https://aonprd.com/TraitDisplay.aspx?ItemName=Information%20Overload
Insatiable	Antihero's Handbook pg. 6		You have become so accustomed to binging on the finer things in life that you find going without such excess particularly strenuous. Goods and services cost you 10% more (and can’t be paid for by allies), and you need twice as much food and liquid as normal for the purposes of preventing starvation and thirst (Pathfinder RPG Core Rulebook 444).	https://aonprd.com/TraitDisplay.aspx?ItemName=Insatiable
Lonely	Spymaster's Handbook pg. 7		You are far too easily convinced of the friendly intentions of others. You take a -2 penalty on Sense Motive checks and on Perception checks to see through disguises, and on saving throws against charm spells and spell-like abilities.	https://aonprd.com/TraitDisplay.aspx?ItemName=Lonely
Loner	Quests and Campaigns pg. 22		Raised by pirates, bandits, or other<br>troublemakers unwilling to stick out their necks for<br>you, you are accustomed to operating on your own. The<br>presence of allies can easily become a distraction to you,<br>and you do your best to keep them out of your space. You<br>take a –1 penalty to AC and on attack rolls while adjacent<br>to allies or when taking the aid another action.	https://aonprd.com/TraitDisplay.aspx?ItemName=Loner
Lovesick	Ultimate Campaign pg. 65		Your love for another occupies your every thought, and you become despondent when you are away from that person. The person is chosen by your GM (with consideration to your roll on Table 1–56: Romantic Relationships if you used the background generator). At the start of each day, if you are away from this person you take a –2 penalty on initiative checks and Perception checks. If you ever lose or fall out of love with this person, exchange this drawback for the Doubt drawback.	https://aonprd.com/TraitDisplay.aspx?ItemName=Lovesick
Magical Klutz	Spymaster's Handbook pg. 7		You were born in a place with a plethora of strangely interacting magic, such as Geb, the Mana Wastes, or Nex, and magic is dangerously eager to surge into action around you. You roll twice and take the lower result on Use Magic Device checks to activate items blindly and on Reflex saving throws against effects produced by magic items.	https://aonprd.com/TraitDisplay.aspx?ItemName=Magical%20Klutz
Mark of Slavery	Quests and Campaigns pg. 22		You were enslaved for part or all of<br>your youth, and marked as such with a brand or tattoo<br>that still reminds you of how you were punished whenever<br>you failed to do what you should. Whenever you fail a skill<br>check, you take a –2 penalty on any skill check or attack<br>roll you attempt before the end of your next turn unless it<br>is a part of retrying the failed skill check.	https://aonprd.com/TraitDisplay.aspx?ItemName=Mark%20of%20Slavery
Meticulous	Ultimate Campaign pg. 65		You plan and prepare everything in detail, and aren't good at improvising when things don't go as planned. You take a –2 penalty on skill checks for skills with which you're untrained.	https://aonprd.com/TraitDisplay.aspx?ItemName=Meticulous
Misbegotten	Quests and Campaigns pg. 22		Whether due to the influence of malign<br>magic, disease, or the scorn of the gods, you were born<br>with a troublesome deformity that interferes with your<br>movement. You take a –2 penalty on all Dexterity-based<br>skill checks.	https://aonprd.com/TraitDisplay.aspx?ItemName=Misbegotten
Naive	Quests and Campaigns pg. 22		Your perception that everyone is innately<br>good does not bode well in the heat of battle, when less<br>scrupulous foes might take advantage of your misguided<br>optimism. You take a –2 penalty to AC against attacks<br>with improvised weapons and a –2 penalty to CMD<br>against dirty trick combat maneuvers (see the Pathfinder<br>RPG Advanced Player’s Guide).	https://aonprd.com/TraitDisplay.aspx?ItemName=Naive
Nervous	Quests and Campaigns pg. 22		Living under constant threat of death or<br>worse from your oppressive government, your nerves<br>have frayed terribly. Whenever you take 10 on an ability<br>check or skill check that imparts any penalty for failure<br>(aside from wasted time), you treat your check as if you<br>had rolled an 8 instead of a 10, even if you are able to take<br>your time.	https://aonprd.com/TraitDisplay.aspx?ItemName=Nervous
Oblivious	Quests and Campaigns pg. 22		Whether because you are an avid<br>daydreamer or you are accustomed to everything being handed to you and spelled out for your benefit, you pay<br>little attention to your surroundings and other people.<br>You take a –2 penalty on Sense Motive and sight-based<br>Perception checks.	https://aonprd.com/TraitDisplay.aspx?ItemName=Oblivious
Occult Bargain	Spymaster's Handbook pg. 7		You draw magical power from a source, such as a mysterious eidolon, shame-filled phantom, or First World patron, who insists that its identity remains secret. You take a -1 penalty on concentration checks, and you must invoke the entity’s name by word or text each day or be unable to regain spell slots that day. You must be able to cast 0-level and 1st-level spells as a class feature to select this drawback.	https://aonprd.com/TraitDisplay.aspx?ItemName=Occult%20Bargain
Oppressive Expectations	Quests and Campaigns pg. 23		You were raised with the<br>belief that your family was special, and that those of<br>your status always succeed at whatever they do. Due to<br>your concern about upholding the family name and your<br>memories of the consequences for disappointing them<br>(such as violence or unsettling disapproval), you are<br>easily frustrated. When you fail at a skill check, you take<br>a –2 penalty on checks with that skill until you succeed<br>or until you fail at a different skill check, whichever<br>comes first.	https://aonprd.com/TraitDisplay.aspx?ItemName=Oppressive%20Expectations
Overprotective	Quests and Campaigns pg. 23		In your youth, you saw a younger<br>friend or loved one suffer a grievous injury or die, and<br>you blamed yourself for not having been there to help,<br>even if there was nothing you could have done. If one<br>of your allies should fall unconscious from hit point<br>damage, you take a –2 penalty on attack rolls and skill<br>checks as long as you are farther than 10 feet away from<br>your fallen ally.	https://aonprd.com/TraitDisplay.aspx?ItemName=Overprotective
Paranoid	Ultimate Campaign pg. 65		You believe that someone or something is always out to get you, so you have a hard time truly trusting anyone. Anyone who attempts an aid another action of any type to assist you must succeed at a DC 15 check instead of the normal DC 10 check.	https://aonprd.com/TraitDisplay.aspx?ItemName=Paranoid
Power-Hungry	Ultimate Campaign pg. 65		You're addicted to power. You take a –2 penalty on Will saving throws against charm and compulsion effects if the creature creating the effect promises wealth or power.	https://aonprd.com/TraitDisplay.aspx?ItemName=Power-Hungry
Pride	Ultimate Campaign pg. 65		You can't abide challenges to your dignity, authority, or honor. When someone threatens, accuses, or challenges you, you take a –2 penalty on Diplomacy checks and Sense Motive checks involving that creature until the creature apologizes to you.	https://aonprd.com/TraitDisplay.aspx?ItemName=Pride
Provincial	Ultimate Campaign pg. 65		You have only one way of looking at things: the right way. You take a –2 penalty on Diplomacy checks and Sense Motive checks made against all creatures whose religion or alignment differs from your own.	https://aonprd.com/TraitDisplay.aspx?ItemName=Provincial
Righteous Indignation	Spymaster's Handbook pg. 7		You have difficulty controlling your temper after living in inhuman conditions in Cheliax, Geb, Irrisen, Katapesh, or Qadira. Whenever a foe provokes an attack of opportunity from you, you must take it unless you succeed at a Will save against a DC equal to 10 + your level. You take a -1 penalty on Will saving throws against spells with the emotionUM descriptor that do not also have the fear descriptor.	https://aonprd.com/TraitDisplay.aspx?ItemName=Righteous%20Indignation
Scarred	Antihero's Handbook pg. 6		An injury left you horribly, visibly scarred, making it more difficult for you to hide your true face, and also making most people distrustful of you merely due to your appearance. You take a –5 penalty on Disguise checks and a –2 penalty on Bluff checks.	https://aonprd.com/TraitDisplay.aspx?ItemName=Scarred
Secret Shame	Spymaster's Handbook pg. 7		You have a terrible fear of the public at large, a group, or an important person (such as your order of knights, your liege lord, your family, or your lover) learning a shameful truth about you. You take a -1 penalty on saving throws against fear effects, and the DC of any Intimidate check to demoralize you is reduced by 1. If you would normally be immune to fear, you do not take these penalties, but instead lose your immunity to fear (regardless of its source).	https://aonprd.com/TraitDisplay.aspx?ItemName=Secret%20Shame
Self-Doubting	Antihero's Handbook pg. 6		Your ever-present fear of failure causes a downward spiral. The first time each day that you fail a Will saving throw or skill check, you take a –2 penalty on the next Will saving throw or skill check of that kind.	https://aonprd.com/TraitDisplay.aspx?ItemName=Self-Doubting
Sentimental	Ultimate Campaign pg. 65		You are sentimental, and your thoughts often stray to the past at inappropriate times. You take a –2 penalty on Perception checks to avoid being surprised and on Reflex saving throws to avoid traps or hazards.	https://aonprd.com/TraitDisplay.aspx?ItemName=Sentimental
Shadow-Scarred	Quests and Campaigns pg. 23		You were touched by terrible horrors<br>that live in the darkness just outside the human sphere,<br>such as shadow-beasts or aberrations linked to the Dark<br>Tapestry, and feel your life-force ebb away ever so slightly<br>whenever you return to the shadows. Whenever you are in<br>an area of dim light or darkness, you take a –1 penalty<br>on saving throws.	https://aonprd.com/TraitDisplay.aspx?ItemName=Shadow-Scarred
Sheltered	Quests and Campaigns pg. 23		Brought up in courtly environments and<br>knowing little of violence, you have trouble getting<br>accustomed to it. Whenever you have less than half your<br>maximum hit points, you are shaken.	https://aonprd.com/TraitDisplay.aspx?ItemName=Sheltered
Sleepy	Quests and Campaigns pg. 23		You must sleep or rest for at least 12 hours each<br>night to get the benefits of a full night’s rest. You take a<br>–2 penalty on saving throws against sleep effects.	https://aonprd.com/TraitDisplay.aspx?ItemName=Sleepy
Spooked	Quests and Campaigns pg. 23		You had a traumatic<br>experience with a spirit at a young age<br>that colors your reactions to such creatures even to this<br>day. Whenever you perceive a fey, outsider, or undead<br>from within 60 feet, you become shaken for 1d4 rounds<br>unless you succeed at a Will save with a DC equal to 15<br>+ the creature’s Charisma modifier. Immunity to fear<br>effects does not allow you to forgo this saving throw;<br>even if you are immune to fear, you must roll the Will<br>saving throw for this drawback when applicable, albeit<br>with a +4 bonus.	https://aonprd.com/TraitDisplay.aspx?ItemName=Spooked
Stigmatized	Antihero's Handbook pg. 6		You were kept at the periphery of society for a long period of time, so that even when you are among strangers in a new place, you feel the weight of your missing socialization. You take a –3 penalty on Diplomacy checks to gather information or improve a creature’s attitude.	https://aonprd.com/TraitDisplay.aspx?ItemName=Stigmatized
Superstitious (Drawback)	Quests and Campaigns pg. 23		Raised around those who regarded<br>most magic as innately dangerous, no matter the source,<br>you cannot bring yourself to submit to magic willingly<br>even for your own good. Whenever you are affected with<br>a harmless spell, there is a 50% chance that you must<br>roll a saving throw to prevent that effect, even if it would<br>benefit you. This does not apply to harmless spells cast<br>by you upon yourself.	https://aonprd.com/TraitDisplay.aspx?ItemName=Superstitious%20(Drawback)
Tainted Spirit	Quests and Campaigns pg. 23		When you were a child, a parent or<br>other person with authority over you made a minor pact<br>with a fiend on your behalf, stealing some of your vitality<br>in exchange for a minor boon. At the end of any combat,<br>you must attempt a Fortitude saving throw. The DC is 10<br>+ the number of rounds you acted in combat. If you fail<br>this save, you become fatigued for 10 minutes per round<br>you acted during that encounter.	https://aonprd.com/TraitDisplay.aspx?ItemName=Tainted%20Spirit
Too Many Secrets	Spymaster's Handbook pg. 7		You’ve told too many lies, and made up too many cover stories, and now even you can’t keep it all straight. The lies have become reality to you, which makes it difficult to think of a new convincing lie. You hesitate at crucial moments when trying to fool those around you, and likely shouldn’t be in the field at all anymore. You take a -2 penalty on Bluff checks and saving throws against illusions.	https://aonprd.com/TraitDisplay.aspx?ItemName=Too%20Many%20Secrets
Umbral Unmasking	Champions of Corruption pg. 29		You cast no shadow whatsoever, or the shadow you do have is monstrous. Under normal lighted conditions, this is not hard to observe—but uncommon to notice. Creatures that succeed at a DC 15 Wisdom check notice it plainly (an additional Perception check may be required based on environmental conditions). This telltale sign of wickedness cannot be concealed by misdirection, nondetection, or illusions, except those that also affect shadows (such as invisibility).	https://aonprd.com/TraitDisplay.aspx?ItemName=Umbral%20Unmasking
Unlearned	Quests and Campaigns pg. 23		You have always had difficulty learning<br>and retaining information, and know very little about<br>the world beyond the obvious and what pertains to<br>your profession. Choose one Knowledge skill. You<br>cannot attempt untrained Knowledge checks with any<br>other Knowledge skills, even if the check’s DC is 10<br>or lower. If you have access to a library that covers a<br>specific Knowledge skill, you may attempt an untrained<br>Knowledge check with a –2 penalty.	https://aonprd.com/TraitDisplay.aspx?ItemName=Unlearned
Vain	Ultimate Campaign pg. 65		You are sensitive about the way others perceive you. Whenever you fail an opposed Charisma-based check, you take a –2 penalty on all Charisma-based checks for the next 24 hours.	https://aonprd.com/TraitDisplay.aspx?ItemName=Vain
Vainglory	Spymaster's Handbook pg. 7		You compulsively seek recognition for your deeds, making it hard to act with subtlety. You take a -1 penalty on Bluff, Disguise, and Stealth checks, and the save DC of any illusion you create is 1 lower than normal.	https://aonprd.com/TraitDisplay.aspx?ItemName=Vainglory
Warded Against Nature	Champions of Corruption pg. 29		Animals do not willingly approach within 30 feet of you, unless you or the animal’s master succeeds at a DC 20 Handle Animal, Ride, or wild empathy check. Animal companions, familiars, and mounts granted by your class abilities are immune to this effect.	https://aonprd.com/TraitDisplay.aspx?ItemName=Warded%20Against%20Nature
Xenophobic	Ultimate Campaign pg. 65		You have a hard time understanding and trusting those with unfamiliar ways and appearances. You take a –2 penalty on Diplomacy and Sense Motive checks made against creatures of a different race or from a different culture.	https://aonprd.com/TraitDisplay.aspx?ItemName=Xenophobic
Zealous	Ultimate Campaign pg. 65		You are fanatical in your beliefs, ruled by emotion over reason. When you attack a creature that you know worships a different religion than you do, you take a –5 penalty on the attack roll and a +2 trait bonus on the damage roll with your first attack.	https://aonprd.com/TraitDisplay.aspx?ItemName=Zealous
