race	class	benefit	source	url
Elves	Alchemist	Add one extract formula from the alchemist's list to his formula book. This formula must be at least one level lower than the highest-level formula the alchemist can create.	Advanced Race Guide pg. 23	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Arcanist	Increase total number of points in the arcanist’s arcane reservoir by 1.	Advanced Class Guide pg. 69	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Barbarian	Add +1 to the barbarian's base speed. In combat this option has no effect unless the barbarian has selected it five times (or another increment of five). This bonus stacks with the barbarian's fast movement feature and applies under the same conditions as that feature.	Advanced Race Guide pg. 23, Advanced Player's Guide pg. 13	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Bard	Add +1 to the bard's CMD when resisting a disarm or sunder attempt.	Advanced Race Guide pg. 23, Advanced Player's Guide pg. 13	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Bloodrager	Add 1 foot to the bloodrager’s base speed. In combat, this only has an effect for every five increases in base speed. This bonus stacks with the bloodrager’s fast movement class feature, and applies under the same conditions and that feature.	Advanced Class Guide pg. 69	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Brawler	Add 1 foot to the brawler’s base speed. In combat, this has an effect only for every five increases in the brawler’s base speed.	Advanced Class Guide pg. 69	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Cavalier	Add +1 hit point to the cavalier's mount. If the cavalier ever replaces his mount, the new mount gains these bonus hit points.	Advanced Race Guide pg. 23, Advanced Player's Guide pg. 13	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Cleric	Select one domain power granted at 1st level that is normally usable a number of times per day equal to 3 + the cleric's Wisdom modifier. The cleric adds +1/2 to the number of uses per day of that domain power.	Advanced Race Guide pg. 23	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Druid	Add +1/3 to the druid's natural armor bonus when using wild shape.	Advanced Race Guide pg. 23	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Fighter	Add +1 to the fighter's CMD when resisting a disarm or sunder attempt.	Advanced Race Guide pg. 23, Advanced Player's Guide pg. 13	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Gunslinger	Add +1/3 on critical hit confirmation rolls made with firearms (maximum bonus of +5). This bonus does not stack with Critical Focus.	Advanced Race Guide pg. 23	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Hunter	Choose a weapon from the following list: longbow, longsword, rapier, short sword, shortbow, or any weapon with “elven” in its name. Gain a +1/2 bonus on critical hit confirmation rolls made while using that type of weapon (maximum bonus +4). This bonus does not stack with those gained through Critical Focus and similar effects.	Advanced Class Guide pg. 69	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Inquisitor	Add one spell known from the inquisitor's spell list. This spell must be at least one level below the highest-level spell the inquisitor can cast.	Advanced Race Guide pg. 23	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Investigator	Increase the total number of points in the investigator’s inspiration pool by 1/3.	Advanced Class Guide pg. 69	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Kineticist	Gain a +1/4 bonus on damage rolls that apply the kineticist’s elemental overflow bonus.	Occult Adventures pg. 84	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Magus	The magus gains 1/6 of a new magus arcana.	Advanced Race Guide pg. 23	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Medium	Gain a +1/3 bonus on all skill checks using occult skill unlocks.	Occult Adventures pg. 84	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Mesmerist	Gain a +1/2 bonus on Acrobatics checks to move through a threatened area and a +1/2 bonus on Bluff checks to feint.	Occult Adventures pg. 84	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Mesmerist	Add a +1/4 bonus on grapple and trip combat maneuver checks.	Horror Adventures pg. 39	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Monk	Add +1 to the monk's base speed. In combat this option has no effect unless the monk has selected it five times (or another increment of five). This bonus stacks with the monk's fast movement class feature and applies under the same conditions as that feature.	Advanced Race Guide pg. 23	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Occultist	Increase the occultist’s total number of points of mental focus by 1/2 point.	Occult Adventures pg. 84	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Oracle	Add +1/6 to the oracle's level for the purpose of determining the effects of one revelation.	Advanced Race Guide pg. 23	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Paladin	Add +1/2 hit point to the paladin's lay on hands ability (whether using it to heal or harm).	Advanced Race Guide pg. 23	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Psychic	Increase the total number of points in the psychic’s phrenic pool by 1/3 point.	Occult Adventures pg. 84	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Ranger	Choose a weapon from the following list: longbow, longsword, rapier, shortbow, short sword, or any weapon with "elven" in its name. Add +1/2 on critical hit confirmation rolls made while using that weapon (maximum bonus of +4). This bonus does not stack with Critical Focus.	Advanced Race Guide pg. 23, Advanced Player's Guide pg. 13	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Rogue	Add +1 to the number of times per day the rogue can cast a cantrip or 1st-level spell gained from the minor magic or major magic talent. The number of times this bonus is selected for the major magic talent cannot exceed the number of times it is selected for the minor magic talent. The rogue must possess the associated rogue talent to select these options.	Advanced Race Guide pg. 23	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Shaman	Add 5 feet to the range of a chosen shaman hex. Multiple bonuses from this ability can apply to the same hex, to a maximum of an additional 30 feet for any single hex.	Advanced Class Guide pg. 69	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Shifter	Add 1 to the shifter’s base speed. This has no ingame effect unless the shifter has selected this reward five times (or any multiple of five) to enhance her speed by 5 feet. For example, a 4th-level elven shifter who has selected this option four times has a base speed of 34 feet, but is treated as if she still had a base speed of 30 feet. When she reaches 5th level and takes this favored class option again, her base speed becomes 35 feet. This bonus applies only when the shifter is wearing no armor.	Ultimate Wilderness pg. 31	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Skald	Increase the bonus granted by the well-versed class feature by 1/4 (maximum +8).	Advanced Class Guide pg. 70	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Slayer	Increase the studied target bonus on Perception and Survival checks by 1/4. When the slayer gains the stalker class feature, he also gains this increase to the studied target bonus on Stealth checks.	Advanced Class Guide pg. 70	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Sorcerer	Select one bloodline power at 1st level that is normally usable a number of times per day equal to 3 + the sorcerer's Charisma modifier. The sorcerer adds +1/2 to the number of uses per day of that bloodline power.	Advanced Race Guide pg. 23, Advanced Player's Guide pg. 13	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Sorcerer	Choose a terrain type from the ranger’s favored terrain list. When casting sorcerer spells in the chosen terrain, add 1/3 to the effective caster level of the spell, for the purpose of determining the spells’ duration.	Horror Adventures pg. 39	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Spiritualist	Add 1/6 to the shield bonus granted by the 3rd-level ectoplasmic bonded manifestation ability.	Occult Adventures pg. 84	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Summoner	The amount of time the summoner must spend to summon his eidolon is reduced by 1 round, to a minimum of 1 round.	Advanced Race Guide pg. 23	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Swashbuckler	Increase the total number of points in the swashbuckler’s panache pool by 1/4.	Advanced Class Guide pg. 70	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Vigilante	Gain +1/3 on all Acrobatics, Climb, and Stealth checks in forested areas.	Ultimate Intrigue pg. 17	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Warpriest	Add 1/2 to the number of times per day the warpriest can use blessings, but he can use these additional blessings on only those from the Air, Animal, Charm, Magic, Plant, or Sun domains.	Advanced Class Guide pg. 70	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Witch	Add one spell from the witch spell list to the witch's familiar. This spell must be at least one level lower than the highest-level spell she can cast. If the witch ever replaces her familiar, the new familiar knows these bonus spells.	Advanced Race Guide pg. 23	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Witch	Add a +1/2 bonus on Spellcraft checks to identify cursed items and on Sense Motive checks to notice enchantment or possession.	Horror Adventures pg. 39	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Elves	Wizard	Select one arcane school power at 1st level that is normally usable a number of times per day equal to 3 + the wizard's Intelligence modifier. The wizard adds +1/2 to the number of uses per day of that arcane school power.	Advanced Race Guide pg. 23, Advanced Player's Guide pg. 13	https://aonprd.com/RacesDisplay.aspx?ItemName=Elf
Gnomes	Alchemist	Add +1/2 to the number of bombs per day the alchemist can create.	Advanced Race Guide pg. 33, Advanced Player's Guide pg. 15	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Arcanist	Add 1/6 to the number of points the arcanist gains in her arcane reservoir each day.	Advanced Class Guide pg. 70	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Barbarian	Add a +1/2 bonus to the barbarian's trap sense.	Advanced Race Guide pg. 33	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Bard	Add +1 to the bard's total number of bardic performance rounds per day.	Advanced Race Guide pg. 33, Advanced Player's Guide pg. 15	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Bloodrager	Add 1/4 to the bloodrager’s effective class level when determining the power of her bloodrager bloodline powers.	Advanced Class Guide pg. 70	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Brawler	Increase the number of times per day the brawler can use martial flexibility by 1/4.	Advanced Class Guide pg. 70	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Cavalier	Add +1 to the cavalier's mounted base speed. In combat this has no effect unless the cavalier has selected this reward five times (or another increment of five). If the cavalier ever replaces his mount, the new mount gains this bonus to its speed.	Advanced Race Guide pg. 33	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Cleric	Add +1/2 to the cleric's channeled energy total when healing creatures of the animal, fey, and plant types.	Advanced Race Guide pg. 33	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Druid	The druid gains energy resistance 1 against acid, cold, electricity, or fire. Each time the druid selects this reward, increase her resistance to one of these energy types by +1 (maximum 10 for any one type).	Advanced Race Guide pg. 33, Advanced Player's Guide pg. 15	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Druid	The druid’s animal companion gains 1/4 point of DR/cold iron (maximum DR 5/cold iron). If the druid replaces her companion, the new companion gains this DR.	Horror Adventures pg. 39	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Fighter	Add +1 to the fighter's CMD when resisting a dirty trick or steal attempt.	Advanced Race Guide pg. 33	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Gunslinger	The gunslinger reduces the amount of time needed to restore a broken firearm using the Gunsmithing feat by 5 minutes (maximum reduction of 50 minutes).	Advanced Race Guide pg. 33	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Hunter	Add DR 1/magic to the hunter’s animal companion. Each time the hunter gains another level, the DR increases by 1/2 (maximum DR 10/magic). If the hunter replaces her animal companion, the new companion gains this damage reduction.	Advanced Class Guide pg. 70	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Inquisitor	Add a +1 bonus on concentration checks when casting inquisitor spells.	Advanced Race Guide pg. 33	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Investigator	Add one extract formula from the investigator’s list to his formula book. This formula must be at least 1 formula level below the highest level the investigator can create.	Advanced Class Guide pg. 70	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Kineticist	Gain a +1/2 bonus on Bluff, Diplomacy, Intimidate, and Sense Motive skill checks against creatures with the elemental subtype matching the kineticist’s primary element.	Occult Adventures pg. 84	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Kinetcist	Add a +1/6 bonus on combat maneuver checks attempted as part of a substance infusion.	Horror Adventures pg. 39	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Magus	Add one of the following weapon special abilities to the list of weapon special abilities the magus may add to his weapon using his arcane pool: defending, ghost touch, merciful, mighty cleaving, vicious; allying, conductive, corrosive, corrosive burst, menacing. Once an ability has been selected with this reward, it cannot be changed.	Advanced Race Guide pg. 33	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Magus	Add 1/2 of an illusion spell from the sorcerer/ wizard spell list that isn’t on the magus spell list to the magus’s spellbook. The magus treats this spell as if it were on the magus spell list at the same level as on the sorcerer/ wizard list. This spell must be at least 1 level below the highest spell level the magus can cast.	Horror Adventures pg. 39	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Medium	Gain a +1/2 bonus on Bluff, Diplomacy, Intimidate, and Sense Motive skill checks against spirits, undead, phantoms, and creatures native to the Astral Plane.	Occult Adventures pg. 85	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Mesmerist	Increase the number of mesmerist tricks the mesmerist can use per day by 1/3.	Occult Adventures pg. 85	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Monk	Add +1 to the monk's Acrobatics check bonus gained by spending a point from his ki pool. A monk must be at least 5th level to select this benefit.	Advanced Race Guide pg. 33	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Occultist	Increase the duration of the occultist’s minor figment by 1 minute, and increase the total concealment miss chance from the occultist’s distortion resonant power by 2%. This doesn’t increase the maximum miss chance.	Occult Adventures pg. 85	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Oracle	Add +1/6 to the oracle's level for the purpose of determining the effects of the oracle's curse ability.	Advanced Race Guide pg. 33, Advanced Player's Guide pg. 15	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Paladin	Add +1/2 hit point to the paladin's lay on hands ability (whether using it to heal or harm).	Advanced Race Guide pg. 33	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Psychic	Increase the total number of points in the psychic’s phrenic pool by 1/3 point.	Occult Adventures pg. 85	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Ranger	Add DR 1/magic to the ranger's animal companion. Each additional time the ranger selects this benefit, the DR/magic increases by +1/2 (maximum DR 10/magic). If the ranger ever replaces his animal companion, the new companion gains this DR.	Advanced Race Guide pg. 33, Advanced Player's Guide pg. 15	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Rogue	The rogue gains a +1/2 bonus on Disable Device and Use Magic Device checks related to glyphs, symbols, scrolls, and other magical writings.	Advanced Race Guide pg. 33, Advanced Player's Guide pg. 15	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Rogue	Add 1/4 to the Perception and Disable Device DCs of traps the rogue creates.	Horror Adventures pg. 39	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Shaman	The shaman gains 1/6 of a new shaman hex.	Advanced Class Guide pg. 70	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Shifter	Gain energy resistance 1 against acid, cold, electricity, or fire. Each time the shifter selects this reward, increase that energy resistance by 1, to a maximum of energy resistance 10. Once the gnome reaches energy resistance 10, she can select a new type of energy to build her resistance to the next time she selects this favored class option.	Ultimate Wilderness pg. 31	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Skald	Add a +1 bonus on concentration checks when casting skald spells.	Advanced Class Guide pg. 70	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Slayer	The slayer gains 1/6 of a new slayer talent.	Advanced Class Guide pg. 70	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Sorcerer	Select one bloodline power at 1st level that is normally usable a number of times per day equal to 3 + the sorcerer's Charisma modifier. The sorcerer adds +1/2 to the number of uses per day of that bloodline power.	Advanced Race Guide pg. 33	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Spiritualist	Add 1/6 to the shield bonus granted to the spiritualist while under the effects of either spiritual interference or greater spiritual interference.	Occult Adventures pg. 85	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Summoner	Add +1 hit point to the summoner's eidolon.	Advanced Race Guide pg. 34, Advanced Player's Guide pg. 15	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Swashbuckler	Increase the number of times per day the swashbuckler can use charmed life by 1/4.	Advanced Class Guide pg. 70	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Vigilante	Gain +1/2 on Bluff checks when attempting to tell a lie that would be true from the point of view of the vigilante’s current identity.	Ultimate Intrigue pg. 17	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Warpriest	Add 1/2 to the result of the warpriest’s channeled energy when healing creatures of the animal, fey, and plant types.	Advanced Class Guide pg. 70	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Witch	The witch gains 1/6 of a new witch hex.	Advanced Race Guide pg. 34	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Gnomes	Wizard	Select one arcane school power at 1st level that is normally usable a number of times per day equal to 3 + the wizard's Intelligence modifier. The wizard adds +1/2 to the number of uses per day of that arcane school power.	Advanced Race Guide pg. 34, Advanced Player's Guide pg. 15	https://aonprd.com/RacesDisplay.aspx?ItemName=Gnome
Half-Elves	Alchemist	Add +1 foot to the range increment of the alchemist's thrown splash weapons (including the alchemist's bombs). This option has no effect unless the alchemist has selected it 5 times (or another increment of 5); a range increment of 24 feet is effectively the same as a range increment of 20 feet, for example.	Advanced Race Guide pg. 42	https://aonprd.com/RacesDisplay.aspx?ItemName=Half-Elf
Half-Elves	Arcanist	When casting arcanist enchantment spells, add 1/3 to the effective caster level, but only for the purpose of determining duration.	Advanced Class Guide pg. 70	https://aonprd.com/RacesDisplay.aspx?ItemName=Half-Elf
Half-Elves	Barbarian	Add +1/4 to the bonus on Reflex saves and dodge bonus to AC against attacks made by traps granted by trap sense.	Advanced Race Guide pg. 42	https://aonprd.com/RacesDisplay.aspx?ItemName=Half-Elf
Half-Elves	Bard	Add +1 to the bard's total number of bardic performance rounds per day.	Advanced Race Guide pg. 42, Advanced Player's Guide pg. 17	https://aonprd.com/RacesDisplay.aspx?ItemName=Half-Elf
