class	option_type	name	subtype	group	source	description	url
Alchemist	Discovery	Fast bombs		Bomb Discoveries	Advanced Player's Guide pg. 30	An alchemist with this discovery can quickly create enough bombs to throw more than one in a single round. The alchemist can prepare and throw additional bombs as a full-round action if his base attack bonus is high enough to grant him additional attacks. This functions just like a full-attack with a ranged weapon. An alchemist must be at least 8th level before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Flesh-Eating Bomb*		Bomb Discoveries	Monster Hunter's Handbook pg. 17	The alchemist can create bombs that devour living matter. The alchemist’s bomb deals damage one die step higher than normal (regular bombs deal d8s, concussive bombs deal 1d6, and so on), but they have no effect on inorganic matter. In addition, a creature with at least a +1 armor bonus to AC is less likely to be harmed; such creatures in the bomb’s splash radius take no damage on a successful Reflex save, and the target of a direct hit can attempt a Reflex save against the bomb’s save DC to take only half damage.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Force bomb*		Bomb Discoveries	Advanced Player's Guide pg. 30	When the alchemist creates a bomb, he can choose to have it inflict force damage. Force bombs deal 1d4 points of force damage, plus 1d4 points of force damage for every odd-numbered level, instead of 1d6. Creatures that take a direct hit from a force bomb are knocked prone unless they succeed on a Reflex save. An alchemist must be at least 8th level before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Frost bomb*		Bomb Discoveries	Advanced Player's Guide pg. 30	When the alchemist creates a bomb, he can choose to have it inflict cold damage. Creatures that take a direct hit from a frost bomb are staggered on their next turn unless they succeed on a Fortitude save.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Glassfoot Bomb*		Bomb Discoveries	Advanced Race Guide pg. 205	When the alchemist creates a bomb, he can choose to have it cover the ground in volatile jagged crystals in addition to its normal effects. These crystals act like caltrops, evaporating into a smelly but harmless gas in 2d6 rounds.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Grease Bomb*		Bomb Discoveries	Dungeoneer's Handbook pg. 27	When the alchemist creates a bomb, he can choose to have it create a grease slick upon detonation. When a grease bomb detonates, it coats an area equal to the bomb’s splash radius in grease (as the grease spell) for 1 round per level. The DC of the Reflex save to avoid falling after a failed Acrobatics check is equal to 10 + 1/2 the alchemist’s level + the alchemist’s Intelligence modifier. A grease bomb can’t affect items or armor. An alchemist must be at least 6th level before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Greater Plague Bomb*		Bomb Discoveries	Advanced Race Guide pg. 153	The effects of the smoke created by an alchemist’s bomb duplicates the effects of greater contagion instead of fog cloud, filling an area equal to twice the bomb’s splash radius for 1 round per level. An alchemist must be at least 16th level and must possess the plague bomb and smoke bomb discoveries before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Grounding Goo*	Su	Bomb Discoveries	Ultimate Wilderness pg. 34	The alchemist’s bomb applies a sticky residue after any damage from the bomb is resolved. If a creature damaged by the bomb has a nonmagical fly speed, its flight is severely impaired, and it takes a penalty equal to the alchemist’s level on Fly checks for 1 minute.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Healing Bomb*		Bomb Discoveries	Magical Marketplace pg. 20	When the alchemist creates a bomb, he can choose to have it heal damage instead of dealing it. Creating a healing bomb requires the alchemist to expend an infused extract or potion containing a cure spell. A creature that takes a direct hit from a healing bomb is healed as if she had imbibed the infusion or potion used to create the bomb. Creatures in the splash radius are healed for the minimum amount of damage the cure spell is capable of healing. A healing bomb damages undead instead of healing them.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Hellfire Bomb*		Bomb Discoveries	Agents of Evil pg. 25	This discovery is available to tiefling alchemists. When the alchemist creates a bomb, he can have it act as an explosive bomb, but deal half of its damage as fire damage and half as unholy damage that is not subject to fire resistance or immunity. An alchemist must be at least 9th level and have the explosive bomb discovery before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Holy Bombs*		Bomb Discoveries	Champions of Purity pg. 24	When the alchemist creates a bomb, he can<br>choose to have it deal good divine damage. Evil creatures<br>that take a direct hit from a holy bomb must succeed at a<br>Fortitude save or be staggered on their next turn. Against<br>neutral creatures, holy bombs deal half damage, and<br>such targets are not affected by their staggering effect.<br>Holy bombs have no effect on good-aligned creatures.<br>An alchemist must be at least 8th level before selecting<br>this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Immolation Bomb*		Bomb Discoveries	Ultimate Combat pg. 24	When the alchemist creates a bomb, he can choose to have its substance coat the direct target’s body, causing the bomb to deal its damage over time instead of all at once. The bomb’s effect lasts for a number of rounds equal to the number of damage dice the bomb would normally deal (for instance, a 5d6 bomb lasts for 5 rounds). When the bomb hits the direct target, the bomb deals 1d6 + the alchemist’s Intelligence modifier in damage, and those within the splash zone take damage equal to 1 + the alchemist’s Intelligence modifier. It repeats this damage against the direct target of the bomb each round the immolation bomb lasts, dealing the damage at the start of the alchemist’s turn. Splash damage is dealt again to any creature that is adjacent to the direct target when it takes damage from the immolation bomb. A creature taking damage from an immolation bomb’s direct hit can attempt to extinguish the flames as a full-round action that requires a Reflex save (DC = 10 + 1/2 the alchemist’s level + the alchemist’s Intelligent modifier). Because of the alchemical nature of this bomb, rolling on the ground does not grant a bonus on the saving throw, and dousing a creature with water does not stop it from burning. These bombs can be used underwater. An alchemist must be at least 3rd level before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Incendiary Charge		Bomb Discoveries	Villain Codex pg. 236	An incendiary charge is a bomb specifically designed to overcome the effects of any nonmagical object’s hardness. As a full-round action, the alchemist can place an incendiary charge that burns and eats away at an object, dealing normal bomb damage to it. (The damage is not halved against an object with hardness, unlike most energy damage.) Furthermore, the incendiary charge ignores the first 5 points of hardness of the material being damaged.<br>The alchemist must be at least 4th level before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Inferno bomb*		Bomb Discoveries	Advanced Player's Guide pg. 30	The effects of the smoke created by an alchemist's bomb duplicate the effects of incendiary cloud instead of fog cloud, filling an area equal to twice the bomb's splash radius for 1 round per level. An alchemist must be at least 16th level and must possess the smoke bomb discovery before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Inspired Bomb	Su	Bomb Discoveries	Advanced Class Guide pg. 75	An alchemist with this discovery and a pool of inspiration (by way of a class feature, a feat, or the inspiring cognatogen discovery) can expend two uses of inspiration to increase the bomb’s damage by 1d6. The type of damage the bomb deals does not change. Unlike other a discoveries that affect bombs, this one can be applied to a bomb with another bomb discovery, though it cannot be applied to the same bomb more than once.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Jury-Rigged Bomb*	Su	Bomb Discoveries	Antihero's Handbook pg. 29	Unlike normal bombs, jury-rigged bombs can be created from whatever materials the alchemist has on hand; this makes them particularly handy in situations where the alchemist might find himself imprisoned or stripped of his equipment. Jury-rigged bombs can be crafted and thrown as a swift action (this counts against the alchemist’s daily use of bombs), and they deal only 1d4 points of damage + additional damage equal to half the alchemist’s Intelligence modifier on a direct hit. This damage increases by 1d4 at 3rd level and every 2 levels thereafter. Despite being useful in a pinch, jury-rigged bombs are nonetheless crudely crafted and highly unstable; if the alchemist’s attack roll results in a natural 1, the bomb explodes as he is creating it, and he takes damage as if he had taken a direct hit. An alchemist must be at least 4th level before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Madness bomb		Bomb Discoveries	Advanced Player's Guide pg. 31	The alchemist's bombs do more than sear flesh—they sear the mind. A creature that takes a direct hit from a madness bomb takes damage from the bomb plus 1d4 points of Wisdom damage. Reduce the amount of normal damage dealt by the bomb by 2d6 (so a bomb that would normally deal 6d6+4 points of damage deals 4d6+4 points of damage instead). The amount of Wisdom damage dealt by a madness bomb is reduced by 1 for each madness bomb that hit the target in the past 24 hours, to a minimum of 1 point of Wisdom damage. An alchemist must be at least 12th level before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Melancholy Bomb		Bomb Discoveries	Distant Realms pg. 53	Your anguish bombs are filled with memories of sadness and regret. Creatures who take damage from your anguish bombs are also affected as per crushing despair for 1 round per alchemist level, or a single round if the target succeeds at a Will saving throw. An alchemist must be 10th level and have the anguish bomb class feature or the anguish bomb discovery before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Neutralizing Bomb		Bomb Discoveries	Healer's Handbook pg. 11	When the alchemist creates a bomb, he can choose to give it the potential to end certain ongoing effects instead of dealing damage. Each creature in the splash radius can attempt a new saving throw against any poison afflicting it and any ongoing conditions or ongoing acid, cold, electricity, fire, or sonic damage. (If an effect did not allow a saving throw, this bomb doesn’t allow affected creatures to attempt one.) Success counts as one successful save toward ending poison and immediately ends other conditions. Exposed poison in the splash radius is also rendered harmless. A creature with poison abilities that is directly struck by the bomb finds those abilities useless for 1d4 rounds unless it succeeds at a Fortitude saving throw. This discovery doesn’t stack with any other that modifies bombs.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Ooze Blight*		Bomb Discoveries	Monster Hunter's Handbook pg. 17	A target hit by the alchemist’s bomb loses the split special quality for 1d4 rounds. In addition, against creatures with the ooze type, this bomb deals untyped damage that bypasses all resistances.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Penetrating Charge		Bomb Discoveries	Villain Codex pg. 236	A penetrating charge is a bomb specifically designed to disable locks and similar mechanisms, though not other means of sealing a door, a container, or other sorts of devices. As a full-round action, the alchemist can place a penetrating charge on a lock. Instead of dealing damage, the penetrating charge seeps into the mechanism and eats away at it, granting a +5 circumstance bonus on any subsequent Disable Device checks against the mechanism. A creature can spend 10 minutes and attempt an appropriate Craft check (DC 15) to fix the lock and remove this bonus.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Plague Bomb (Su)*		Bomb Discoveries	Ultimate Magic pg. 16	The effects of the smoke created by an alchemist’s bomb duplicates the effects of contagion instead of fog cloud, filling an area equal to twice the bomb’s splash area for 1 round per level. An alchemist must be at least 8th level and must have the smoke bomb discovery before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Plague Vector		Bomb Discoveries	Champions of Corruption pg. 26	The effects of the alchemist’s plague bomb operate as normal except for the following changes. The chosen disease’s save DC is equal to 10 + 1/2 the alchemist’s level + his Intelligence modifier. Any creatures affected by the chosen disease become vectors for it, spreading the disease to any creatures they come in physical contact with for a number of days equal to the alchemist’s Intelligence modifier (minimum 1). The save DC to avoid contracting the disease from the vector is the same as the DC used for this discovery. An alchemist must be at least 14th level and must have the plague bomb discovery to select this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Poison bomb*		Bomb Discoveries	Advanced Player's Guide pg. 31	The effects of the smoke created by an alchemist's bomb duplicates the effects of cloudkill instead of fog cloud, filling an area equal to twice the bomb's splash radius for 1 round per level. An alchemist must be at least 12th level and must possess the smoke bomb discovery before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Poisoned Explosive*		Bomb Discoveries	Dirty Tactics Toolbox pg. 7	When an alchemist creates a bomb, he can apply a dose of contact or injury poison to it, as if applying poison to a weapon. If the poisoned bomb hits its target, the bomb deals damage as normal, but the target must also succeed at a saving throw against the poison or be affected by that poison. No other creatures are affected by the poison. An alchemist must be at least 4th level and have the poison use class feature before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Precise bombs		Bomb Discoveries	Advanced Player's Guide pg. 31	Whenever the alchemist throws a bomb, he can select a number of squares equal to his Intelligence modifier that are not affected by the splash damage from his bombs. If the bomb misses, this discovery has no effect.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Profane Bomb*		Bomb Discoveries	Champions of Corruption pg. 26	When the alchemist creates a bomb, he can choose to have it deal evil divine damage. Good creatures that take a direct hit from a profane bomb must succeed at a Fortitude save or be staggered on their next turn. Against a neutral creature, a profane bomb deals half damage, and the target is not affected by the bomb’s staggering effect. A profane bomb has no effect against evil-aligned creatures. An alchemist must be at least 8th level to select this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Psychoactive Bomb*		Bomb Discoveries	Blood of the Moon pg. 15	Psychoactive bombs are mixed with neurotoxic extracts that heighten certain sensations. A creature struck by a psychoactive bomb takes a –1 penalty on saving throws against charm, emotion, fear, and pain effects, and the DC for Intimidate checks against the victim decreases by 2. This effect lasts for 1 hour per alchemist level. These penalties do not stack, and a creature can only be affected by a single psychoactive bomb at a time. A psychoactive bomb deals 1d6 fewer hit points of damage than normal. An alchemist must be at least 6th level before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Remote Bomb		Bomb Discoveries	Heroes of the High Court pg. 11	The alchemist can spend two uses of his daily bombs to create a special bomb that is manually detonated. When the bomb is created, the alchemist also creates a catalyst distillate, which requires no extra time or cost. A remote bomb is inert unless triggered by this distillate. The bomb is detonated as a standard action when the distillate fumes are exposed to the rest of the bomb. An alchemist must be within 60 feet of the bomb for the distillate to successfully trigger the bomb. A catalyst distillate can detonate a bomb even if the bomb has already been hurled at a target. Triggering the distillate outside of the 60-foot range or after 1 hour has no effect.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Rocket Bomb (Su)*		Bomb Discoveries	Advanced Race Guide pg. 116	(Goblin only) Alchemists with this discovery can prepare special rockets to deliver their bombs. Rocket bombs travel farther and explode bigger than normal bombs, but cannot target individual creatures. Rocket bombs explode in a 20-foot radius, and all creatures in that area take the alchemist’s normal splash damage. The range increment on a rocket bomb is 50 feet. Rocket bombs cannot be used with the precise bomb or fast bomb discoveries. An alchemist must be at least 6th level before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Sand Bomb*	Su	Bomb Discoveries	Antihero's Handbook pg. 29	When the alchemist creates a bomb, he can pack the casing full of sand that explodes in an abrasive cloud on impact. A creature that takes a direct hit from a sand bomb is blinded for 1 round, as are any creatures in the splash radius that fail a Reflex save (DC = 10 + half the alchemist’s level + his Intelligence modifier).	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Scrap Bomb (Su)*		Bomb Discoveries	Advanced Race Guide pg. 116	(Goblin only) When the alchemist creates a bomb, he can choose to have it explode into shards of shrapnel that deal piercing damage. A creature that takes a direct hit from a scrap bomb takes 1 point of bleed damage per die of bomb damage unless it succeeds at a Reflex save.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Shock bomb*		Bomb Discoveries	Advanced Player's Guide pg. 31	When the alchemist creates a bomb, he can choose to have it inflict electricity damage. Creatures that take a direct hit from a shock bomb are dazzled for 1d4 rounds.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Siege Bomb*		Bomb Discoveries	Ultimate Combat pg. 24	As a standard action, the alchemist infuses a single piece of ammunition on a loaded siege weapon with the power of his bomb. As long as the siege engine with this ammunition is fired before the start of the alchemist’s next turn, the ammunition does damage normally, and also deals the damage of the alchemist’s bomb. The splash radius of the bomb effect is 20 feet rather than 5 feet. Creatures that take the bomb’s damage (either direct damage or splash damage), take 1d6 points of fire damage each round until the fire is extinguished. Extinguishing the flames is a full-round action that requires a Reflex save. Rolling on the ground provides the target with a +2 bonus on the save. Dousing the target with at least 2 gallons of water automatically extinguishes the flames. An alchemist must be at least 12th level and must possess the explosive bomb discovery before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Smoke bomb*		Bomb Discoveries	Advanced Player's Guide pg. 31	When the alchemist creates a bomb, he can choose to have it create a cloud of thick smoke when it detonates. The cloud functions as fog cloud, filling an area equal to twice the bomb's splash radius for 1 round per level.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Solid Ground*	Su	Bomb Discoveries	Ultimate Wilderness pg. 34	The alchemist launches an explosive paste bomb that bonds with any earthen surface. Each application of this paste deals no damage and affects a 5-foot-cube of dirt, loose soil, or stone, transmuting the earth for a number of minutes equal to the alchemist’s level. Creatures cannot use burrow, earthmeld, or similar abilities (such as the meld into stone spell) while the ground remains transmuted in this way.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Sticky bomb		Bomb Discoveries	Advanced Player's Guide pg. 31	The effects of the alchemist's bombs are persistent and continue to damage creatures for 1 round after the initial damage. Creatures that take a direct hit from a sticky bomb take the splash damage 1 round later. Bombs that have effects that would normally occur 1 round later instead have those effects occur 2 rounds later. An alchemist must be at least 10th level before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Stink bomb*		Bomb Discoveries	Advanced Player's Guide pg. 31	The effects of the smoke created by an alchemist's bomb can duplicate the effects of stinking cloud instead of fog cloud, filling an area equal to twice the bomb's splash radius for 1 round. An alchemist must possess the smoke bomb discovery before selecting this discovery.	https://aonprd.com/AlchemistDiscoveries.aspx
Alchemist	Discovery	Strafe Bomb	Su	Bomb Discoveries	Ultimate Magic pg. 17	The alchemist can throw bombs that splash in a 40-foot line rather than affecting a radius. The line starts at the alchemist and extends away from him in the direction he chooses. The alchemist designates one creature in the squares affected by the line to be the target of the bomb and makes his attack roll against that creature; all other squares in the line take splash damage. If the alchemist has the explosive bomb discovery and throws an explosive strafe bomb, the line of splash damage is 80 feet long instead of 40 feet.	https://aonprd.com/AlchemistDiscoveries.aspx
