sphere_name	talent_name	talent_category	subcategory	source	tags	prerequisites	base_cost	description	augments
Alteration	Instill Shapeshift	Base Talent	Alteration Talents		[instill]		1 spell point	As a standard action you may touch a small container of liquid and instill a shapeshift inside it, which functions as a potion or oil. You must spend a spell point to make the shapeshift endure without concentration.<br>An instilled liquid remains potent until you rest to regain spell points. If you have equipment on hand (such as an alchemy lab), the cost of bottles and water is considered negligible. You may target food but not an already-magical item, such as a potion. All spell points must be spent and all variables of the sphere effect must be chosen at the time the instilled liquid is created. You cannot instill multiple effects in a single liquid, nor create multiple instilled liquids with a single action.	
Alteration	Lingering Transformation	Base Talent	Alteration Talents				1 spell point	Your shapeshift effects linger for 2 additional rounds after you stop concentrating. Additionally, when you spend a spell point to continue your shapeshift without concentration, the duration increases to 10 minutes per caster level. If your duration is already or becomes 10 minutes per caster level in certain situations due to another source, it instead increases to 1 hour per caster level when in those certain situations.	
Alteration	Mass Alteration	Base Talent	Alteration Talents		[mass]			When bestowing a shapeshift, you may spend an additional spell point to shapeshift an additional 1 creature per 2 caster levels (minimum 1) at the same time. Each target must be within range and must gain the same shapeshift form and traits. Once created, each shapeshift is considered a separate sphere effect.	When bestowing a shapeshift, you may spend an additional spell point to shapeshift an additional 1 creature per 2 caster levels (minimum 1) at the same time.
Alteration	Mimicry	Base Talent	Alteration Talents				1 spell point	You may study a creature you can see as a full-round action or spend a spell point to instead study it as a swift action. For the next hour or until you study another creature, you gain a single Alteration talent corresponding to the creature or one of the creature’s apparent features. A creature you have studied with this talent counts as being familiar for the purposes of the Perfect Imitation talent.	
Alteration	Morphic Weapon	Base Talent	Alteration Talents					You may add the following traits to your forms:<br>Amorphous Weaponry: The target gains the ability to morph and shift their natural attacks. As a free action, the target can change the damage types of any number of their natural weapons to include any combination of bludgeoning, piercing, or slashing (e.g. spikes for piercing and/or sharp edges for slashing on a slam attack). At 5th caster level, the target may instead spend a swift action to add one weapon feature to one of their natural weapons, chosen from the brace, deadly, disarm, distracting, nonlethal, reach, sunder, or trip weapon features. The target may only apply one weapon feature to each natural attack they possess, and applying another weapon feature to a natural attack the target already modified overwrites the previous weapon feature. [SA:EAO]<br>Graft Weapon: Choose one limb capable of wielding a weapon that is holding a weapon that can be used in one hand. You may graft the weapon held by this limb into the limb itself. A grafted weapon cannot be disarmed and may be treated as a primary natural attack. The target loses other uses of this limb and may take skill check penalties as a result. A grafted weapon may be damaged and sundered as normal.<br>Shape Weapon: Choose one limb capable of wielding a weapon. You may transform this limb into a weapon the target creature is proficient with. This weapon cannot be disarmed and gains an enhancement bonus equal to 1/4 of your caster level (minimum 0, maximum +5). Ranged weapons produced this way do not come with ammunition. A two-handed weapon still requires an additional limb to wield. This weapon is treated as a manufactured weapon with hardness equal to your caster level. Treat the weapon as having its own hit points, normal for a weapon of its type, for purposes of effects that would damage or sunder it. If this weapon has the broken condition when the shapeshift ends, any attacks or skill checks made with the corresponding limb take a -2 penalty to attack rolls for 24 hours. A DC 15 Heal check or magical healing equal to the hit points the weapon possessed remove this penalty.	
Alteration	Multifarious Transformation	Base Talent	Alteration Talents	[3PP]				Source: Baron’s Glorious Arena<br>Whenever you apply a shapeshift that uses two or more traits to grant the same natural weapon to a target, you may apply the same natural weapon to one additional limb for every 4 alteration sphere caster levels you possess (for example, applying a stinger attack to an additional tail, a claw attack to an additional arm, or a bite attack to an additional head).	
Alteration	Odiferous	Base Talent	Alteration Talents					You may add the following traits to your forms:<br>Inured: The target gains a +2 competence bonus on any save to resist the sickened and nauseated conditions and against poison effects. This bonus increases by +1 per 4 caster levels.<br>Nauseating Spray: Once per minute, as a standard action the target may spray noxious chemicals in a 15-foot cone. Any creature in this cone must succeed at a Fortitude save with a DC of 10 + 1/2 Hit Dice + Constitution modifier or be sickened for 1d6 rounds. If you spend an additional spell point when granting this trait, the affected creatures are nauseated for 1d6 rounds on a failed save and sickened for 1 round on a successful save. The size of the cone increases by 5 feet per 5 caster levels. This counts as a poison effect.<br>Stench: The target secretes a stinking chemical offensive to most living things. Any creature adjacent to the target must succeed at a Fortitude save or be sickened until 1d6 rounds after they are no longer adjacent. A creature that saves against this effect is immune to any instance of it from the same caster for 24 hours. This is a poison effect.	If you spend an additional spell point when granting this trait, the affected creatures are nauseated for 1d6 rounds on a failed save and sickened for 1 round on a successful save.
Alteration	Perfect Imitation	Base Talent	Alteration Talents		[utility]			Your Alteration sphere abilities allow targets to imitate individual creatures with which you are familiar. The +10 circumstance bonus on Disguise checks provided by the Alteration sphere applies to Disguise checks to appear as that specific individual.<br>This bonus does not stack with the bonus to Disguise checks from similar effects (the disguise self spell, Illusionary Disguise from the Illusion sphere, the Realistic LikenessARG feat, etc.). Your control is detailed and specific enough to allow you to merge the target’s clothing and armor with their body and replicate the appearance of other clothes, armor, and even jewelry. Such articles cannot be removed from the creature’s possession, as they are formed from the target’s body. As usual, merged armor provides no AC and any merged equipment cannot be accessed. Additionally, the option to alter a target’s cosmetic appearance with Blank Transformation no longer requires a trait if not assuming the guise of a specific individual.<br>You may add the following traits to your forms:<br>Camouflage: The target may shift its coloration to mimic its environment, granting a +5 circumstance bonus to Stealth checks. This does not stack with invisibility.<br>Vocal Mimicry: The target may perfectly imitate voices and sounds with which it is familiar. The target gets a +10 bonus on Disguise checks to vocally imitate a creature type, individual, or object that they have listened to for at least 10 minutes. These 10 minutes do not have to have been during the duration of the shapeshift. This bonus does not stack with the bonus to Disguise checks from shapeshift, but does increase the bonus to Disguise to imitate a specific individual to +15. (Must be able to speak)	
Alteration	Powerful Limbs	Base Talent	Alteration Talents					You may add the following traits to your form:<br>Powerful Arms: Choose one pair of limbs the target possesses capable of wielding a weapon. With these limbs, the target may wield weapons of one size larger without penalty. This does not stack with other effects that allow the target to wield larger weapons without penalty, such as powerful build. Additionally, the target increases its overhead lifting capacity by 50%.<br>Powerful Claws: Choose one natural attack the target possesses (or pair of natural attacks if granted in pairs such as claws, talons, pincers, etc.). The selected attack or attacks deals damage as if it were one size larger. This size increase stacks with other effects that increase actual and effective size, such as the Size Change Alteration sphere talent or the Encompassing Light talent of the Light sphere.<br>Powerful Legs: The target is always considered to have a running start when attempting Acrobatics checks to jump and treat its move speed as if it were 10 feet + 5 feet per 5 caster levels higher when determining the bonus or penalty to jump checks from movement speed. Additionally, the target’s carrying capacity is increased by 50%.	
Alteration	Prickly	Base Talent	Alteration Talents					You may add the following traits to your forms:<br>Piercing Tail: The target’s tail slap becomes more powerful, becoming a primary natural attack that deals piercing damage (2d6 Medium, 1d8 Small). (Requires tail slap)<br>Razor Claws: Choose one type of natural attack that does piercing or slashing damage (bite, claw, etc.). This type of natural attack deals 1 point of bleed damage + 1 per 5 caster levels. This bleed damage stacks with itself but not other sources of bleed damage.<br>Spines: The target grows spines, quills, or thorns. These may be treated as armor spikes of their size (1d6 Medium, 1d4 Small, 20/x2, piercing) but may be enhanced as natural weapons and may be wielded as a secondary natural weapon if beneficial.<br>Spines, Launch: The target may launch spines as a thrown weapon (1d6 Medium, 1d4 Small, 20/x2, piercing) with a range increment of 20 feet. The target may draw the spines as a free action and throw them for any attacks it is entitled to normally. Launched spines regenerate at the end of the target’s turn. (Requires spines)	
Alteration	Ranged Alteration	Base Talent	Alteration Talents		[range]			You may shapeshift creatures at close range instead of touch range. You may take this talent multiple times. Each time it is selected, increase the range by 1 step (close to medium, medium to long).	
Alteration	Retain Ability	Base Talent	Alteration Talents					Choose a number of extraordinary or supernatural abilities dependent on your target’s base form (darkvision, scent, racial breath weapon, etc.). You may choose to allow the target to retain these abilities in place of trait you would normally grant them as part of your shapeshift, at a cost of one trait per ability.<br>Catmera Form: [Catgirl HB addendum] You may spend 1 additional spell point as part of granting a shapeshift to one or more targets, causing the resulting shapeshift effect to blend with the target’s natural form. The resulting shapeshift causes the target to assume a hybrid form, gaining all limbs, natural attacks, special abilities, and movement moves of the shapeshift without changing the target’s base form or melding any of their equipment. The target may choose to retain limbs and movement speeds from their base form if the shapeshift lacks them or has lesser versions and may choose to forgo any additional limbs or heads when receiving this shapeshift and are able to effectively choose their body make-up resulting from this shapeshift. A shapeshift effect granted this way does not cause the target’s equipment to meld with this hybrid form.<br>If the shapeshift would grant the target additional legs, the target may instead gain them as arms, although they are treated as arms gained with the Additional Limbs “two secondary arms” trait.<br>Example: This talent is similar to the Hybrid Transformation feat, allowing a shapeshifted target to pick and choose their resulting form’s qualities. A humanoid being subject to a shapeshift modified by this talent could choose to keep their arms when assuming a hybrid form based on Serpentine Transformation or add legs to Aquan Transformation. A winged creature could retain their wings under an Animalistic Transformation.	Catmera Form: [Catgirl HB addendum] You may spend 1 additional spell point as part of granting a shapeshift to one or more targets, causing the resulting shapeshift effect to blend with the target’s natural form.
Alteration	Size Change	Base Talent	Alteration Talents					As a trait, you may change a creature’s size. You may enlarge or reduce a creature’s size by one category, +1 additional size category per 5 caster levels, enlarging or reducing the size of their equipment as well. You cannot enlarge beyond Large size nor reduce beyond Tiny size until caster level 10, and can never enlarge beyond Huge nor reduce beyond Diminutive.<br>Creatures gain a +1 bonus to attack rolls and to AC, as well as a +2 bonus to Fly checks and a +4 bonus to Stealth checks for every size category they are reduced, and suffer a -1 penalty to attack rolls and AC, as well as a -2 penalty to Fly checks and a -4 to Stealth checks for every size category they are enlarged. (These numbers are doubled when moving to or from Diminutive size.) Ability scores are also adjusted according to the target’s new size; the target gains a +2 bonus to Strength and suffers a -2 penalty to Dexterity for every size increase, and a -2 penalty to Strength and a +2 bonus to Dexterity for every size category decrease. This cannot decrease an ability score beneath 1.<br>Size Category<br>Space<br>Reach<br>Diminutive<br>1 ft.<br>0<br>Tiny<br>2 1/2 ft.<br>0<br>Small<br>5 ft.<br>5 ft.<br>Medium<br>5 ft.<br>5 ft.<br>Large<br>10 ft.<br>10 ft.<br>Huge<br>15 ft.<br>15 ft.<br>Note: Unless stated otherwise, size changes affect CMB and CMD.	
Alteration	Steal Shape	Base Talent	Alteration Talents	[3PP]				Source: Expanded Spheres: Baron's Lost Apocrypha<br>Whenever you successfully hit a creature with at least half as many Hit Dice as your character level with an attack that requires an attack roll, you may spend an additional spell point to use a shapeshift as a swift action on any creature within range. If the attack was a critical hit, knocked the target creature unconscious, or reduced the enemy to 0 or fewer hit points, you may use the shapeshift without spending the additional spell point required to use this talent. In either case, you must use the shapeshift to transform the target in such a way that it resembles the creature that was attacked (such as by making the target resemble the attacked creature or giving it traits analogous to the abilities of the attacked creature).	Source: Expanded Spheres: Baron's Lost Apocrypha Whenever you successfully hit a creature with at least half as many Hit Dice as your character level with an attack that requires an attack roll, you may spend an additional spell point to use a shapeshift as a swift action on any creature within range. If the attack was a critical hit, knocked the target creature unconscious, or reduced the enemy to 0 or fewer hit points, you may use the shapeshift without spending the additional spell point required to use this talent.
Alteration	Swarm Shape	Base Talent	Alteration Talents				1 spell point	You may add the following traits to your forms:<br>Divided Self: The target gains a +4 bonus on saves against effects that target individual creatures. (Requires the Swarm trait)<br>Gaseous Body: You grant the target the ability to shift into or out of a gas-like form (e.g. fine mist, a cloud of insects, etc.) as a move action. While in this gas-like form, the target gains a fly speed of 10 feet with maneuverability (perfect), +5 feet per 5 caster levels, replacing all other movement the target may possess. Anything the target was wearing or holding transforms with the target, and the target loses its armor and natural armor bonuses. The target cannot manipulate or interact with objects, make attacks, speak, or cast spells with verbal, somatic, or focus components (unless the target possesses an ability to do so, such as the Silent Spell metamagic feat). Any traits or supernatural abilities the target possesses which alter or require its physical body are suppressed, including Alteration sphere traits. The target can pass through small holes, narrow openings, and even cracks. The target is still subject to the effects of wind and cannot enter water or other liquid. Granting this trait costs an additional spell point. [Gravecaller's HB]<br>Swarm: You may spend a spell point to turn the target into a swarm of creatures. The swarm can be composed only of Tiny creatures, with appearance and movement per the shapeshift. This size cannot be altered by the Size Change trait, enlarge person, or other effects. This does not affect the target’s movement modes. The target can move through small holes and openings that are large enough for the individual creatures. The swarm fills a 10-foot square (or cube if flying) and has a reach of 0. The target gains a 25% ability to ignore critical hits and precision damage, which increases by 25% per 5 caster levels to a maximum of 100%.<br>The swarm has the distraction ability, forcing any creature that takes swarm damage to succeed at a Fortitude save with a DC of 10 + 1/2 Hit Dice + Constitution modifier or be nauseated for 1 round. Spellcasting or concentrating on spells within the area of a swarm requires a magical skill check (DC 20 + 1/2 caster level). Using skills that involve patience and concentration while in the swarm requires a DC 20 Will save. The target may choose to ignore any creatures in its space, choosing to not deal the swarm damage, force magical skill checks to cast spells, or force Will saves to skills.<br>The swarm form is incapable of performing combat maneuvers and they cannot be bull rushed, dragged, grappled, repositioned, or tripped. Creatures in swarm form take 50% more damage from effects that affect an area. Creatures in swarm form do not threaten creatures, and do not make attacks of opportunity with their swarm attack. The swarm automatically deals 1d6 + Constitution modifier damage to any creature whose space it occupies at the end of its turn. This damage increases by 1d6 per 5 caster levels and may be modified by traits that require a natural attack (such as the Poison trait from the Vermin Transformation talent) but not those that modify natural attacks (such as the Powerful Claws trait from the Powerful Limbs talent). A creature that retains a natural attack (such as a shifter via a bestial trait) or is granted a natural attack by another trait cannot use it, but uses d8 for its swarm damage. Swarm attacks are not subject to a miss chance for concealment or cover.	Granting this trait costs an additional spell point.
Alteration	Tentacles	Base Talent	Alteration Talents					You may add the following traits to your forms:<br>Constrict: The target gains the constrict universal monster ability, and deals 1d6 damage Medium (1d4 Small) + the target’s Strength modifier on every successful grapple check.<br>Grab: Choose one natural attack the target possesses. That natural attack gains the grab universal monster ability. You may grant this trait once per natural attack.<br>Tentacle Attack: (secondary 1d4 Medium, 1d3 Small) You may grant this trait multiple times. The effects stack.	
Alteration	Transforming Strike	Base Talent	Alteration Talents		[strike]			As a standard action, you may make a single weapon attack in conjunction with making a shapeshift. This casting cannot be reduced below a standard action, and does not provoke attacks of opportunity, unless as usual if making a ranged attack. If the target is struck by the attack, it is also struck by the shapeshift. If using a scatter weapon, the shapeshift only applies to a single target, chosen at the time of attack.	
Alteration	Twisted Shapeshift	Base Talent	Alteration Talents				1 spell point	You may spend a spell point to have your shapeshift deal 1d6 per two caster levels (minimum 1d6) untyped damage to all targets that fail their save against the shapeshift. You may add the following traits to your forms:<br>Flesh Pocket: You rearrange internal organs and muscles to create a pocket inside the target’s body, usually in the abdomen. The opening to the pocket resembles a large scar. The pocket can hold creatures and objects up to two sizes smaller than the target. The target gains a +20 circumstance bonus to concealing items in their flesh pocket.<br>Seal Eyes: The target must succeed at a Fortitude save or have its eyes sealed, blinding it.<br>Twist Legs: The target must succeed at a Fortitude save or have one movement speed reduced by 10 feet + 5 feet per 5 caster levels (minimum 5 feet).<br>Vocal Theft: The target becomes unable to speak and may not supply vocal spell components or attempt Perform checks that require singing or speaking.<br>Wrench Stomach: The target must succeed at a Fortitude save or be sickened while the shapeshift lasts or for a number of rounds equal to your caster level, whichever is shorter. If you spend an additional spell point, the target is instead nauseated on a failed save and sickened for one round on a successful save.	If you spend an additional spell point, the target is instead nauseated on a failed save and sickened for one round on a successful save.
Alteration	Vitality	Base Talent	Alteration Talents					You may add the following traits to your forms:<br>Fast Healing: You may spend an additional spell point to grant the target fast healing 1, increasing by +1 per 10 caster levels.<br>Glow of Health: The target gains a +3 racial bonus on saves versus death effects, negative energy, poison, and disease, increasing by +1 per 10 caster levels.<br>Sleepless: The target gains immunity to magical sleep effects as the elf racial ability.	You may add the following traits to your forms: Fast Healing: You may spend an additional spell point to grant the target fast healing 1, increasing by +1 per 10 caster levels.
Alteration	Aberrant Body (body)	Base Talent	Body Talents					You may add the following traits to your forms:<br>Acid Spit: As a standard action, the target may launch a glob of acid as a ranged touch attack out to close range, dealing 1d6 damage per 2 caster levels, +1 damage per d6 for a number of additional rounds equal to 1/2 your caster level (minimum 1). Spending a move action removing the acid stops the additional damage.<br>Gibbering: All creatures within 30 feet of the target take a -2 penalty on concentration checks. This penalty increases by 1 per 5 caster levels.<br>Many Eyes: The target cannot be flanked.<br>Mucus: The target gains the ability to release a mucus cloud as a standard action, with a radius of 5 feet + 5 feet per 5 caster levels that persists for 1 round per caster level unless dispersed by a strong wind. Once this ability is used, it cannot be used again for 1d4 rounds. Any creature that comes in contact with the cloud must succeed at a Fortitude save with a DC of 10 + 1/2 Hit Dice + Constitution modifier or become unable to breathe air but can breathe underwater for 1 round per caster level or until they spend a standard action removing the mucus. A creature unable to breathe air that remains out of water begins to suffocate.<br>Roper Strands: The target gains a roper strand. This trait may be granted multiple times, granting an additional roper strand per additional trait. As a standard action, (or full-round action if using multiple strands), the target may launch their strands, making one ranged touch attack per strand at a target within close range. Each strands clings to the target, causing 1 Strength damage each round they remain attached (increasing by 1 die size per 5 caster levels; i.e. 1, 1d2, 1d3, 1d4, 1d6, etc.).<br>A Fortitude save (10 + 1/2 Hit Dice + Constitution modifier) negates this damage for the round. A creature cannot be affected more than once per round. Strands have 1 hit point, and hardness equal to the effect’s caster level, and a Break DC, Escape Artist DC, and AC equal to 10 + the effect’s caster level. However, strands are instantly severed by any slashing damage, which bypasses its hardness automatically. Creatures connected by roper strands may not move away from each other, though may choose to move closer or laterally. Moving farther requires severing the strand with an attack, breaking it with a Strength check, or removing it with an Escape Artist check, or succeeding on a drag combat maneuver against the target they are connected to. When two targets are connected by a strand, they may attempt drag combat maneuver checks against each other at range without provoking attacks of opportunity. If a strand is broken, the target instantly regrows the strand, and may still make strand attacks.	
Alteration	Cosmic Body (body)	Base Talent	Body Talents					You may add the following traits to your forms:<br>Cosmic Form: The target’s body becomes only semi-corporeal, appearing as a mass of starstuff or lights congealed into a form, rather than a form made from flesh. The target gains a deflection bonus to AC equal to 1/4th their Hit Dice, rounded down.<br>Spirit’s Reach: The target’s limbs become able to project themselves further than their physical confines. When making an attack action using a natural weapon, delivering a touch attack, performing skill checks, or manipulating objects (such as picking up unattended objects, throwing switches, or dropping objects), the target’s reach increases by 5 feet + 5 feet for every 10 caster levels you possess. The target does not threaten this area.<br>Shadow Blend: At 5th caster level, you may make the target murky, giving it concealment (20% miss chance) even when in normal light. This does not work in bright light.<br>Spiritual Touch: At 6th caster level, you may cause the target’s weapons and natural weapons to all be treated as though they had the ghost touch weapon special ability.<br>Ethereal: At 15th caster level, you may make the target ethereal. This costs an additional spell point.	This costs an additional spell point.
Alteration	Fey Body (body)	Base Talent	Body Talents					You may apply the following traits to your forms:<br>Fey Skin: The target gains DR 3/cold iron. This improves by +1 per 5 caster levels.<br>Wild Empathy: The target may improve the initial attitude of an animal within 30 feet using Diplomacy. The target gains a bonus equal to half your caster level on this check. Typically domestic animals start as indifferent and wild animals start as unfriendly and the check takes 1 minute. This ability may be used to influence a magical beast with an Intelligence score of 1 or 2, but the check takes a -4 penalty. If you spend an additional spell point when granting this trait, this check may be performed as a standard action and the penalty for influencing magical beasts is removed.<br>Woodland Stride: The target may move through any sort of undergrowth (such as natural thorns, briars, overgrown areas, and similar terrain) at its normal speed without taking damage or suffering impairment. This has no effect on magically manipulated terrain.	If you spend an additional spell point when granting this trait, this check may be performed as a standard action and the penalty for influencing magical beasts is removed.
Alteration	Muensterous Traits (body)	Base Talent	Body Talents	[Jester's HB]				You may add the following traits to your forms:<br>Cheese Body: The target’s body becomes strengthened by artisanal aging techniques, gaining DR 5/slashing. This improves by 1 per 4 caster levels.<br>Dangerously Cheesy: Whenever a creature damages the target with a melee attack, they are overwhelmed by the pungent smell of cheese. That creature is sickened for a number of rounds equal to your casting ability modifier unless they succeed at a Fortitude save with a DC equal to the caster’s Alteration sphere DC. The target gains a +1 circumstance bonus to attack and damage rolls against creatures sickened by this trait.<br>Spray Fondue: Once per minute, as a standard action the target may spray thick, hot, sticky cheese in a 20-foot cone. Any creature in this cone takes 1d4 points of fire damage per 2 caster levels and is entangled for 1d6 rounds unless they succeed at a Reflex save with a DC equal to the caster’s Alteration sphere DC. A creature that succeeds at its save takes half damage and is not entangled.<br>Holey: At 11th caster level, choose either the holy or unholy special ability. Any weapon the target wields gains that special ability. This trait costs an additional spell point.	This trait costs an additional spell point.
