name	type	system	prerequisites	benefit	normal	special	source	url
Brutal Blast	General	other	Any simple blast.	Your form infusions use your Constitution modifier instead of your Dexterity to calculate saving throws.	You use your Dexterity modifier to calculate saving throws for your form infusions.		Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Brutal_Blast
Buffered Kinesis	General	other	Advanced kinesis wild talent or Kinetic Invocation, internal buffer class feature.	When you use a spell-like ability with advanced kinesis or Kinetic Invocation, you can spend any number of points from your internal buffer (up to its total cost) to avoid accepting an equal amount of burn.	You can spend no more than 1 point from your internal buffer on a single wild talent.		Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Buffered_Kinesis
Buoyancy Control	General	other		If you have no air bladder, you gain a type A air bladder. If you have a type A air bladder, you gain a type B air bladder. Finally, if you have a type B air bladder, you gain a type C air bladder.		You can take this feat multiple times until you obtain a type C air bladder.	Cerulean Seas - Undersea Campaign Setting (page does not exist)	https://metzo.miraheze.org/wiki/Buoyancy_Control
Burn Resistance (feat)	General	other	Burn class feature, kineticist 7th	You can consider your character level to be two levels lower to determine the penalties you take from your burn class feature.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Burn_Resistance_(feat)
Burning Arcana	General	other	Burn and arcane pool or arcane reservoir class features.	Whenever you would spend 1 point from your arcane pool or arcane reservoir, you can instead accept 1 point of burn.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Burning_Arcana
Burning Ki	General	other	Burn and ki pool class features.	Whenever you would spend 1 point from your ki pool, you can instead accept 1 point of burn.		If you possess both Burning Ki and Elemental Ki, you count each point of burn accepted in place of ki as 3 ki points.	Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Burning_Ki
Catch These Hands	Combat	other	Improved Unarmed Strike or Catch Off Guard	If you have the Improved Unarmed Strike feat, your unarmed strikes gain the throwing special property, even if they aren’t otherwise masterwork or magical. If you have the Catch Off Guard feat, improvised weapons you wield gain the throwing special property, even if they aren’t otherwise masterwork or magical. Increase the range increment of weapons you wield with the throwing special property by five feet per character level. Unarmed strikes you throw reappear back on your body at the end of each ranged attack made with them, and cannot be caught or otherwise prevented from returning to you, even if circumstances such as a dimensional anchor or the sudden appearance of a wall of force would normally prevent it.			April Augmented: 2018	https://metzo.miraheze.org/wiki/Catch_These_Hands
Caustic Flesh	General	other	Naiad.	A creature that makes a successful bite attack against you takes 1d4 acid damage.			Cerulean Seas - Undersea Campaign Setting (page does not exist)	https://metzo.miraheze.org/wiki/Caustic_Flesh
Clobber	Combat	other	Kai-lio, base attack bonus +1.	When you attempt to overrun an opponent your target may not choose to avoid you. You may make one hoof attack against any target you knock down, gaining the standard +4 bonus on attack rolls against disoriented targets.		A kai-lio fighter may select Clobber as one of his fighter bonus feats.	Cerulean Seas - Undersea Campaign Setting (page does not exist)	https://metzo.miraheze.org/wiki/Clobber
Cockpit Jacker	Combat	other	Pilot Render, Disable Device 3 ranks	When you use a dirty trick maneuver on a disrupted mech, you may choose to eject the existing pilot of the mech and enter it yourself. When you have entered the cockpit, you now pilot the mech, and can continue piloting it until someone steals it from you, it is destroyed, or you choose to leave it.			Arcforge: Technology Expanded	https://metzo.miraheze.org/wiki/Cockpit_Jacker
Complex Metascript	General	rune_magic	Any two metascript feats	You can now apply two metascript feats to a single casting of a runic script, instead of only one (three if you use a metascript rod). The maximum level of script you can apply both of the feats to is lowered by 1, and you use the lower of the two levels to determine to which script you can apply the feats.			Paths of Magic	https://metzo.miraheze.org/wiki/Complex_Metascript
Composite Blast Technique	General	other	Kineticist 7th.	If your primary element grants a composite blast for having an expanded element with it (such as metal blast for earth), you gain access to that composite blast.		A fusion kineticist can take this feat a second time at 11th level, applying its effects to their sub element.	Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Composite_Blast_Technique
Controlled Script	General	rune_magic		When you overload a controlled script, you do not have to spend all of your runic charges. You can choose which ones to spend and which to keep.	You must spend all of your runic charges when you overload a script.		Paths of Magic	https://metzo.miraheze.org/wiki/Controlled_Script
Coral Link	General	other	Gills.	This feat confers the ability to link with any open coral formation. You can exchange information across vast distances almost instantaneously. While you are within 100 feet of any part of any open coral reef, you can speak with any other creature currently linked to the same reef (usually using the same feat), instantly and telepathically. All cindarians gain this feat at first level.			Cerulean Seas - Undersea Campaign Setting (page does not exist)	https://metzo.miraheze.org/wiki/Coral_Link
Craft Companion Vehicle	General	other	Technologist, Craft (mechanical) 9 ranks, Knowledge (engineering) 9 ranks	You can create vehicles based on the companion vehicles presented in this supplement. Any character with access to the vehicle’s key or other control mechanism may drive and use this vehicle.			Arcforge: Technology Expanded	https://metzo.miraheze.org/wiki/Craft_Companion_Vehicle
Craw Daddy	General	other	Karkanak, base attack bonus +3.	Your smaller attack claw (or both claws if you are female) has grown abnormally large. Both attack claws inflict 1d8 damage instead of 1d6 or 1d4. The male karkanak's large claw is unaffected by this feat.			Cerulean Seas - Undersea Campaign Setting (page does not exist)	https://metzo.miraheze.org/wiki/Craw_Daddy
Crawling in My Skin	General	akashic	Veilweaver level 11th, improved skin shift class feature	You gain the ability to use your skin shift as swarm skin. This special skin shift has an essence investment requirement of 3. When taking swarm forms, you treat your veilweaver level as your caster level when determining the effects of the spell.				https://metzo.miraheze.org/wiki/Crawling_in_My_Skin
Crystek Attunement	General	akashic	Essence Rejection	You may use crystek devices to emulate the power of akashic veils (see sidebar). You must provide Crystallized Essence to empower the device. You may re-attune a different crystek device as a move action.				https://metzo.miraheze.org/wiki/Crystek_Attunement
Current Rider	General	other		For every 5 feet that you sacrifice to fight the effects of a water current, you may subtract 10 feet from how far the current takes you. In addition, you gain a +5 circumstance bonus to any Acrobatics check made to leave a current.	While in a current you travel at a rate equal to the speed of the current, minus any of your base swim speed that you wish to sacrifice to the current.		Cerulean Seas - Undersea Campaign Setting (page does not exist)	https://metzo.miraheze.org/wiki/Current_Rider
Custom Vehicle	General	other	Technologist, character level 4th, must not have an animal companion, mount, or vehicle companion that advances as a mech or animal companion.	You gain a companion vehicle of your choice as if you were a pilot or druid of your character level –3. If you later gain an animal companion or vehicle through another source (such as the Animal domain, divine bond, hunter’s bond, mount, or nature bond class features), the effective druid or pilot level granted by this feat stacks with that granted by other sources.			Arcforge: Technology Expanded	https://metzo.miraheze.org/wiki/Custom_Vehicle
Cybernetic Integration	General	other	Bonded Mech class feature or Mech Piloting feat, Craft (mechanical) 5 ranks, Knowledge (engineering) 5 ranks	You can convert your mech into a set of cybernetic body armor. If your mech is currently larger than your size, it is broken down for parts and converted into a same sized creature; characters with multiple bonded mechs may choose one to receive this reconfiguration. If the mech had previously benefited from size increases for level, it instead increases its base Dexterity bonus by +2 and gains 10 additional hit points; if the mech had taken any size increasing enhancements, it may retrain any that would increase its base size above that of its pilot. While the mech is converted in this manner, you gain several benefits: you gain a +5 bonus to disguise checks to make the mech appear as a standard suit of armor, your arms (if you have any) are not occupied by piloting and may be used to wield weapons as normal, and you may pilot a mech up to one size smaller than yourself. There are also a few minor drawbacks: your mech now causes 15% spell failure due to its more confined configuration interfering with fine movements, you cannot stack weapon slots to wield a weapon more than one size category larger than yourself, and if the mech is smaller than your size, its bonuses to Strength and Dexterity are decreased by two points (minimum 0).			Arcforge: Technology Expanded	https://metzo.miraheze.org/wiki/Cybernetic_Integration
Dampened Blast	General	other	Kineticist 4th.	You can reduce your kinetic blast’s effective spell level by any amount, to a minimum of 1st. If you reduce your kinetic blast’s effective spell level this way, it deals damage as if your kineticist level was twice the chosen spell level.	Your kinetic blast’s effective spell level is always 1/2 your kineticist level, to a maximum of 9th.		Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Dampened_Blast
Defender of the Vents	General	other	Nixie, Con 10.	You gain energy resistance 5 against steam and heat. If you already have energy resistance against steam and heat, it increases by 5.		You can take this feat multiple times, increasing the energy resistance by 5 each time.	Cerulean Seas - Undersea Campaign Setting (page does not exist)	https://metzo.miraheze.org/wiki/Defender_of_the_Vents
Delay Blast	General	other	Base attack bonus +3, kinetic blast class feature.	When you use a kinetic blast, you can specify a number of rounds between 1 and 5. When that number of rounds has passed, the kinetic blast takes effect at the beginning of your turn. In the interim, you can take a standard action that provokes attacks of opportunity to cause the blast to take effect earlier than you initially selected. If you delay another blast while you already have a delayed blast pending, the previous delayed blast dissipates harmlessly.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Delay_Blast
Design Focus	General	rune_magic		Add +1 to the Difficulty Class for all saving throws against scripts from the design of runic script you select.		You can gain this feat multiple times. Its effects do not stack. Each time you take the feat, it applies to a new design of script.	Paths of Magic	https://metzo.miraheze.org/wiki/Design_Focus
Dirgesinger	General	other		You may affect undead with your bardic performances as though they were not immune to mind-affecting abilities. Mindless undead remain immune<br>to your performances.			Lords of the Night (page does not exist)	https://metzo.miraheze.org/wiki/Dirgesinger
Distance Blasting	Combat	other	Far Shot, kinetic blast class feature.	Increase the range of your kinetic blasts by 50%, but those outside your blast’s normal range are made with a -1 penalty to attack rolls for each 10 feet the blast travels beyond its normal range. This has no effect on a blast’s area of effect (such as from the torrent, spray, or explosion infusions). For kinetic blasts affected by an infusion or utility wild talent which alters their range (such as extended range or air’s reach), treat the range of the blast after accounting for wild talents as its normal range.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Distance_Blasting
Divergent Focus	General	other	Wild talents class feature.	Whenever you use a utility wild talent that would normally allow only one use of its effect to be active at a time, you can instead have two uses of its effect active without affecting the other use of it.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Divergent_Focus
Dolphin Flip	Combat	other	Dodge.	After making a standard Action melee attack, you may withdraw as a Move Action as long as you are swimming away.			Cerulean Seas - Undersea Campaign Setting (page does not exist)	https://metzo.miraheze.org/wiki/Dolphin_Flip
Dual Enhanced Veils	General	akashic	At least 2 veils known with the Enhanced descriptor.	When shaping at least 1 veil with the enhanced descriptor for the day, you may choose a second veil with the enhanced descriptor that you know that you did not shape and store it in this feat. By burning a point of essence as a move action, you may swap an enhanced veil that you have shaped with the veil stored in this feat. This unshapes the veil and stores it in this feat, and shapes the veil that was stored in this feat. Essence invested in these veils becomes uninvested. If you are capable of binding the newly shaped veil, you may bind them as long as you have the capability of doing so.				https://metzo.miraheze.org/wiki/Dual_Enhanced_Veils
Dual Hemisphere	General	akashic	Ability to manifest a Constellation’s champion form.	You may manifest the same constellation twice. When doing so, it must be manifested in two separate forms. You may manifest a constellation in its champion form along with one of its item forms (armor, equipment, or weapon) and reduce the total essence burn of the two manifestations by 2, but if you do so, that item is considered an intrinsic part of the champion and cannot be wielded or worn by another creature until both the champion and the item are dismissed and remanifested. A champion is always proficient with its own constellation’s item forms.				https://metzo.miraheze.org/wiki/Dual_Hemisphere
Durable Spirit Aspect	General	other	Spirit Devotion class feature, Caster level 5th	Select a particular spirit aspect. That aspect’s benefits are doubled in duration.			Cerulean Seas - Undersea Campaign Setting (page does not exist)	https://metzo.miraheze.org/wiki/Durable_Spirit_Aspect
Element Dancer	General	akashic	Morphbear.	You may now change your elemental affinity up to three times per day as a full-round action. You no longer need to bind a point of essence to change your elemental affinity. You may use this ability one additional time per day for every 5 levels you possess				https://metzo.miraheze.org/wiki/Element_Dancer
Elemental Essence	General	akashic		You can invest essence in this feat. As a free action, even if it isn’t your turn, you can bind a point of essence invested in this feat and select a single veil you have shaped with the Acid, Cold, Electricity, or Fire descriptors; select one of those descriptors: that veil loses its normal descriptor, and gains the chosen descriptor. Any damage of the original type dealt by that veil is changed to the new type. If a veil has multiple such descriptors, choose one of them to change with this effect. This effect lasts until you rest and shape your veils for the day or until the veil is unshaped.			Studio M— May 2021 Compilation (page does not exist)	https://metzo.miraheze.org/wiki/Elemental_Essence
Elemental Ki	General	other	Brawler’s flurry or flurry of blows class feature, burn class feature, kinetic fist wild talent, kineticist level 4th.	Your burn functions like a ki pool. As long as you have at least 1 point of burn, your unarmed strikes count as magic. You can take 1 point of burn as a swift action to do any two of the following: make an additional attack at your highest bonus during a flurry of blows, increase your speed by 20 feet for 1 round, or gain a +4 dodge bonus to AC for 1 round. You can also accept burn instead of spending ki (or a combination of the two) to activate an ability that costs ki points, with each point of burn you accept counting as 2 ki points. You count as having a ki pool for effects that requires a ki pool.		If you possess both Burning Ki and Elemental Ki, you count each point of burn accepted in place of ki as 3 ki points.	Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Elemental_Ki
Elemental Knowledge	General	other	Expanded element class feature.	If you chose a different element from your primary element with the expanded element class feature at 7th level, you gain that element’s associated skills as class skills. In addition, you gain a +1 bonus on all your elements’ associated skills. If you chose a third element with expanded element at 15th level, you receive these benefits for that element’s associated skills as well.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Elemental_Knowledge
Elemental Overload	General	other	Elemental overflow class feature, kineticist 15th.	Whenever you have accepted at least 4 points of burn, the chance to ignore the effects of a critical hit or sneak attack increases by an additional 10%. This chance increases by an additional 5% for every 2 points of burn you accept after that. This chance can’t exceed 100%.	Whenever you have accepted at least 3 points of burn, your chance to ignore the effects of a critical hit or sneak attack equals 5% × your current number of points of burn.		Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Elemental_Overload
Elemental Script (Metascript)	General	rune_magic		Choose one energy type: acid, cold, electricity, or fire. You may replace a script’s normal damage with that energy type or split the script’s damage, so that half is of that energy type and half is of its normal type.		You can gain this feat multiple times. Each time you must choose a different energy type.	Paths of Magic	https://metzo.miraheze.org/wiki/Elemental_Script_(Metascript)
Elemental Soothing	General	other	Soundweaver 16th or evoker minstrel 12th, kinetic healer utility wild talent	By accepting one point of burn as a free action when activating soothing performance, you can choose one creature to be healed as if affected by kinetic healer rather than mass cure serious wounds, as well as adding the effect of a metahealer ability for which you would qualify as a kinetic chirurgeon of your soundweaver or evoker minstrel level.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Elemental_Soothing
Elemental Spellweaving	General	spheres	Spellweaver 1, ability to shape at least one veil with an elemental descriptor (see below), ability to cast at least one spell that deals elemental damage.	When you shatter a veil with an elemental descriptor (acid, cold, electricity, or fire) and cast a spell that deals damage of one of those types, you can change the damage of the spell to match the type of one of the shattered veil's elemental descriptors. This counts as a matching descriptor for the purposes of the metaweaving ability.		This feat can also be selected by a psiweaver or a sphereweaver, allowing them to change the damage types of their manifested power and cast sphere powers. They must be able to manifest a power or have a sphere ability that deals elemental damage to select this feat.		https://metzo.miraheze.org/wiki/Elemental_Spellweaving
Empower Script (Metascript)	General	rune_magic	Able to cast 2nd-level runic scripts, scribe level 3rd	All variable, numeric effects of an empowered script are increased by half including bonuses to those dice rolls.			Paths of Magic	https://metzo.miraheze.org/wiki/Empower_Script_(Metascript)
Empowered Admixture	General	other	Negative admixture or positive admixture composite blast.	Negative admixture and complex negative admixture can be used with infusions associated with negative blast and whichever kinetic blast they are augmenting. Positive admixture and complex positive admixture can be used with infusions associated with positive blast and whatever kinetic blast they are augmenting. For example, a negative admixture fire blast can be used with infusions associated with fire blast and negative blast.	A negative admixture, complex negative admixture, positive admixture, or complex positive admixture can only be used with universal infusions.		Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Empowered_Admixture
Enchanted Voice	General	other	Siren Song class feature, Spell Focus (Enchantment), Caster level 5th, Cha 15.	Enchantment spells cast by you no longer have a somatic or material component. However, all enchantment spells have a vocal component. Additionally, your enchantment spells are much simpler to cast. When making a concentration check to cast a spell from the enchantment school, you may add your Charisma modifier to the roll. If you already add your Charisma modifier, you may simply add it again.			Cerulean Seas - Undersea Campaign Setting (page does not exist)	https://metzo.miraheze.org/wiki/Enchanted_Voice
Enduring Might	General	other	Gather Might, gather power class feature, kineticist level 8th.				Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Enduring_Might
Enduring Remnants	General	other	Kinetic Remnants , Throw Anything, or bomb class feature.	Whenever a splash weapon you use would leave behind caltrops or an effect simulating caltrops for a limited duration (such as a shard gel, the Kinetic Remnants feat, the sharding cover utility wild talent, or the glassfoot bomb alchemical discovery), increase that duration to 2d6 rounds. If the duration of the effect is already 2d6 rounds or greater, the caltrops left behind are instead permanent (though still subject to limitations of the material composing them). Caltrops created this way have no monetary value unless otherwise stated in the ability which creates them.		A kineticist can take this twice, causing their kinetic blasts and sharding cover to leave behind permanent caltrops. Taking this feat a second time only affects wild talents, not other splash weapons (such as an alchemist’s bombs).	Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Enduring_Remnants
Energizing Script (Metascript)	General	rune_magic	Able to cast 2nd-level runic scripts, scribe level 3rd	An energized script generates two runic charges, instead of one. The second gained charge is of the same design as the script. This does not let you exceed your normal maximum amount of charges.			Paths of Magic	https://metzo.miraheze.org/wiki/Energizing_Script_(Metascript)
Energy Aim	Combat	other	Point-Blank Shot, any energy kinetic blast.	Your energy kinetic blasts gain a +1 to attack rolls. You can also apply the Deadly Aim feat to your energy blasts.	Ranged touch attacks cannot apply the Deadly Aim feat.		Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Energy_Aim
Enhanced Composite Boost	General	other	Must possess a composite blast which modifies and is treated as another blast.	When you use a composite blast to modify another blast (such as aetheric boost), you can apply infusions of the composite blast’s prerequisite blasts (for example, a gravitic boost earth blast could use all infusions associated with gravity blast in addition to those normally associated with earth blast).	When using a composite blast to modify another blast, the composite blast is treated as the modified blast, and as such is only associated with infusions normally associated with the modified blast.		Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Enhanced_Composite_Boost
Enlarge Script (Metascript)	General	rune_magic		You can alter a script with a range of close, medium, or long to increase its range by 100%. An enlarged script with a range of close now has a range of 50 ft. + 5 ft./level, while medium-range scripts have a range of 200 ft. + 20 ft./level and long-range scripts have a range of 800 ft. + 80 ft./level.			Paths of Magic	https://metzo.miraheze.org/wiki/Enlarge_Script_(Metascript)
Essence Rejection	General	akashic	No essence pool.	You gain a +1 bonus on saving throws against effects generated by veils and other akashic abilities. This bonus increases by 1 at 4th level and every 4 levels thereafter (to a maximum bonus of +6 at 20th level).		You lose the benefit of this feat if you gain any essence.		https://metzo.miraheze.org/wiki/Essence_Rejection
Essence Void	General	akashic	Essence Rejection, character level 8th	The veilweaver of any veil that targets you, includes you in its area of effect, or is used to attack you must make a veilweaver level check (DC 15 + your Hit Dice) or have that veil be suppressed for 1d4 rounds. Any purely akashic damage, such as from the Loyal Paladin’s Spear of Light veil or a batal’s sword of the sun king class feature, deals half damage to you.				https://metzo.miraheze.org/wiki/Essence_Void
Ettin Licker	General	other	Agile Tongue, wild talents class feature, must possess more than one head.	The effects of any feat or utility wild talent for which the Agile Tongue feat is a prerequisite apply to each of your heads individually.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Ettin_Licker
Expanded Fundamentals	General	rune_magic	Fundamental class feature	You learn an additional two fundamentals from your script list, and can prepare them normally.			Paths of Magic	https://metzo.miraheze.org/wiki/Expanded_Fundamentals
Expanded Metakinesis	General	other	Kinetic blast class feature, metakinesis class feature.	Select one of the following metamagic feats: Disruptive Spell, Ectoplasmic Spell, Furious Spell, Merciful Spell, or Piercing Spell. By accepting 1 point of burn, you can alter your kinetic blast as if using the selected metamagic feat.		You can select this feat multiple times. Each time, select a different metamagic feat.	Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Expanded_Metakinesis
Extend Script (Metascript)	General	rune_magic		An extended script lasts twice as long as normal. A script with a duration of concentration, instantaneous, or permanent is not affected by this feat.			Paths of Magic	https://metzo.miraheze.org/wiki/Extend_Script_(Metascript)
Extended Buffer	General	other	Internal buffer class feature, kineticist 7th	Increase the amount of burn you can store within your internal buffer by 1.		This feat may be taken once at 7th level, and again at 13th and 19th.	Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Extended_Buffer
Extra Akashic Upgrade	General	other	Ability to shape an akashic construct			This feat may be taken up to three times.	Studio M— June 2021 Compilation (page does not exist)	https://metzo.miraheze.org/wiki/Extra_Akashic_Upgrade
Extra Battle Burn	General	other	War kineticist 7th or legendary kineticist 5th.	You gain one additional point of battle burn.			Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Extra_Battle_Burn
Extra Burn	General	other	Burn class feature.	You can accept an additional 2 points of burn per day.		You can take this feat multiple times; its effects stack.	Ultimate Kineticist Compendium	https://metzo.miraheze.org/wiki/Extra_Burn
