name	discipline	descriptors	display	manifesting_time	range	target_area_effect	duration	saving_throw	power_resistance	power_points	description	augment	special	mythic	source	url
Anchored Navigation	Clairsentience	None	Material and olfactory	1 standard action	Personal	Target: You	1 hour/level	None	No	7	You know where you are in relation to a fixed starting point, which is essential for setting up a mishap-free teleport beacon. While the duration lasts, you are aware of your exact distance and route (physical or psychoportive) back to a fixed starting point. The "anchored" starting point is your exact location when you manifest the power. To designate other anchored starting points, you must manifest this power multiple times and be present at the desired locations when you do so.<br><br>You can also retrace your steps through a maze automatically while the power lasts, without resorting to a map.<br><br>Anchored navigation grants you a mindlink with one designated creature who remains within a 60-foot radius of the starting point, regardless of the distance between you and the creature. The use of anchored navigation is confined to the plane of existence where you manifest it.	Augment: If you spend 6 additional power points, the effect of this power extends across all planar boundaries.		Mythic Anchored Navigation<br><br>At any point during the power's duration, you can spend a standard action to reset the starting point for the mythic anchored navigation.<br><br>Augmented: If you expend one use of mythic power, you can have a number of beacons active equal to your mythic tier without having to manifest another instance of anchored navigation. You can set a new beacon as a standard action and can choose which beacon to deactivate if resetting the location of a beacon.	Psionics Unleashed, pg. 75<br>Ultimate Psionics, pgs. 159–160<br>Psionics Augmented: Mythic Psionics, pg. 28	https://metzo.miraheze.org/wiki/Anchored_Navigation
Animal Affinity, Lanis's	Psychometabolism	None	Material	1 standard action	Personal	Target: You	1 min./level	None	No	3	You forge a psychometabolic affinity with an idealized animal form, thereby boosting one of your ability scores (choose Strength, Dexterity, Constitution, Intelligence, Wisdom, or Charisma). The power grants a +4 enhancement bonus to the ability score you choose, adding the usual benefits provided by a high ability bonus. Because you are emulating the idealized form of an animal, you also take on minor aspects of the animal you choose. If you choose to increase the ability you use to manifest powers, you do not gain the benefit of an increased ability score long enough to gain any bonus power points for a high ability score, but the save DCs of your powers increase for the duration of this power.	Augment: For every 5 additional power points you spend, this power grants a +4 enhancement bonus to another ability score.		Mythic Animal Affinity, Lanis's<br><br>You gain a bonus to checks for the selected ability score equal equal to half your mythic tier, and once during the power's duration you can elect to reroll either a skill check based on that ability score, a Fortitude saving throw if you selected Constitution, a Reflex saving throw if you selected Dexterity, or Will saving throw if you selected Wisdom. This reroll must be used immediately after the result of the first roll is determined, and the reroll must be used even if it is worse than the original roll.<br><br>Augmented (6th): If you expend two uses of mythic power, the +4 enhancement bonus is increased to +6.	Psionics Unleashed, pgs. 75–76<br>Ultimate Psionics, pg. 160<br>Psionics Augmented: Mythic Psionics, pg. 28	https://metzo.miraheze.org/wiki/Animal_Affinity,_Lanis%27s
Animus Overload	Metacreativity	None	Auditory, Material, Visual	1 standard action	Touch		Instantaneous	Fortitude partial	No	1	This power allows the manifester to cause the power of the already-unstable animus within a target to lose containment and become explosive within the target's body. When manifesting this power, the manifester makes a touch attack against the target and he may cause 1d4 points of animus in the target to erupt within them (consuming the point of animus), causing 5 points of damage per animus point consumed with this ability. The target of this ability may make a Fortitude save to negate the damage while they release the dangerous animus from their body, but the animus targeted by this power is consumed. If the target does not possess animus, this power has no effct.	Augment: If you spend an additional 2 power points points, you may alter the range of this power to close range (25 feet + 5 feet per two manifester levels) and make the attack as a ranged touch attack.<br><br>If you spend an additional 2 power points, you may consume and explode an additional 1d4 points of animus within the target.			Psionics Augmented: Psychic Warrior, pgs. 10–11<br>Psionics Augmented: Compilation II, pg. 62	https://metzo.miraheze.org/wiki/Animus_Overload
Apathetic Aura	Telepathy	Compulsion<br>Mind-affecting	Visual	1 standard action	20 ft.	Area: 20 ft. radius centered on you	1 round/level	Will negates	Yes	3	You emit an aura that causes creatures to be uninterested in you or those accompanying you. The affected creatures are aware of your presence, but simply find your presence unworthy of their attention. Creatures accompanying you must be within 10 feet of you to be similarly ignored. Any action that would directly harm the affected creature allows it to make an additional save against this power with a +4 circumstance bonus to negate this effect.	Augment: If you spend an additional 4 power points, the duration becomes 10 minutes/level.			Psionics Augmented: Compilation II, pg. 62	https://metzo.miraheze.org/wiki/Apathetic_Aura
Apopsi	Telepathy	Mind-affecting	Auditory, material, and visual	1 round	Close (25 ft. + 5 ft./2 levels)	Target: One living psionic creature	Instantaneous; see text	Fortitude negates; see text	Yes	17	By using this power, you delete 1d4 powers or spells permanently from the subject's mind. You specify the level of each power or spell, and the DM randomly determines which of the subject's powers or spells is actually deleted. After 24 hours, the target may make an additional Fortitude save to negate the effect. psychic chirurgery or reality revision can be used to restore the lost powers or spells, but it must be performed within 1 week of losing the powers or spells. The deleted powers or spells no longer count against the subject's powers or spells known the next time they gain a level. If a character gains a level after losing powers or spells in this fashion, he or she may choose new powers or spells to replace those lost, but they must be the same level as the power or spell lost.			Mythic Apopsi<br><br>If the target knows the mythic powers or spells, the power or spell to be deleted is chosen randomly from their mythic powers or spells, and they lose the mythic and non-mythic version of the power or spell. If the target does not know mythic powers or spells, the number of powers or spells deleted is increased to 1d6.<br><br>Augmented: If you expend one use of mythic power, the power can affect any non-mindless creature.	Psionics Unleashed, pg. 76<br>Ultimate Psionics, pg. 160<br>Psionics Augmented: Mythic Psionics, pg. 28	https://metzo.miraheze.org/wiki/Apopsi
Arcanix Spellsieve	Psychokinesis<br>Clairsentience	None	Visual	1 standard action	Close (25 ft. + 5 ft./2 levels)	Target: One creature	1 min/level	None (harmless)	No	3	You interweave your mind and power with that of another creature, allowing you to either empower their spells or to draw power from the spells they cast. Whenever the target casts a spell, you can augment that spell as an immediate action. For every 2 power points you spend augmenting it, increase the effective caster level of that spell by 1. For every 3 power points you spend augmenting it, increase its effective spell level by 1. Both of these uses stack with each other, but you cannot spend more than your manifester level on a single augment. (For example, if you spend 6 power points to augment a spell, the caster level increases by 3 and the spell level by 2).<br><br>The other use of this power allows you to siphon some of the power of a spell into your own power reserves. As an immediate action when the target casts a spell, you regain 1 power point for every 2 spell levels of the spell they cast. This use of the power immediately ends the effect.	Augment: This power may be augmented in one or more of the following ways.<br><br>• If you spend 2 additional power points, the duration increases to 10 minutes / level.<br><br>• For every 2 power points you spend, you can choose another target for this power.<br><br>• If you spend 2 additional power points, you can augment the spells of your target as a free action.			Psionics Augmented: Feats and Powers, pg. 10	https://metzo.miraheze.org/wiki/Arcanix_Spellsieve
Ardent Legion, T'Nail's	Psychoportation	None	Auditory, Mental	1 standard action	Unlimited; see text	Target: Willing members of your collective	Instantaneous; see text	Will negates	No	17	You send a summon out across your collective calling all of the members to aid you. All members of the collective that are located on the same plane and that are willing are then summoned to the closest available space to you and are given one of three options.<br><br>• +3 competence bonus on attack and damage rolls<br><br>• +3 competence bonus on saving throws and AC<br><br>The competence bonuses last for one round per manifester level. If this power is used during combat and the creatures summoned had not yet rolled initiative, they immediately roll initiative. If their initiative is higher than yours, they may immediately take this round's actions and then resume normal initiative order the next round. Creatures summoned immediately receive their bonus.	Augment: This power may be augmented in one or more of the following ways.<br><br>• By spending 2 additional power points, the power can summon members, including the manifester, to a particular member of the collective instead of to the manifester.<br><br>• By spending 2 additional power points, this power can summon members of the collective across planar boundaries.<br><br>• By spending 4 additional power points, this power's manifesting time becomes an immediate action.			Psionics Augmented, pg. 50<br>Ultimate Psionics, pg. 160	https://metzo.miraheze.org/wiki/Ardent_Legion,_T%27Nail%27s
Armageddon	Psychokinesis	Force	Auditory, Visual	1 minute	Personal	Area: 1 mile radius/level, centered on manifester	Instantaneous	Fortitude half	No	17	Channelling all of your raw psionic power into a single burst, you unleash cosmic destruction over all that you survey. All things within range, including you, take 10d6 points of force damage. Upon manifesting this power, you take 4d6 points of ability burn to your manifesting ability score.				Terrors from the Id, pg. 14	https://metzo.miraheze.org/wiki/Armageddon
Assign Imperative	Telepathy	Curse<br>Mind-affecting	Auditory and Mental	10 minutes	Close (25 feet + 5 feet/level)	Target: One creature	Permanent	None	Yes	11	One of the most terrifying abilities of any telepath, this power distorts the ambitions of a target for a permanent duration. You command the target to perform or refrain from specific action, forcing the target to follow the given instructions until the job is completed, no matter how long it takes. If the instructions involve some open-ended task that the recipient cannot complete through his own actions, the power remains in effect for a maximum of 1 day per manifester level. A clever recipient can subvert some instructions. This power cannot be dispelled as normal, and only a cleanse spirit, bend reality, or similarly powerful instance of magic can end its effects. Even still, these effects require a successful manifester level check (DC 10 + your manifesting ability score modifier + the number of power points spent on this power) in order to dispel this power. However, a psychic chirurgery power is strong enough to end the effects of this power automatically.	Augment: In addition to the ways that mind control can be augmented, this power can be augmented in the following ways.<br><br>• If you spend 4 additional power points, you may manifest this power as a standard action. If you do, the target is allowed a will save.<br><br>• If you spend 4 additional power points, you may force a creature under the effects of this power to perform actions against its nature, including self-destructive actions. The creature is allowed a saving throw to break away from this effect if subjected to a flagrant command of this manner.<br><br>• If you spend 2 additional power points, you may deteriorate the mind and body of the targeted creature should their efforts prove insuffcient. Once per day, you may cause a target to take a -3 penalty to all of its ability scores. These penalties are cumulative, but can never reduce an ability score below 1.			Terrors from the Id, pg. 14	https://metzo.miraheze.org/wiki/Assign_Imperative
Assimilate	Psychometabolism	None	Auditory and visual	1 standard action	Touch	Target: One living creature touched	Instantaneous and 1 hour; see text	Fortitude half	Yes	17	Your pointing finger turns black as obsidian. A creature touched by you is partially assimilated into your form and takes 20d6 points of damage. Any creature reduced to 0 or fewer hit points by this power is killed, entirely assimilated into your form, leaving behind only a trace of fine dust. An assimilated creature's equipment is unaffected.<br><br>A creature that is partially assimilated into your form (that is, a creature that has at least 1 hit point following your use of this power) grants you a number of temporary hit points equal to half the damage you dealt for 1 hour. Temporary hit points gained by assimilating multiple creatures, like all<br>temporary hit points, do not stack.<br><br>A creature that is completely assimilated grants you a number of temporary hit points equal to the hit points it had prior to your attack. If the assimilated creature knows psionic powers, you gain knowledge of one of its powers for 1 hour (chosen randomly). You gain some semblance of a creature you completely assimilate for 1 hour, granting you a +10 bonus on Disguise checks made to appear as that creature during that time. You also gain a bonus to your ability scores for 1 hour for completely assimilating creatures based upon the creature's relative hit dice related to yours as shown on the chart below.<br><br>Target's HD Compared to Manifester<br><br>Bonus<br><br>9 or more greater<br><br>+4 to all ability scores<br><br>5 to 8 greater<br><br>+4 to 5 ability scores<br><br>1 to 4 greater<br><br>+4 to 4 ability scores<br><br>Equal<br><br>+4 to 3 ability scores<br><br>1 to 4 lower<br><br>+4 to 2 ability scores<br><br>5 to 8 lower<br><br>+4 to 1 ability score<br><br>9 or more lower<br><br>No bonuses to ability scores			Mythic Assimilate<br><br>The damage dealt to the assimilated creature is 20d8 instead of 20d6. You permanently retain knowledge of all powers the target knew. You gain the target's memories and can sift through them as a swift action to remember something specific.	Psionics Unleashed, pg. 76<br>Ultimate Psionics, pgs. 160–161<br>Psionics Augmented: Mythic Psionics, pg. 28	https://metzo.miraheze.org/wiki/Assimilate
Astral Caravan	Psychoportation	None	None	1 hour	Personal	Target: You and touched willing creatures	See text	None	No	5	You lead a caravan into the Astral Plane, leaving the Material Plane behind. Since the Astral Plane touches upon other planes, you can travel astrally to any of these other planes as you wish, but only if you know your way (see below).<br><br>You can bring other willing creatures with you, provided that these subjects have each manifested astral traveler and are linked hand to hand with you at the time of the astral caravan's manifestation. These fellow travelers are dependent upon you and must accompany you at all times. If something happens to you during the journey that causes you to break hand-to-hand contact, your companions are stranded wherever you leave them. Because the planes are a dangerous place, those who lead astral caravans usually choose to manifest this power only if they have a large party of travelers assembled. Sometimes groups of lowerlevel adventurers may hire you to lead forays beyond the Material Plane.<br><br>The astral caravan power lasts while you and your fellow travelers maintain your original formation, until (1) you reach your intended destination plane, (2) you desire to end the power while still traversing the Astral Plane, (3) you or anyone traveling with you breaks the hand-to-hand chain connecting the travelers for 2 consecutive rounds, or (4) the power is terminated by some outside means, such as dispel psionics. When the power ends, you and your fellow travelers halt in whatever portion of the Astral Plane you happen to be traversing (the Astral Plane is in many ways subjective in location; in any event, one place on the Astral looks much like any other).<br><br>While you are traveling through the Astral Plane, those natives who happen to glimpse you and your fellow travelers perceive you to be moving at a speed of 30 feet (you can't run), with you flying in the lead and your fellow travelers strung out behind you, each linked to the next by one hand.<br><br>Depending on your knowledge of the planes, your journey through the subjective space that is the Astral Plane may take a longer or shorter period of time. For each 24 hours you travel, make a Knowledge (planes) check. Unless a location is particularly hard to find and well guarded, or conversely easy to find and well advertised, the average DC for an astral caravan journey should be set at 20. You cannot take 20 on this check, though you can take 10. Each check may be modified by your degree of familiarity with the destination or by some connection you have with the place; see the following tables.<br><br>Each successful check indicates that you are one step closer to your goal. To finally arrive at your location, you must succeed on six checks within a span of 12 days. (If you fail to make six successful checks within the first 12 days, you can continue to make one check per day until you get the requisite six successes within a span of 12 consecutive days). When you successfully make the requisite number of checks, the journey ends, and you appear on your chosen plane within 10–1,000 (1d% x 10) miles of your intended destination on that plane.	Augment: If you spend 2 additional power points, this power weaves a quasi-real filmy membrane around yourself and all those adjacent to each other in the caravan (being linked by hand is not required if this membrane is used). You remain visible within the translucent, amorphous enclosure. You can pick up or drop willing passengers, easily reaching through the film. Anything you hold is enveloped by the film. Any attacks made through the enclosure in either direction have a 25% miss chance due to the rippling membrane.<br><br>When you manifest this power in its augmented form, your apparent speed to those observing on the Astral Plane is 40 feet, and you can make a Knowledge (planes) check once every 12 hours to attempt to make it to your destination (six successful checks within 12 consecutive days still sees you to your desired goal).<br><br>Destination Knowledge<br><br>Knowledge (planes) Check Modifier<br><br>None*<br><br>n/a<br><br>Secondhand (you have heard of the destination)<br><br>–10<br><br>Firsthand (you have visited before) +0 Familiar (you have visited three or more times)<br><br>+5<br><br>*If you have no direct knowledge of your destination, you must have some connection to it in order to travel there; see below.<br><br>Connection<br><br>Knowledge (planes) Check Modifier<br><br>Likeness or picture of destination<br><br>+2<br><br>Object from destination<br><br>+4<br><br>Planar Cartographer's map of destination<br><br>+10		Mythic Astral Caravan<br><br>You can take an additional number of companions equal to your mythic tier, and the manifester level check to dispel your mythic astral caravan is increased by an amount equal to your mythic tier. If a mythic creature using mythic astral caravan has its astral body killed, it may expend one use of its mythic power to gain only one permanent negative level rather than two.<br><br>Augmented (6th): If you expend one additional use of mythic power per creature, you can surround each of the physical bodies of creatures left behind within an individual wall of force that lasts as long as the mythic astral caravan does unless it is destroyed.	Psionics Unleashed, pgs. 76–77<br>Ultimate Psionics, pg. 161<br>Psionics Augmented: Mythic Psionics, pg. 28	https://metzo.miraheze.org/wiki/Astral_Caravan
Astral Construct	Metacreativity (Creation)	None	Visual; see text	1 round	Close (25 ft. + 5 ft./2 levels)	Effect: One created astral construct	1 round/level (D)	None	No	1	This power creates one 1st-level Astral Construct of solidified ectoplasm that attacks your enemies. It appears where you designate and acts immediately, on your turn. It attacks your opponents to the best of its ability. As a free action, you can mentally direct it not to attack, to attack particular enemies, or to perform other actions. The astral construct acts normally on the last round of the power's duration and dissipates at the end of its turn.<br><br>Astral constructs are not summoned; they are created on the plane you inhabit (using ectoplasm drawn from the Astral Plane). Thus, they are not subject to effects that hedge out or otherwise affect outsiders; they are constructs, not outsiders.	Augment: For every 2 additional power points you spend, the level of the astral construct increases by one.		Mythic Astral Construct<br><br>The astral constructs you summon are considered mythic creatures and gain one use of mythic power and the surge ability, which they can use to add 1d6 to a single die roll. Astral constructs gain no other mythic abilities.<br><br>Augmented (6th): If you expend two uses of mythic power, you can add the agile, invincible, or savage mythic simple template to creatures you summon with this power. These templates are described in the Mythic Monster Advancement section of Chapter 6 in Pathfinder Roleplaying Game Mythic Adventures.	Psionics Unleashed, pg. 77<br>Ultimate Psionics, pg. 162<br>Psionics Augmented: Mythic Psionics, pg. 28	https://metzo.miraheze.org/wiki/Astral_Construct
