name	slot	descriptors	effect	bind_effect	is_retold	source	url
Alluring Voice	Headband, Neck	Compulsion, Language-dependent, Mind-affecting	Gain bonuses to Bluff and Diplomacy, gain suggestion as an SLA.	Headband: Your suggestion lasts longer.<br>Neck: Your suggestion affects multiple creatures.		Studio M— June 2021 Compilation	https://metzo.miraheze.org/wiki/Huay_Veil_List
Alluring Voice (Akasha Retold)	Headband, Neck	Compulsion, Language-dependent, Mind-affecting			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Huay_Veil_List
Almighty Gandiva	Hands, Shoulders, Body	Enhanced				Akashic Tales: Astradhari's Panoply	https://metzo.miraheze.org/wiki/Daevic_Veil_List
An Hourglass, Once Broken, Twice Repaired	Neck					Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Nexus_Veil_List
Anchoring Roots	Feet, Belt	Fleshwarp				Eldritch Akasha — Lost Esoteries	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Angel's Feather	Neck		Resist diseases, poisons, curses.	Transfer diseases, poisons, and curses from others to yourself.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Guru_Veil_List
Angelic Wings	Shoulders	Good	Gain wings, allowing you to glide or fly.	Gain sanctuary when heavily injured Teleport to injured allies' side to cover their escape.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Anti-Bag of Rats	Hands	Brand	Brand a target to take damage whenever they use an ability that requires them to defeat a creature.	Branded creatures also take damage when confirming critical hits, and cannot slay the dying.		April Tools Day	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Antlers of the Ephemeral Elk	Head	Teleportation	Gain a gore attack, teleport short distances when goring.	Teleport yourself and struck creature when goring.		Races of Obscura - El'in and Mosslings	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Aphora's Belt of Fire	Belt	Fire	Fiery aura burns poisonous and diseased creatures, you recover from afflictions more quickly.	Conjure flame-wreathed, flying chariot.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Guru_Veil_List
Aphos's Blooded Gauntlets	Hands		Deal Con damage to yourself to heal others, or vice-versa.	Speed or slow target through their blood.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Huay_Veil_List
Arachnothorax	Feet, Belt	Fleshwarp	Replace your legs with a spider's body.	Feet: Grow spinnerets and create webs, move through webs without penalty.<br>Belt: Gain Feet bind, increase size, increase web radius.		Eldritch Akasha — Obsessions of Mortality	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Architect's Toga	Chest	Creation, Variant				Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Nexus_Veil_List
Arcing Slicers	Wrists	Electricity, Enhanced	Create two deer horn knives that deal electricity damage and allow you to teleport when thrown.	Set up a chain lightning trap with your attacks that activates when the struck creature moves.		The Soulforge: Spirit of a Hero	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Arm of the Void	Wrists		Attack with tentacle natural attacks through holes in reality.	Grapple with your tentacles.		The Tome of Veils	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Armaments of Faith	Hands	Enhanced, Paired	Use this sword and shield to protect yourself and your allies.	Take a hit for an adjacent ally.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Armbands of the Irked Elephant	Wrists		Gain special bull rush attack.	Gain shield bonus to AC.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Armbands of the Irked Elephant (Retold)	Wrists	Force			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Armlets of the Shaitan	Wrists, Shoulders	Earth	Extend your reach, gain bonuses to attack and damage if you and your foe are on the ground	Wrist: Attack all enemies within reach.<br>Shoulders: Gain earthglide.		Stormbound, Pathfinder Compatible; Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Huay_Veil_List
Armlets of the Warmagi	Hands, Wrists	Enhanced				Echoes of Magic — What Is Spoken	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Armlets of the Wrathful Convoker	Hands, Wrists	Acid, Air, Cold, Earth, Electricity, Enhanced, Fire, Variant				Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Armor of Steel and Silk	Body, Shoulders	Enhanced	Gain AC vs melee or ranged attacks.	Shoulders: Change the veil's form as an immediate action<br>Body: Gain Shoulders bind, burn essence to negate attacks		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Armory of Tai Lin	Hands, Wrists	Enhanced				Akashic Expansions: Tai Lin	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Armory of the Conqueror	Hands, Wrists		Amplify the damage of a wielded weapon with akashic energy	Hands: Resist disarming.<br>Wrists: Resist disarming & weapon destruction.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Armory of the Conqueror (Retold)	Wrists				yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Armory of the Conqueror (Spheres of Akasha)	Hands, Wrists		Amplify the damage of a wielded weapon with akashic energy	Hands: Resist disarming.<br>Wrists: Resist disarming & weapon destruction.		Spheres of Akasha	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Ashen Blessing	Head	Fire, Healing				Hopes and Feasts - Recipe for Success	https://metzo.miraheze.org/wiki/Guru_Veil_List
Aspect of Red Sun	Blood	Fire	Gain a tentacle natural attack that deals fire damage, summon a mount.	Creatures struck by your tentacle catch fire, summon a flame steed.		Akashic Tales: Horrible Horsemen	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Aspect of the Fae Realms	Head, Shoulders	Variant				Expanded Akasha: Variant Arsenal 2	https://metzo.miraheze.org/wiki/Huay_Veil_List
Assassin's Fervor	Head, Wrists	Variant	Discern the health of creatures and deal more damage to them based on their hit points.	Head: Disguise yourself using Stealth.<br>Wrists: Use one of three abilities when attacking a discerned creature.		Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Assassin's Magekillers	Hands	Divination, Enhanced, Variant	Create two daggers that can detect mages and ignores their resistances, use detect magic as an SLA.	Sense mages as blindsense, prevent them from teleporting after being struck.		The Tome of Veils	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Astral Presence	Head, Neck	Light, Teleportation, Variant				Expanded Akasha — Esoteric Ascendance	https://metzo.miraheze.org/wiki/Promethean_Veil_List
Astral Pugilism	Shoulders, Belt, Body		Your unarmed strikes act as thrown weapons.	Shoulders: Gain increased reach with your melee strikes, perform combat maneuvers with your ranged strikes.<br>Belt: Gain Shoulders bind, create an astral copy that can attack for you.<br>Body: Gain Belt bind, destroyed copies attack foes, make multiple copies at once.		Studio M— March 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Astral Pugilism (Retold)	Hands, Shoulders, Belt, Body				yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Asura's Akashic Bands	Shoulders, Belt	Enhanced, Variant				Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Athame of the Warlock	Hands, Wrists	Chaos, Curse, Dao, Enhanced				Whispers of Immortality	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Atomic Signet	Ring	Fire, Poison, Radiation				Akashic Tales: Tokusatsu	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Aura of Rage	Body	Compulsion, Mind-affecting, Steady	Punish attackers, force enemies to attack you.	The veil's effects are no longer limited per round.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Aura of the Adaptable	Shoulders, Chest	See text	Emulate another veil, change it later for reduced essence capacity.	Imitate bindings of Hands, Feet or Head veils .<br>Chest: Imitate bindings of Hands, Feet, Head, Wrists, Shoulders, Headband or Belt veils.		Stormbound, Pathfinder Compatible; Akashic Staples	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Aurora Lenses	Headband	Acid, Cold, Fire, Electricity, Sonic	Gain bonuses to Spellcraft checks and the ability to counter spells of a single element.	Counter additional elements.		Classes of the Lost Spheres: Zodiac	https://metzo.miraheze.org/wiki/Lunar_Veil_List
Autumn's Decay	Hands, Wrists	Acid, Enhanced	Create an elven branched spear that deals acid damage and reduces the defenses of creatures	Hands: Healing acid damage becomes hard for affected enemies and can now corrode objects and veils too<br>Wrists: Gain Hand's bind effects as well as corrode nearby enemies who took acid damage this round.		Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Autumn's Decay (Retold)	Hands, Wrists	Acid, Enhanced			yes	Akasha Retold — Expanded Core	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Avain's Swordwhip	Hands	Enhanced	Create a weapon that can shift between dueling sword and scorpion whip.	Your swordwhip can pull creatures towards you.		Studio M— November 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Avatar of Light	Head	Good	Gain a holy servant.	Reinforce servant with additional hit dice.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Guru_Veil_List
Avatar of Order	Head	Law, Variant				Akashic Tales: Astradhari's Panoply	https://metzo.miraheze.org/wiki/Guru_Veil_List
Axe of the Hungering One	Wrists	Enhanced, Variant	Conjure an axe that drives you to a hungering rage.	Discern the locations of foes you have damaged.		Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Axiomatic Visage	Body	Law				Akashic Tales: Astradhari's Panoply	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Babau Skin	Body	Acid	Gain acid resistance and creatures that touch you take acid damage.	Gain acid immunity & acid-burst counterattack.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Guru_Veil_List
Balor's Whip	Hands, Wrists	Chaos, Evil, Fire	Create a smoky whip that deals extra damage to good creatures.	Hands: Enhance whip's enclosing.<br>Wrists: Enhance whip's reach, enclosing & grapple range.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Balor's Whip (Enhanced)	Hands, Wrists	Chaos, Enhanced, Evil, Fire				Studio M— February 2021 Compilation; The Soulforge: Content Compendium	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Balor's Whip (Retold)	Hands, Wrists	Chaotic, Enhanced, Evil, Fire			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Band of Adaptability	Ring	Acid, Cold, Electricity, Fire, Sonic, Negative Energy, Positive Energy	Only require 2 hours of sleep, do not need to eat or sleep, gain endure elements, gain resistance to one element of your choice.	Survive in hostile environs such as underwater, outer planes, toxic planets, and the void of space.		Studio M— January 2021 Compilation	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Band of Creation	Ring		Craft mundane items more quickly, repair broken items, and restore suppressed veils.	Gain a crafting feat, craft magical items more quickly, gain fabricate.		Studio M— January 2021 Compilation	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Band of Destruction	Ring		Gain a magical sunder attack that ignores most hardness.	Sundered veils are suppressed for longer, sunder spells and magical effects.		Studio M— January 2021 Compilation	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Band of Disruption	Ring		Gain a bonus to identify spells and veils, counter spells and veils.	You may rebound countered spells and veils upon their originator.		Studio M— January 2021 Compilation	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Band of Fortune	Ring		Roll a second d20 whenever you or an enemy rolls, use whichever die you wish.	Grant bonuses when you or your allies roll a natural 20, bestow penalties when enemies roll a natural 1.		Studio M— January 2021 Compilation	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Band of Trickery	Ring	Figment, Teleportation	Teleport, leave behind an illusory duplicate, and become invisible.	Teleport as an immediate action.		Studio M— January 2021 Compilation	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Bandolier of Warping	Belt	Teleportation	Recall weapons to your belt.	Melee weapons attached to the belt can be thrown, thrown weapons deal more damage and ignore cover.		Studio M— June 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Bandolier of Warping (Akasha Retold)	Belt	Teleportation			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Bandolier of the Catalyzer	Belt, Wrists	Variant				Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Bands of Binding Ice	Wrists, Body	Cold, Mind-affecting	Summon walls of ice.	Wrists: Contain creature in ice.<br>Body: Contain creature or self in ice.		Studio M— December 2020 Compilation	https://metzo.miraheze.org/wiki/Nexus_Veil_List
Bands of the Essencebonder	Wrists, Belt	Variant				Expanded Akasha: Variant Arsenal 2	https://metzo.miraheze.org/wiki/Nexus_Veil_List
Bands of the Void	Wrists, Belt	Teleportation	Teleport creatures and objects to you.	Wrists: Conjure extradimensional space.<br>Belt: Conjure temporally-flexible extradimensional space.		Stormbound, Pathfinder Compatible; Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Bands of the Void (Retold)	Wrists, Belt	Teleportation			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Bane of the Unfaithful	Body	Light, Variant	Foes in your aura take a penalty to attack, damage, and Wisdom skills.	Foes in your aura are slowed.		The Tome of Veils	https://metzo.miraheze.org/wiki/Guru_Veil_List
Banelight Vortices	Hands	Light	Launch glittering attacks that deal extra damage to undead and creatures vulnerable to light.	Attack multiple targets.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Banelight Vortices (Retold)	Hands	Light			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Guru_Veil_List
Bangle of Barriers	Ring	Force	Gain a shield bonus to AC, create a bubble of force.	Expand the radius of your bubble.		Studio M— January 2021 Compilation	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Bangles of Orbiting	Hands, Wrists	Variant	Use telekinesis to throw objects or orbit them around you.	Hands: Wield orbiting weapons, shields, and objects.<br>Wrists: Benefits of the Hands bind and increases range.		Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Bangles of Time Casting	Wrists, Belt	Time				Expanded Akasha — Timely Cunning	https://metzo.miraheze.org/wiki/Guru_Veil_List
Bangles of the Jealous Seductress	Wrists	Mind-affecting	Gain an aura that fascinates foes.	Cut down the de-impressed.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Bangles of the Jealous Seductress (Retold)	Wrists	Compulsion, Mind-affecting			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Barrier Belt	Belt	Force	Create a wall.	Place an additional wall.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Guru_Veil_List
Barrier Belt (Retold)	Belt	Force			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Barrier of Blood	Blood, Body		Gain temp HP equal to half the damage you take.	Blood: Remove temp HP to heal.<br>Body: Gain Blood bind effect.		The Tome of Veils	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Barrier of Blood (Retold)	Blood, Body				yes	Akasha Retold: Daevic; Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Battered Vow	Hands, Wrists	Dao, Enhanced				Whispers of Immortality	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Beastblood Transformation	Blood	Polymorph	Transform into a lycanthropic hybrid creature.	Increase your bonuses while in hybrid form and fully transform into an animal.		Studio M— January 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Beastblood Transformation (Akasha Retold)	Blood	Polymorph			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Beastmaster's Glove	Hands	Steady	Grants a small ‘familiar', improves Handle Animal.	Your creature gains bonuses depending on your Handle Animal skill.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Beastshape Beads	Hands, Neck	Enhanced	Grow two claw attacks that allow you to make a minor rend attack.	Hands: Make two claw attacks as a standard action.<br>Neck: Gain Hands bind, gain a bite attack and use your claws and bite for iterative attacks.		The Soulforge: Spirit of a Hero	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Behemoth Hide	Body		Gain DR/Piercing.	Count as two sizes larger.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Behemoth Hide (Retold)	Shoulders, Body				yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Behemoth's Flesh	Chest	Fleshwarp	Count as one size larger for combat maneuvers, deal damage on bull rush and overrun.	Increase your size by one category, gain bonuses to your ability scores.		Eldritch Essences: Promethean	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Belt of Woven Gold	Belt	Conjuration, Good, Light, Teleportation	Teleport through bright light.	Expand teleport range & counter-teleport melee attackers.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Belt of Woven Gold (Retold)	Belt	Conjuration, Good, Light, Teleportation			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Belts of the Ascetic Warrior	Hands, Headband, Belt	Variant				Expanded Akasha: Variant Arsenal 2	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Bifrost Boots	Feet	Conjuration	Create a magical bridge as you walk.	Grant deflection bonus & unthreatened movement to bridge-walkers.		Akashic Realms Volume 1: Emperors & Einherjar	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Bifrost Boots (Retold)	Feet	Conjuration, Light			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Bindings of Elemental Fury	Wrists, Headband, Chest	Acid, Cold, Electricity, Fire				Expanded Akasha: Variant Arsenal 2	https://metzo.miraheze.org/wiki/Nexus_Veil_List
Bindings of the Goddess	Special		Shape into multiple slots, gain ribbon attacks that inflict various penalties based on the slots used.	Bind into multiple slots, restrict your abilities but gain new abilities to replace them		The Tome of Veils	https://metzo.miraheze.org/wiki/Huay_Veil_List
Bindings of the Immortal	Body		Become resistant to death.	Become protected from death once per day.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Bindings of the Obliged	Wrists	Force				City of Seven Seraphs	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Bioelectric Field Amplifier	Shoulders	Electricity, Fleshwarp				Akashic Tales: Tokusatsu	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Bitter Priestess's Collar	Neck, Shoulders	Darkness, Necromancy, Variant				Mysterious Classes: Aghori	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Black Hat of the Witch	Head, Headband	Divination, Familiar, Summoning	Gain a cat familiar.	Head: Your cat can hold and deliver your veil effects.<br>Headband: Gain Head bind, share senses with your cat.		Studio M— April 2021 Compilation	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Black Hat of the Witch (Akasha Retold)	Head, Headband	Divination, Familiar, Summoning			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Black Iron Cannon	Hands	Steady	Gain a cannon that you can bludgeon people with and fire.	Hold more cannonballs, cannonballs deal splash damage.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Black Veil	Headband		Blind yourself to see beyond sight.	You are no longer flat-footed against attacks outside your range and can detect etheral creatures.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Blackened Gunsword	Hands	Enhanced				Expanded Akasha: Combatants and Corruption	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Blackened Pitchfork	Hands, Wrists	Evil				Akashic Realms Volume 1: Emperors & Einherjar	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Blackened Pitchfork (Enhanced)	Hands, Wrists	Enhanced, Evil	Create a foul trident that sickens creatures on a critical hit.	Hands: Increase threat range, deal more damage to Chaotic or Good foes.<br>Wrists: Gain Hands bind, trap souls & consume to heal.		Studio M— February 2021 Compilation; The Soulforge: Content Compendium	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Blackened Pitchfork (Retold)	Hands, Wrists	Cold, Enhanced, Evil, Fire, Lawful			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Blackfeather Mantle	Shoulders, Neck	Teleportation				Akashic Horrors — Corvid's Coterie	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Blackpowder Spike	Hands	Enhanced, Fire, Variant	Create a lance that also functions as a blunderbuss.	Hold more ammo, increase blunderbuss scatter cone.		Studio M— September 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Blade of Perfect Hypnosis	Chest, Hands, Wrists	Mind-affecting, Pattern				Akashic Tales: Compilation I	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Blade of Perfect Hypnosis (Enhanced)	Chest, Hands, Wrists	Enhanced, Mind-affecting, Pattern				Akashic Tales: Compilation I	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Blade of Stone and Air	Hands	Air, Earth, Enhanced, Steady	Wield the power of stone and air depending on how you hold this bastard sword.	Gain an additional mote when you deal damage.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Blade of the Defiler	Hands	Corrupt, Enhanced				Expanded Akasha: Combatants and Corruption	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Blade of the Mirror Knight	Hands	Enhanced	Reflect attacks with this rapier.	Make a combat maneuver when you deflect an attack.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Bladedancer's Paired Shamshirs	Hands, Feet, Wrists	Enhanced, Paired				Expanded Akasha — Corrupted Souls	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Blademaster's Waltz	Wrists, Shoulders		Make extra attacks when wielding a single weapon.	Wrists: Make even more attacks.<br>Shoulders: Move up to your speed, make an attack against every foe you pass.		The Tome of Veils	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Blades of Bone and Sinew	Hands	Enhanced, Variant				Akashic Horrors — Domains of the Dead	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Blessings of Faith	Body	Light, Variant	Gain an aura that increases allied attack, damage, and Charisma skill checks.	Hasten allies in your aura.		The Tome of Veils	https://metzo.miraheze.org/wiki/Guru_Veil_List
Blight of the Elements	Belt	Acid, Brand, Cold, Electricity, Fire	Reduce the branded creature's energy resistance.	Give the branded creature vulnerability to energy damage.		Akashic Classes: Volur	https://metzo.miraheze.org/wiki/Huay_Veil_List
Blighted Vigor	Hands	Corrupt, Healing				Expanded Akasha: Combatants and Corruption	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Blindman's Folds	Headband	Divination	Gain blindsight.	Gain arcane sight and true seeing.		Studio M— April 2021 Compilation	https://metzo.miraheze.org/wiki/Guru_Veil_List
Blindman's Folds (Akasha Retold)	Headband	Divination			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Blood Rush	Blood		Gain bonuses to movement, attack, AC, and saving throws.	Make a bonus attack when making a full attack.		Studio M— January 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Blood Rush (Retold)	Blood, Belt				yes	Akasha Retold: Daevic; Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Bloodburst Blade	Hands	Enhanced	Create a katana, cause blood to explode from creatures you strike.	The blood explosion increases in severity.		The Tome of Veils	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Bloodburst Blade (Retold)	Hands, Wrists	Enhanced			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
