veil	veil_list
Aether Wire (Akasha Retold)	Guru
Aether Wire (Akasha Retold)	Helmsman
Aether Wire (Akasha Retold)	Kheshig
Aether Wire (Akasha Retold)	Nexus
Aether Wire (Akasha Retold)	Soulforge
Aether Wire (Akasha Retold)	Vizier
Agneyastra	Guru
Agneyastra	Helmsman
Agneyastra	Huay
Agneyastra	Nexus
Agneyastra	Radiant
Agneyastra	Soulforge
Agneyastra	Stormbound
Agneyastra	Vizier
Aila-ku's Mien	Daevic
Aila-ku's Mien	Eclipse
Aila-ku's Mien	Guru
Aila-ku's Mien	Helmsman
Aila-ku's Mien	Huay
Aila-ku's Mien	Kheshig
Aila-ku's Mien	Lunar
Aila-ku's Mien	Nexus
Aila-ku's Mien	Promethean
Aila-ku's Mien	Radiant
Aila-ku's Mien	Soulforge
Aila-ku's Mien	Stormbound
Aila-ku's Mien	Vizier
Aila-ku's Mien	Volur
Airrunner's Step	Eclipse
Airrunner's Step	Guru
Airrunner's Step	Huay
Airrunner's Step	Nexus
Airrunner's Step	Stormbound
Airrunner's Step	Vizier
Airrunner's Step	Volur
Ajna of the Destroyer	Guru
Ajna of the Destroyer	Nexus
Ajna of the Destroyer	Promethean
Ajna of the Guru	Guru
Ajna of the Guru	Huay
Ajna of the Guru	Lunar
Ajna of the Guru	Promethean
Alaia's Sash of Orbits	Daevic
Alaia's Sash of Orbits	Eclipse
Alaia's Sash of Orbits	Helmsman
Alaia's Sash of Orbits	Nexus
Alaia's Sash of Orbits	Promethean
Alaia's Sash of Orbits	Stormbound
Alaia's Sash of Orbits	Vizier
Aldain's Alchemical Armory	Daevic
Aldain's Alchemical Armory	Guru
Aldain's Alchemical Armory	Soulforge
Aldain's Alchemical Armory	Vizier
Alluring Voice	Huay
Alluring Voice	Nexus
Alluring Voice	Promethean
Alluring Voice	Radiant
Alluring Voice	Stormbound
Alluring Voice	Vizier
Alluring Voice	Volur
Alluring Voice (Akasha Retold)	Huay
Alluring Voice (Akasha Retold)	Nexus
Alluring Voice (Akasha Retold)	Promethean
Alluring Voice (Akasha Retold)	Radiant
Alluring Voice (Akasha Retold)	Stormbound
Alluring Voice (Akasha Retold)	Vizier
Alluring Voice (Akasha Retold)	Volur
Almighty Gandiva	Daevic
Almighty Gandiva	Guru
Almighty Gandiva	Kheshig
Almighty Gandiva	Soulforge
An Hourglass, Once Broken, Twice Repaired	Nexus
An Hourglass, Once Broken, Twice Repaired	Promethean
An Hourglass, Once Broken, Twice Repaired	Radiant
An Hourglass, Once Broken, Twice Repaired	Vizier
An Hourglass, Once Broken, Twice Repaired	Volur
Anchoring Roots	Daevic
Anchoring Roots	Huay
Anchoring Roots	Promethean
Anchoring Roots	Stormbound
Anchoring Roots	Vizier
Angel's Feather	Guru
Angel's Feather	Huay
Angel's Feather	Kheshig
Angel's Feather	Lunar
Angelic Wings	Daevic
Angelic Wings	Helmsman
Angelic Wings	Kheshig
Angelic Wings	Lunar
Angelic Wings	Nexus
Angelic Wings	Vizier
Angelic Wings	Volur
Anti-Bag of Rats	Daevic
Anti-Bag of Rats	Eclipse
Anti-Bag of Rats	Guru
Anti-Bag of Rats	Helmsman
Anti-Bag of Rats	Huay
Anti-Bag of Rats	Kheshig
Anti-Bag of Rats	Lunar
Anti-Bag of Rats	Nexus
Anti-Bag of Rats	Promethean
Anti-Bag of Rats	Radiant
Anti-Bag of Rats	Soulforge
Anti-Bag of Rats	Stormbound
Anti-Bag of Rats	Vizier
Anti-Bag of Rats	Volur
Antlers of the Ephemeral Elk	Daevic
Antlers of the Ephemeral Elk	Guru
Antlers of the Ephemeral Elk	Huay
Antlers of the Ephemeral Elk	Nexus
Aphora's Belt of Fire	Guru
Aphora's Belt of Fire	Helmsman
Aphora's Belt of Fire	Huay
Aphora's Belt of Fire	Radiant
Aphora's Belt of Fire	Stormbound
Aphora's Belt of Fire	Vizier
Aphora's Belt of Fire	Volur
Aphos's Blooded Gauntlets	Huay
Aphos's Blooded Gauntlets	Promethean
Aphos's Blooded Gauntlets	Radiant
Aphos's Blooded Gauntlets	Vizier
Aphos's Blooded Gauntlets	Volur
Arachnothorax	Daevic
Arachnothorax	Huay
Arachnothorax	Promethean
Arachnothorax	Stormbound
Architect's Toga	Nexus
Architect's Toga	Promethean
Architect's Toga	Vizier
Arcing Slicers	Daevic
Arcing Slicers	Helmsman
Arcing Slicers	Kheshig
Arcing Slicers	Nexus
Arcing Slicers	Soulforge
Arcing Slicers	Stormbound
Arm of the Void	Daevic
Arm of the Void	Eclipse
Arm of the Void	Nexus
Arm of the Void	Promethean
Armaments of Faith	Daevic
Armaments of Faith	Helmsman
Armaments of Faith	Kheshig
Armaments of Faith	Radiant
Armaments of Faith	Soulforge
Armbands of the Irked Elephant	Daevic
Armbands of the Irked Elephant	Helmsman
Armbands of the Irked Elephant	Huay
Armbands of the Irked Elephant (Retold)	Daevic
Armbands of the Irked Elephant (Retold)	Helmsman
Armbands of the Irked Elephant (Retold)	Huay
Armbands of the Irked Elephant (Retold)	Kheshig
Armbands of the Irked Elephant (Retold)	Stormbound
Armbands of the Irked Elephant (Retold)	Vizier
Armlets of the Shaitan	Huay
Armlets of the Shaitan	Nexus
Armlets of the Shaitan	Stormbound
Armlets of the Shaitan	Vizier
Armlets of the Warmagi	Daevic
Armlets of the Warmagi	Eclipse
Armlets of the Warmagi	Guru
Armlets of the Warmagi	Lunar
Armlets of the Warmagi	Soulforge
Armlets of the Warmagi	Volur
Armlets of the Wrathful Convoker	Daevic
Armlets of the Wrathful Convoker	Guru
Armlets of the Wrathful Convoker	Nexus
Armlets of the Wrathful Convoker	Promethean
Armlets of the Wrathful Convoker	Soulforge
Armlets of the Wrathful Convoker	Stormbound
Armlets of the Wrathful Convoker	Vizier
Armor of Steel and Silk	Daevic
Armor of Steel and Silk	Kheshig
Armory of Tai Lin	Daevic
Armory of Tai Lin	Guru
Armory of the Conqueror	Daevic
Armory of the Conqueror	Helmsman
Armory of the Conqueror (Retold)	Daevic
Armory of the Conqueror (Retold)	Helmsman
Armory of the Conqueror (Retold)	Kheshig
Armory of the Conqueror (Retold)	Stormbound
Armory of the Conqueror (Spheres of Akasha)	Daevic
Armory of the Conqueror (Spheres of Akasha)	Helmsman
Ashen Blessing	Guru
Ashen Blessing	Huay
Ashen Blessing	Nexus
Ashen Blessing	Radiant
Ashen Blessing	Vizier
Ashen Blessing	Volur
Aspect of Red Sun	Daevic
Aspect of the Fae Realms	Huay
Aspect of the Fae Realms	Nexus
Aspect of the Fae Realms	Promethean
Aspect of the Fae Realms	Stormbound
Aspect of the Fae Realms	Vizier
Aspect of the Fae Realms	Volur
Assassin's Fervor	Eclipse
Assassin's Fervor	Guru
Assassin's Fervor	Promethean
Assassin's Fervor	Vizier
Assassin's Magekillers	Daevic
Assassin's Magekillers	Eclipse
Assassin's Magekillers	Helmsman
Assassin's Magekillers	Kheshig
Assassin's Magekillers	Soulforge
Assassin's Magekillers	Stormbound
Astral Presence	Promethean
Astral Presence	Radiant
Astral Presence	Vizier
Astral Presence	Volur
Astral Pugilism	Daevic
Astral Pugilism	Guru
Astral Pugilism	Helmsman
Astral Pugilism	Lunar
Astral Pugilism	Nexus
Astral Pugilism	Soulforge
Astral Pugilism	Stormbound
Astral Pugilism (Retold)	Daevic
Astral Pugilism (Retold)	Guru
Astral Pugilism (Retold)	Helmsman
Astral Pugilism (Retold)	Kheshig
Astral Pugilism (Retold)	Lunar
Astral Pugilism (Retold)	Nexus
Astral Pugilism (Retold)	Soulforge
Astral Pugilism (Retold)	Stormbound
Astral Pugilism (Retold)	Vizier
Asura's Akashic Bands	Daevic
Asura's Akashic Bands	Guru
Asura's Akashic Bands	Kheshig
Asura's Akashic Bands	Promethean
Athame of the Warlock	Daevic
Athame of the Warlock	Eclipse
Athame of the Warlock	Kheshig
Athame of the Warlock	Nexus
Athame of the Warlock	Promethean
Athame of the Warlock	Soulforge
Athame of the Warlock	Vizier
Athame of the Warlock	Volur
Atomic Signet	Vizier
Aura of Rage	Daevic
Aura of Rage	Kheshig
Aura of Rage	Promethean
Aura of the Adaptable	Helmsman
Aura of the Adaptable	Promethean
Aura of the Adaptable	Stormbound
Aura of the Adaptable	Vizier
Aura of the Adaptable	Volur
Aurora Lenses	Lunar
Aurora Lenses	Radiant
Aurora Lenses	Vizier
Aurora Lenses	Volur
Autumn's Decay	Daevic
Autumn's Decay	Huay
Autumn's Decay	Nexus
Autumn's Decay	Soulforge
Autumn's Decay	Stormbound
Autumn's Decay (Retold)	Daevic
Autumn's Decay (Retold)	Huay
Autumn's Decay (Retold)	Kheshig
Autumn's Decay (Retold)	Nexus
Autumn's Decay (Retold)	Soulforge
Autumn's Decay (Retold)	Stormbound
Autumn's Decay (Retold)	Vizier
Avain's Swordwhip	Daevic
Avain's Swordwhip	Helmsman
Avain's Swordwhip	Kheshig
Avain's Swordwhip	Soulforge
Avain's Swordwhip	Stormbound
Avatar of Light	Guru
Avatar of Light	Lunar
Avatar of Light	Nexus
Avatar of Light	Radiant
Avatar of Light	Vizier
Avatar of Order	Guru
Avatar of Order	Lunar
Avatar of Order	Nexus
Avatar of Order	Radiant
Avatar of Order	Vizier
Axe of the Hungering One	Daevic
Axe of the Hungering One	Kheshig
Axe of the Hungering One	Soulforge
Axiomatic Visage	Daevic
Axiomatic Visage	Helmsman
Axiomatic Visage	Nexus
Axiomatic Visage	Vizier
Babau Skin	Guru
Babau Skin	Helmsman
Babau Skin	Huay
Babau Skin	Nexus
Babau Skin	Promethean
Babau Skin	Vizier
Balor's Whip	Daevic
Balor's Whip	Helmsman
Balor's Whip	Nexus
Balor's Whip	Vizier
Balor's Whip (Enhanced)	Daevic
Balor's Whip (Enhanced)	Helmsman
Balor's Whip (Enhanced)	Nexus
Balor's Whip (Enhanced)	Soulforge
Balor's Whip (Enhanced)	Vizier
Balor's Whip (Retold)	Daevic
Balor's Whip (Retold)	Helmsman
Balor's Whip (Retold)	Nexus
Balor's Whip (Retold)	Soulforge
Balor's Whip (Retold)	Vizier
Band of Adaptability	Vizier
Band of Creation	Vizier
Band of Destruction	Vizier
Band of Disruption	Vizier
Band of Fortune	Vizier
Band of Trickery	Vizier
Bandolier of Warping	Daevic
Bandolier of Warping	Eclipse
Bandolier of Warping	Guru
Bandolier of Warping	Kheshig
Bandolier of Warping	Stormbound
Bandolier of Warping	Vizier
Bandolier of Warping (Akasha Retold)	Daevic
Bandolier of Warping (Akasha Retold)	Eclipse
Bandolier of Warping (Akasha Retold)	Guru
Bandolier of Warping (Akasha Retold)	Kheshig
Bandolier of Warping (Akasha Retold)	Stormbound
Bandolier of Warping (Akasha Retold)	Vizier
Bandolier of the Catalyzer	Daevic
Bandolier of the Catalyzer	Guru
Bandolier of the Catalyzer	Helmsman
Bandolier of the Catalyzer	Nexus
Bandolier of the Catalyzer	Soulforge
Bandolier of the Catalyzer	Stormbound
Bandolier of the Catalyzer	Vizier
Bands of Binding Ice	Nexus
Bands of Binding Ice	Radiant
Bands of Binding Ice	Stormbound
Bands of Binding Ice	Vizier
Bands of Binding Ice	Volur
Bands of the Essencebonder	Nexus
Bands of the Essencebonder	Promethean
Bands of the Essencebonder	Vizier
Bands of the Void	Daevic
Bands of the Void	Helmsman
Bands of the Void	Nexus
Bands of the Void	Promethean
Bands of the Void	Stormbound
Bands of the Void	Vizier
Bands of the Void	Volur
Bands of the Void (Retold)	Daevic
Bands of the Void (Retold)	Helmsman
Bands of the Void (Retold)	Nexus
Bands of the Void (Retold)	Promethean
Bands of the Void (Retold)	Stormbound
Bands of the Void (Retold)	Vizier
Bands of the Void (Retold)	Volur
Bane of the Unfaithful	Guru
Bane of the Unfaithful	Nexus
Bane of the Unfaithful	Vizier
Bane of the Unfaithful	Volur
Banelight Vortices	Helmsman
Banelight Vortices	Radiant
Banelight Vortices	Stormbound
Banelight Vortices	Vizier
Banelight Vortices (Retold)	Guru
Banelight Vortices (Retold)	Helmsman
Banelight Vortices (Retold)	Radiant
Banelight Vortices (Retold)	Stormbound
Banelight Vortices (Retold)	Vizier
Bangle of Barriers	Vizier
Bangles of Orbiting	Eclipse
Bangles of Orbiting	Helmsman
Bangles of Orbiting	Nexus
Bangles of Orbiting	Promethean
Bangles of Orbiting	Vizier
Bangles of Time Casting	Guru
Bangles of Time Casting	Helmsman
Bangles of Time Casting	Nexus
Bangles of Time Casting	Promethean
Bangles of Time Casting	Vizier
Bangles of the Jealous Seductress	Daevic
Bangles of the Jealous Seductress	Eclipse
Bangles of the Jealous Seductress	Vizier
Bangles of the Jealous Seductress (Retold)	Daevic
Bangles of the Jealous Seductress (Retold)	Eclipse
Bangles of the Jealous Seductress (Retold)	Vizier
Barrier Belt	Guru
Barrier Belt	Helmsman
Barrier Belt	Kheshig
Barrier Belt	Lunar
Barrier Belt	Nexus
Barrier Belt	Promethean
Barrier Belt	Radiant
Barrier Belt	Vizier
Barrier Belt (Retold)	Daevic
Barrier Belt (Retold)	Guru
Barrier Belt (Retold)	Helmsman
Barrier Belt (Retold)	Kheshig
Barrier Belt (Retold)	Lunar
Barrier Belt (Retold)	Nexus
Barrier Belt (Retold)	Promethean
Barrier Belt (Retold)	Radiant
Barrier Belt (Retold)	Vizier
Barrier of Blood	Daevic
Barrier of Blood	Guru
Barrier of Blood	Huay
Barrier of Blood	Kheshig
Barrier of Blood	Promethean
Barrier of Blood	Radiant
Barrier of Blood	Volur
Barrier of Blood (Retold)	Daevic
Barrier of Blood (Retold)	Guru
Barrier of Blood (Retold)	Huay
Barrier of Blood (Retold)	Kheshig
Barrier of Blood (Retold)	Promethean
Barrier of Blood (Retold)	Radiant
Barrier of Blood (Retold)	Volur
Battered Vow	Daevic
Battered Vow	Guru
Battered Vow	Kheshig
Battered Vow	Radiant
Battered Vow	Soulforge
Beastblood Transformation	Daevic
Beastblood Transformation (Akasha Retold)	Daevic
Beastmaster's Glove	Daevic
Beastmaster's Glove	Huay
Beastmaster's Glove	Kheshig
Beastmaster's Glove	Radiant
Beastmaster's Glove	Volur
Beastshape Beads	Daevic
Beastshape Beads	Nexus
Beastshape Beads	Promethean
Beastshape Beads	Soulforge
Beastshape Beads	Stormbound
Behemoth Hide	Daevic
Behemoth Hide	Huay
Behemoth Hide (Retold)	Daevic
Behemoth Hide (Retold)	Huay
Behemoth Hide (Retold)	Promethean
Behemoth Hide (Retold)	Stormbound
Behemoth's Flesh	Daevic
Behemoth's Flesh	Huay
Behemoth's Flesh	Promethean
Belt of Woven Gold	Daevic
Belt of Woven Gold	Guru
Belt of Woven Gold	Helmsman
Belt of Woven Gold	Nexus
Belt of Woven Gold	Radiant
Belt of Woven Gold	Vizier
Belt of Woven Gold (Retold)	Daevic
Belt of Woven Gold (Retold)	Guru
Belt of Woven Gold (Retold)	Helmsman
Belt of Woven Gold (Retold)	Nexus
Belt of Woven Gold (Retold)	Radiant
Belt of Woven Gold (Retold)	Vizier
Belts of the Ascetic Warrior	Daevic
Belts of the Ascetic Warrior	Guru
Belts of the Ascetic Warrior	Kheshig
Belts of the Ascetic Warrior	Radiant
Belts of the Ascetic Warrior	Stormbound
Belts of the Ascetic Warrior	Vizier
Bifrost Boots	Daevic
Bifrost Boots	Guru
Bifrost Boots	Helmsman
Bifrost Boots	Lunar
Bifrost Boots	Nexus
Bifrost Boots	Stormbound
Bifrost Boots	Vizier
Bifrost Boots	Volur
Bifrost Boots (Retold)	Daevic
Bifrost Boots (Retold)	Guru
Bifrost Boots (Retold)	Helmsman
Bifrost Boots (Retold)	Lunar
Bifrost Boots (Retold)	Nexus
Bifrost Boots (Retold)	Radiant
Bifrost Boots (Retold)	Stormbound
Bifrost Boots (Retold)	Vizier
Bifrost Boots (Retold)	Volur
Bindings of Elemental Fury	Nexus
Bindings of Elemental Fury	Stormbound
Bindings of Elemental Fury	Vizier
Bindings of the Goddess	Huay
Bindings of the Goddess	Nexus
Bindings of the Goddess	Promethean
Bindings of the Goddess	Radiant
Bindings of the Goddess	Stormbound
Bindings of the Goddess	Vizier
Bindings of the Goddess	Volur
Bindings of the Immortal	Daevic
Bindings of the Immortal	Helmsman
Bindings of the Immortal	Huay
Bindings of the Immortal	Kheshig
Bindings of the Immortal	Promethean
Bindings of the Immortal	Radiant
Bindings of the Obliged	Eclipse
Bindings of the Obliged	Nexus
Bindings of the Obliged	Vizier
Bioelectric Field Amplifier	Daevic
Bioelectric Field Amplifier	Guru
Bioelectric Field Amplifier	Helmsman
Bioelectric Field Amplifier	Kheshig
Bioelectric Field Amplifier	Nexus
Bioelectric Field Amplifier	Promethean
Bioelectric Field Amplifier	Soulforge
Bioelectric Field Amplifier	Stormbound
Bioelectric Field Amplifier	Vizier
Bitter Priestess's Collar	Eclipse
Bitter Priestess's Collar	Huay
Bitter Priestess's Collar	Vizier
Bitter Priestess's Collar	Volur
Black Hat of the Witch	Eclipse
Black Hat of the Witch	Huay
Black Hat of the Witch	Nexus
Black Hat of the Witch	Promethean
Black Hat of the Witch	Radiant
Black Hat of the Witch	Stormbound
Black Hat of the Witch	Vizier
Black Hat of the Witch	Volur
Black Hat of the Witch (Akasha Retold)	Eclipse
Black Hat of the Witch (Akasha Retold)	Huay
Black Hat of the Witch (Akasha Retold)	Lunar
Black Hat of the Witch (Akasha Retold)	Nexus
Black Hat of the Witch (Akasha Retold)	Promethean
Black Hat of the Witch (Akasha Retold)	Radiant
Black Hat of the Witch (Akasha Retold)	Stormbound
Black Hat of the Witch (Akasha Retold)	Vizier
Black Hat of the Witch (Akasha Retold)	Volur
Black Iron Cannon	Daevic
Black Iron Cannon	Helmsman
Black Iron Cannon	Kheshig
Black Iron Cannon	Soulforge
Black Veil	Daevic
Black Veil	Eclipse
Black Veil	Guru
Black Veil	Kheshig
Black Veil	Lunar
Black Veil	Promethean
Black Veil	Volur
Blackened Gunsword	Daevic
Blackened Gunsword	Helmsman
Blackened Gunsword	Kheshig
Blackened Gunsword	Soulforge
Blackened Pitchfork	Daevic
Blackened Pitchfork	Helmsman
Blackened Pitchfork	Nexus
Blackened Pitchfork	Vizier
Blackened Pitchfork (Enhanced)	Daevic
Blackened Pitchfork (Enhanced)	Helmsman
Blackened Pitchfork (Enhanced)	Nexus
Blackened Pitchfork (Enhanced)	Soulforge
Blackened Pitchfork (Enhanced)	Vizier
Blackened Pitchfork (Retold)	Daevic
Blackened Pitchfork (Retold)	Helmsman
Blackened Pitchfork (Retold)	Nexus
Blackened Pitchfork (Retold)	Soulforge
Blackened Pitchfork (Retold)	Vizier
Blackfeather Mantle	Eclipse
Blackfeather Mantle	Guru
Blackfeather Mantle	Huay
Blackfeather Mantle	Nexus
Blackfeather Mantle	Promethean
Blackfeather Mantle	Stormbound
Blackfeather Mantle	Vizier
Blackfeather Mantle	Volur
Blackpowder Spike	Daevic
Blackpowder Spike	Helmsman
Blackpowder Spike	Kheshig
Blackpowder Spike	Soulforge
Blade of Perfect Hypnosis	Daevic
Blade of Perfect Hypnosis	Eclipse
Blade of Perfect Hypnosis	Nexus
Blade of Perfect Hypnosis	Vizier
Blade of Perfect Hypnosis (Enhanced)	Daevic
Blade of Perfect Hypnosis (Enhanced)	Eclipse
Blade of Perfect Hypnosis (Enhanced)	Nexus
Blade of Perfect Hypnosis (Enhanced)	Vizier
Blade of Stone and Air	Daevic
Blade of Stone and Air	Guru
Blade of Stone and Air	Helmsman
Blade of Stone and Air	Huay
Blade of Stone and Air	Kheshig
Blade of Stone and Air	Lunar
Blade of Stone and Air	Stormbound
Blade of the Defiler	Daevic
Blade of the Defiler	Eclipse
Blade of the Defiler	Helmsman
Blade of the Defiler	Kheshig
Blade of the Defiler	Nexus
Blade of the Defiler	Soulforge
Blade of the Defiler	Vizier
Blade of the Mirror Knight	Eclipse
Blade of the Mirror Knight	Guru
Blade of the Mirror Knight	Helmsman
Blade of the Mirror Knight	Kheshig
Blade of the Mirror Knight	Lunar
Bladedancer's Paired Shamshirs	Daevic
Bladedancer's Paired Shamshirs	Eclipse
Bladedancer's Paired Shamshirs	Guru
Bladedancer's Paired Shamshirs	Helmsman
Bladedancer's Paired Shamshirs	Huay
Bladedancer's Paired Shamshirs	Kheshig
Bladedancer's Paired Shamshirs	Soulforge
Bladedancer's Paired Shamshirs	Stormbound
Bladedancer's Paired Shamshirs	Vizier
Blademaster's Waltz	Daevic
Blademaster's Waltz	Eclipse
Blademaster's Waltz	Helmsman
Blademaster's Waltz	Kheshig
Blademaster's Waltz	Nexus
Blademaster's Waltz	Stormbound
Blades of Bone and Sinew	Daevic
Blades of Bone and Sinew	Eclipse
Blades of Bone and Sinew	Guru
Blades of Bone and Sinew	Huay
Blades of Bone and Sinew	Kheshig
Blades of Bone and Sinew	Nexus
Blades of Bone and Sinew	Soulforge
Blades of Bone and Sinew	Stormbound
Blessings of Faith	Guru
Blessings of Faith	Nexus
Blessings of Faith	Radiant
Blessings of Faith	Vizier
Blight of the Elements	Huay
Blight of the Elements	Nexus
Blight of the Elements	Stormbound
Blight of the Elements	Vizier
Blight of the Elements	Volur
Blighted Vigor	Eclipse
Blighted Vigor	Guru
Blighted Vigor	Nexus
Blighted Vigor	Promethean
Blighted Vigor	Vizier
Blighted Vigor	Volur
Blindman's Folds	Guru
Blindman's Folds	Huay
Blindman's Folds	Kheshig
Blindman's Folds	Nexus
Blindman's Folds	Promethean
Blindman's Folds	Radiant
Blindman's Folds	Stormbound
Blindman's Folds	Vizier
Blindman's Folds	Volur
Blindman's Folds (Akasha Retold)	Daevic
Blindman's Folds (Akasha Retold)	Eclipse
Blindman's Folds (Akasha Retold)	Guru
Blindman's Folds (Akasha Retold)	Helmsman
Blindman's Folds (Akasha Retold)	Huay
Blindman's Folds (Akasha Retold)	Kheshig
Blindman's Folds (Akasha Retold)	Lunar
Blindman's Folds (Akasha Retold)	Nexus
Blindman's Folds (Akasha Retold)	Promethean
Blindman's Folds (Akasha Retold)	Radiant
Blindman's Folds (Akasha Retold)	Rajah
Blindman's Folds (Akasha Retold)	Soulforge
Blindman's Folds (Akasha Retold)	Stormbound
Blindman's Folds (Akasha Retold)	Vizier
Blindman's Folds (Akasha Retold)	Volur
Blood Rush	Daevic
Blood Rush (Retold)	Daevic
Blood Rush (Retold)	Eclipse
Blood Rush (Retold)	Kheshig
Blood Rush (Retold)	Promethean
Bloodburst Blade	Daevic
Bloodburst Blade	Eclipse
Bloodburst Blade	Helmsman
Bloodburst Blade	Kheshig
Bloodburst Blade	Soulforge
Bloodburst Blade	Stormbound
Bloodburst Blade (Retold)	Daevic
Bloodburst Blade (Retold)	Eclipse
Bloodburst Blade (Retold)	Helmsman
Bloodburst Blade (Retold)	Kheshig
Bloodburst Blade (Retold)	Nexus
Bloodburst Blade (Retold)	Soulforge
Bloodburst Blade (Retold)	Stormbound
Bloodburst Blade (Retold)	Vizier
Bloodburst Transmission	Daevic
Bloodburst Transmission	Promethean
Bloodburst Transmission	Vizier
Bloodeater's Belt	Daevic
Bloodeater's Belt	Guru
Bloodeater's Belt	Helmsman
Bloodeater's Belt	Huay
Bloodeater's Belt	Kheshig
Bloodeater's Belt	Nexus
Bloodeater's Belt	Promethean
Bloodeater's Belt	Vizier
Bloodsense	Daevic
Bloodsense (Retold)	Daevic
Bloodsense (Retold)	Promethean
Bloodsense (Retold)	Radiant
Bloodsense (Retold)	Vizier
Bloodsense (Retold)	Volur
Bloodtinged Talismans	Daevic
Bloodtinged Talismans	Eclipse
Bloodtinged Talismans	Guru
Bloodtinged Talismans	Nexus
Bloodtinged Talismans	Promethean
Bloodtinged Talismans	Radiant
Bloodtinged Talismans	Vizier
Bloodvine Embrace	Huay
Bloodvine Embrace	Nexus
Bloodvine Embrace	Promethean
Bloodvine Embrace	Radiant
Bloodvine Embrace	Stormbound
Bloodvine Embrace	Vizier
Bloodvine Embrace	Volur
Bloody Armory	Daevic
Bloody Armory	Promethean
Bloody Armory	Soulforge
Bloody Armory	Stormbound
Bloody Armory	Vizier
Bloody Shroud	Daevic
Bloody Shroud	Helmsman
Bloody Shroud	Kheshig
Bloody Shroud	Promethean
Bloody Shroud	Vizier
Bloody Shroud (Retold)	Daevic
Bloody Shroud (Retold)	Helmsman
Bloody Shroud (Retold)	Kheshig
Bloody Shroud (Retold)	Promethean
Bloody Shroud (Retold)	Vizier
Boatman's Ferry	Helmsman
Boatman's Ferry	Lunar
Boatman's Ferry	Nexus
Boatman's Ferry	Vizier
Body of Magic	Eclipse
Body of Magic	Helmsman
Body of Magic	Huay
Body of Magic	Kheshig
Body of Magic	Lunar
Body of Magic	Nexus
Body of Magic	Promethean
Body of Magic	Stormbound
Body of Magic	Vizier
Body of Magic	Volur
Bonds of Freedom	Daevic
Bonds of Freedom	Eclipse
Bonds of Freedom	Guru
Bonds of Freedom	Helmsman
Bonds of Freedom	Huay
Bonds of Freedom	Kheshig
Bonds of Freedom	Lunar
Bonds of Freedom	Nexus
Bonds of Freedom	Promethean
Bonds of Freedom	Radiant
Bonds of Freedom	Soulforge
Bonds of Freedom	Stormbound
Bonds of Freedom	Vizier
Bonds of Freedom	Volur
Boneforged Circlet	Nexus
Boneforged Circlet	Promethean
Boneforged Circlet	Vizier
Boneforged Circlet	Volur
Boneplate Vambraces	Daevic
Boneplate Vambraces	Guru
Boneplate Vambraces	Kheshig
Boneplate Vambraces	Promethean
Boneplate Vambraces	Stormbound
