name	type	system	prerequisites	benefit	normal	special	source	url
Armory (Companion)	Companion	spheres	Conjuration sphere (Battle Creature (form)).	A companion that possesses the Battle Creature (form) talent appears with one additional weapon, +1 per 4 caster levels. These weapons function like the original ones.			Spheres of Power/Might (Drop Dead Studios)	
Companion Concentration (Companion)	Companion	spheres	Conjuration sphere.	When you choose to concentrate on a sphere effect, as a swift action you may pass concentration on that sphere effect to your companion within close range (based on your Conjuration caster level). You must have line of effect to the companion to do so. As long as the companion remains within close range, you may resume concentrating on the effect at any time as a swift action. A companion may not concentrate to maintain the effect that summoned it, nor on any effect to which it lacks line of effect. If the companion leaves close range, it may continue to concentrate on the effect, but you may not resume concentrating on it yourself. A mindless companion may not assume concentration of a sphere effect. Treat the companion’s Hit Dice as levels in a caster class for determining its bonus on concentration checks. If the companion does not have a casting ability modifier, use its Charisma to determine its concentration check bonus.			Spheres of Power/Might (Drop Dead Studios)	
Greater Earth Creature (Companion)	Companion	spheres	Conjuration sphere (Earth Creature (form)), caster level 5th.	Your companion gains the earth glide ability.<br><br>Earth Glide (Ex): When the creature burrows, it can pass through stone, dirt, or almost any other sort of earth except metal as easily as a fish swims through water. If protected against fire damage, it can even glide through lava. Its burrowing leaves behind no tunnel or hole, nor does it create any ripple or other sign of its presence. A move earth spell or the Forge Earth ability of the Nature spherecast on an area containing the burrowing creature flings it back 30 feet, stunning it for 1 round unless it succeeds on a DC 15 Fortitude save.			Spheres of Power/Might (Drop Dead Studios)	
Hungry (Combat, Companion)	Combat, Companion	spheres	Ravenous Companion, caster level 10th.	When your companion is grappling a creature, it may attempt to use its swallow whole ability as a free action. It gains a +2 competence bonus to CMB and CMD to make and resist grapple checks relating to the swallow whole ability.			Spheres of Power/Might (Drop Dead Studios)	
Manifestation (Companion)	Companion	spheres	Conjuration sphere (Shadow Creature (form)).	Your companion may manifest itself as a move action. While manifested, your companion takes full damage from attacks and magic originating from corporeal creatures and deals full damage with its attacks and magic against corporeal creatures. This does not affect your companion’s ability to deal damage to and receive damage from incorporeal creatures. Your companion may end this effect as a move action.			Spheres of Power/Might (Drop Dead Studios)	
Spell Channel (Companion)	Companion	spheres	Conjuration sphere (Spell Conduit).	Your ability to channel spells through your companion is expanded. While your companion is within range of your Spell Conduit ability, you can treat it as the point of origin for any spell that you cast.			Spheres Apocrypha: Cohorts & Companions [Apoc]	
Variable Armaments (Companion)	Companion	spheres	Conjuration sphere (Battle Creature (form) or Shield Bearer (form)), companion with 6 or more Hit Dice.	A companion that possesses Battle Creature or Shield Bearer may substitute the enhancement bonus to its weapons and shields granted by those talents for weapon and shield special abilities available per the armorist bound equipment table. The weapon or shield must maintain at least a +1 enhancement bonus. Changing the selected special abilities requires an 8 hour ritual.			Spheres of Power/Might (Drop Dead Studios)	
Variable Size (Companion)	Companion	spheres	Conjuration sphere (Altered Size (form)).	As a standard action, you may suppress your companion’s Altered Size talent and Greater Altered Size advanced talent. The talent remains suppressed until you end this effect as a free action. Your companion must be within close range to begin or end this effect.			Spheres of Power/Might (Drop Dead Studios)	
Venomous Blood (Companion)	Companion	spheres	Conjuration sphere (Monstrous Attacks (form) with poison option).	Any creature that confirms a critical hit against your companion with a piercing or slashing melee weapon is sprayed with its poison (treat the poison as a contact poison for this application). Melee weapons with reach do not endanger their users in this way.<br><br>Additionally, your companion can apply its poison to a weapon or natural attack by dipping it in its own blood as a swift action. This requires dealing 1d4 damage to itself as part of the swift action unless the companion suffers from an ongoing bleed effect or is below half its maximum hit points.			Spheres of Power/Might (Drop Dead Studios)	
Venomous Focus (Companion)	Companion	spheres	Conjuration sphere (Monstrous Attacks (form) with poison option).	Your companion gains a +1 bonus to the DC of its poison, increasing by +1 at 5 Hit Dice and every 5 Hit Dice thereafter, and the cure now requires an additional save.			Spheres of Power/Might (Drop Dead Studios)	
Venomous Spit (Companion)	Companion	spheres	Conjuration sphere (Monstrous Attacks (form) with poison option).	Your companion may spit its poison as a ranged touch attack with a range of 20 feet. Treat the poison as a contact poison for this feat.			Spheres of Power/Might (Drop Dead Studios)	
Watchful Companion (Companion)	Companion	spheres	Conjuration sphere (Greater Summoning, Lingering Companion (form)).	When summoned for 1 day, your companion does not disappear when you rest to regain spell points. When the 1 day duration is complete, you may pay the summoning cost again even when unconscious to renew the duration of the summon without your companion disappearing. Your companion may choose to wake you up as a free action as long as it is within long range.			Spheres of Power/Might (Drop Dead Studios)	
Web Exemplar (Companion)	Companion	spheres	Conjuration sphere (Web Spinner (form)).	Your companion may use its web ability a number of times per minute equal to its Constitution modifier. Additionally, as a full-round action, your companion may render a creature that is entangled by its web and within its reach helpless. Such a creature counts as being tied up, increasing the DC to escape to 20 + 1/2 of the companion’s Hit Dice + Constitution modifier. The helpless creature may still attempt Strength and Escape Artist checks to free themselves as normal.<br><br>Companion feats can be taken either by a Conjuration sphere companion or by a caster with the Conjuration sphere. If taken by the caster, the feat only applies to a single companion that qualifies for it, but may be taken multiple times. The feat may not be reassigned to a different companion for as long as the chosen companion is in your service. The effects do not stack unless noted, each time one is taken it applies to a different companion. If taken by a companion, they may only be taken once unless noted. Any caster level prerequisite must be met by the caster.<br><br>Armory [Companion]<br><br>Prerequisites: Conjuration sphere, Battle Creature.<br><br>Benefit: A companion that possesses the Battle Creature (form) talent appears with one additional weapon, +1 per 4 caster levels.<br><br>Companion Concentration [Companion]<br><br>Prerequisites: Conjuration sphere.<br><br>Benefit: When you choose to concentrate on a sphere effect, as a swift action you may pass concentration on that sphere effect to your companion within close range (based on your Conjuration sphere caster level). You must have line of effect to the companion to do so. As long as the companion remains within close range, you may resume concentrating on the effect at any time as a swift action. A companion may not concentrate to maintain the effect that summoned it, nor on any effect to which it lacks line of effect. If the companion leaves close range, it may continue to concentrate on the effect, but you may not resume concentrating on it yourself. A mindless companion may not assume concentration of a sphere effect. Treat the companion’s Hit Dice as levels in a caster class for determining its bonus on concentration checks. If the companion does not have a casting ability modifier, use its Charisma to determine its concentration check bonus.<br><br>Hungry [Combat, Companion]<br><br>Prerequisites: Ravenous Companion, 10th caster level or higher.<br><br>Benefit: When your companion is grappling a creature, it may attempt to use its swallow whole ability as a free action. It gains a +2 competence bonus to CMB and CMD to make and resist grapple checks relating to the swallow whole ability.<br><br>Manifestation [Companion]<br><br>Prerequisites: Conjuration sphere, Shadow Creature.<br><br>Benefit: Your companion may manifest itself as a move action. While manifested, your companion takes full damage from attacks and magic originating from corporeal creatures and deals full damage with its attacks and magic against corporeal creatures. This does not affect your companion’s ability to deal damage to and receive damage from incorporeal creatures. Your companion may end this effect as a move action.<br><br>Variable Armaments [Companion]<br><br>Prerequisites: Conjuration sphere, Battle Creature or Shield Bearer, companion with 6 Hit Dice or greater.<br><br>Benefit: A companion that possesses Battle Creature or Shield Bearer may substitute the enhancement bonus to its weapon and shields granted by those talents for weapon special abilities available per the armorist bound equipment table. The weapon or shield must maintain at least a +1 enhancement bonus. Changing the selected special abilities requires an 8 hour ritual.<br><br>Variable Size [Companion]<br><br>Prerequisites: Conjuration sphere, Altered Size.<br><br>Benefit: As a standard action, you may suppress your companion’s Altered Size talent and Greater Altered Size advanced talent. The talent remains suppressed until you end this effect as a free action. Your companion must be within close range to begin or end this effect.<br><br>Venomous Blood [Companion]<br><br>Prerequisites: Conjuration sphere, Monstrous Attacks with poison option.<br><br>Benefit: Any creature that confirms a critical hit against your companion with a piercing or slashing melee weapon is sprayed with its poison (treat the poison as a contact poison for this application). Melee weapons with reach don’t endanger their users in this way.<br><br>Additionally, your companion can apply its poison to a weapon or natural attack by dipping it in its own blood as a swift action. This requires dealing 1d4 damage to itself as part of the swift action unless the companion suffers from an ongoing bleed effect or is below half its maximum hit points.<br><br>Venomous Focus [Companion]<br><br>Prerequisites: Conjuration sphere, Monstrous Attacks with poison option.<br><br>Benefit: Your companion gains a +1 bonus to the DC of its poison, increasing by +1 at 5 Hit Dice and every 5 Hit Dice thereafter, and the cure now requires an additional save.<br><br>Venomous Spit [Combat, Companion]<br><br>Prerequisites: Conjuration sphere, Monstrous Attacks with poison option.<br><br>Benefit: Your companion may spit its poison as a ranged touch attack with a range of 20 feet. Treat the poison as a contact poison for this feat.<br><br>Watchful Companion [Companion]<br><br>Prerequisites: Conjuration sphere, Greater Summoning, Lingering Companion.<br><br>Benefit: When summoned for 1 day, your companion does not disappear when you rest to regain spell points. When the 1 day duration is complete, you may pay the summoning cost again to renew the duration of the summon without your companion disappearing. Your companion may choose to wake you up as a free action as long as it is within long range.<br><br>Web Mastery [Combat, Companion]<br><br>Prerequisites: Conjuration sphere, Web Spinner.<br><br>Benefit: Your companion may use its web ability a number of times per minute equal to its Constitution modifier.<br><br>Additionally, as a full-round action, your companion may render a creature that is entangled by its web and within its reach helpless. Such a creature counts as being tied up, increasing the DC to escape to 20 + 1/2 of the companion’s Hit Dice + Constitution modifier. The helpless creature may still attempt Strength and Escape Artist checks to free themselves as normal.<br><br>//<br><br>Spheres of Power by Drop Dead Studios<br><br>Using Spheres of Power<br><br>Classes<br><br>Armorist<br>Elementalist<br>Eliciter<br>Fey Adept<br><br>Hedgewitch<br>Incanter<br>Mageknight<br>Shifter<br><br>Soul Weaver<br>Symbiat<br>Thaumaturge<br>Wraith<br><br>Prestige Classes<br><br>Bokor<br>Forest Lord<br>Magemage<br>Realmwalker<br><br>Tempestarii<br>Waking Sleeper<br><br>Spheres<br><br>Alteration<br>Blood<br>Conjuration<br>Creation<br><br>Dark<br>Death<br>Destruction<br>Divination<br><br>Enhancement<br>Fallen Fey<br>Fate<br>Illusion<br><br>Life<br>Light<br>Mana<br>Mind<br><br>Nature<br>Protection<br>Telekinesis<br>Time<br><br>War<br>Warp<br>Weather<br><br>Other Spheres<br><br>Bear<br>Technomancy<br><br>Rules<br><br>About Advanced Magic<br>Advanced Talents<br>Alternate Racial Traits<br>Casting Traditions<br><br>Incantations<br>Magical Items<br>Mythic Spheres<br>Rituals<br><br>Spellcrafting<br>Traits<br>Wild Magic<br>Sphere Bestiary<br><br>Equipment<br><br>Weapons<br>Armor<br>Equipment<br>Special Materials<br><br>Alchemical Items<br>Apparatuses (Metamagic)<br>Charms<br>Compounds<br><br>Fabled Items<br>Implements<br>Marvelous Items<br>Schematics<br><br>Scrolls<br>Spell Engines<br>Spellzones<br>Talent Crystals<br><br>Feats<br><br>Admixture<br>Anathema<br>Aristeia<br>Champion<br><br>Chance<br>Channeling<br>Combat<br>Companion<br><br>Counterspell<br>Damnation<br>Drawback<br>Extra<br><br>General<br>Item Creation<br>Metamagic<br>Necrosis<br><br>Plague<br>Protokinesis<br>Proxy<br>Purring<br><br>Racial<br>Ritual<br>Squadron<br>Surreal<br><br>Teamwork<br>Theurge<br>Wild Magic<br><br>Get Ultimate Spheres of Power<br>Get the Original RulebookU<br><br>Get Expanded OptionsU<br>Get Expanded Options 2<br><br>Alteration HandbookU<br>Conjuration HandbookU<br>Creation HandbookU<br>Dark HandbookU<br><br>Death HandbookU<br>Destruction HandbookU<br>Divination HandbookU<br>Enhancement HandbookU<br><br>Fate HandbookU<br>Illusion HandbookU<br>Life HandbookU<br>Light HandbookU<br><br>Mind HandbookU<br>Nature HandbookU<br>Protection HandbookU<br>Telekinesis HandbookU<br><br>Time HandbookU<br>War HandbookU<br>Warp HandbookU<br>Weather HandbookU<br><br>Spheres Apocrypha<br><br>Apex Shifter<br>Casting Traditions<br>Casting Traditions 2<br>Cognition Talents<br><br>Cohorts and Companions<br>Dark ApocryphaU<br>Debilitating Talents 2<br>Destruction ApocryphaU<br><br>Light ApocryphaU<br>Nature (Air) PackageU<br>Nature (Earth) ApocryphaU<br>Nature (Fire) ApocryphaU<br><br>Nature (M/P/W) ApocryphaU<br>Nature (Spirit) ApocryphaU<br>Protokinesis ApocryphaU<br>Sidhe Court<br><br>Other Spheres Products<br><br>Archetypes of PowerU<br>Archetypes of Power 2<br>The Bear Sphere<br>The Blood SphereU<br><br>Blood and Portents<br>Compounds of Power<br>The Conqueror's Handbook<br>The Fallen Fey SphereU<br><br>Initiate's Handbook<br>Items of PowerU<br>The Jester's Handbook<br>Mythic Spheres of Power<br><br>The Technomancy Sphere<br>Treasures of the Spheres<br>Treasures: Weapons and Tools<br>The Wraith ClassU<br><br>Wild Magic<br>Woodfaring Adventures<br>Worlds of Power<br>The Youxia's Handbook<br><br>Bestiary: Fey and Feyfolk<br>The High Magic Handbook<br>Realmwalker's Handbook<br>Bestiary: Fiends of the Cosmos<br><br>Adventures<br><br>Wreckage to Deliverance<br>Wreckage to Deliverance Player's Guide<br><br>U: Part of Ultimate Spheres of Power and does not need to be bought separately from that book<br><br>window['nitroAds'].createAd('wad-tier3-below-content', {<br>"refreshTime": 30,<br>"renderVisibleOnly": false,<br>"refreshVisibleOnly": true,<br>"sizes": [ [ 300, 250 ] ],<br>"report": {<br>"enabled": true,<br>"wording": "Report Ad",<br>"position": "bottom-right"<br>}<br>});<br><br>$j( function(){<br><br>if(isUAMobile && screen.width 600) {<br>var $o = $j('<br>');<br>$j('body').append($o);<br>$j('body').css('margin-bottom', '200px');<br><br>var res = function(){<br>$o = $j('#wad-tier3-mobile-anchor');<br>if($o.length > 0){<br>$o.show();<br>var $w = $j(window);<br>var scale = $w.width() / 320;<br>$o.css('transform', 'scale('+scale+')');<br>} else {<br>$o.hide();<br>}<br>}<br><br>res();<br>setInterval(res, 1000);<br><br>window['nitroAds'].createAd('wad-tier3-mobile-anchor', {<br>"refreshLimit": 1,<br>"refreshTime": 30,<br>"renderVisibleOnly": false,<br>"refreshVisibleOnly": true,<br>"format": "display",<br>"sizes": [ [ 320, 50 ] ],<br>"report": {<br>"enabled": true,<br>"wording": "Report Ad",<br>"position": "bottom-right"<br>}<br>});<br>}<br>});			Spheres of Power/Might (Drop Dead Studios)	
Arcane Grip (Combat, Counterspell)	Combat, Counterspell	spheres	Counterspell, Improved Grapple.	When initiating a grapple, you may use the Counterspell feat as a free action. Resolve the counterspell attempt prior to applying the effects of freedom of movement, the Freedom word of the Fate sphere, and similar effects. Additionally, you are always entitled to attempt a Spellcraft check to identify such an effect on a creature within your reach as a free action.			Spheres of Power/Might (Drop Dead Studios)	
Bargainer’s Counterspell (Counterspell)	Counterspell	spheres	Improved Counterspell	Whenever you successfully counterspell 2 or more effects created by a single creature as part of a single counterspell attempt, you may divide the dispelled effects into two groups of any size. The caster selects which of the two groups are successfully dispelled and which remain active. If you do this, you are refunded one spell point used in the counterspell (to a minimum of 1 point).		If you have the Improved Negation talent you may use that talent to meet the prerequisites of this feat in place of Improved Counterspell, and you may use the effects of this feat with effects counterspelled using Improved Negation.<br><br>Source: Card Casting 2: Counters and Control	Card Casting 2: Counters and Control [3PP]	
Counterspell (Counterspell)	Counterspell	spheres	Casting class feature, magic skill bonus +5.	You may spend a spell point as a standard action to dispel an existing magical effect on a creature, item, or location within medium range. You may target a specific effect if you have identified it, otherwise the effect with the highest caster level on the target is automatically targeted. Alternatively, you may ready an action to use this ability to counter a spell or magical effect cast by another. In both cases, you must succeed at a magic skill check against the caster or magical effect in question. If you succeed then the targeted effect is destroyed.<br><br>If you target a magic item, the item is not destroyed; instead the item’s magical properties are suppressed for 1d4 rounds, after which the item recovers its magical properties. A suppressed item becomes nonmagical for the duration of the effect. An interdimensional opening (such as a bag of holding) is temporarily closed. A magic item’s physical properties are unchanged; a suppressed magic sword is still a sword (a masterwork sword, in fact). Artifacts and deities are unaffected by mortal magic such as this.<br><br>This is treated as a sphere effect, and it is subject to all rules as a sphere ability, is affected by the caster’s casting tradition, and can itself be countered by another caster.			Spheres of Power/Might (Drop Dead Studios)	
Counterspell, Improved (Counterspell)	Counterspell	spheres	Casting class feature, Counterspell, magic skill bonus +10.	When using the Counterspell feat against a creature or object, you may spend an additional spell point to target an additional 1 magical effect on the target per 5 caster levels. Alternatively, you may spend an additional spell point to affect multiple effects in a 20-foot burst. Roll one magical skill check and apply that check to each creature in the area, as if targeted by the basic Counterspell feat. Objects that are the target of magical effects are also targeted by this ability, but magic items are not.<br><br>For each ongoing effect that targets an area and whose point of origin is within the counterspell area, apply your magical skill check to end that effect. If a magical effect overlaps the counterspell area but is not centered within it, apply your magical skill check to end that effect, but only within the overlapping area.<br><br>If an object or creature within the area of effect is the result of ongoing magic (such as a summoned monster or companion, or an object created through the Creation sphere), apply the magical skill check against the spell or effect that summoned them, causing them to disappear (or return to their home plane) if successful.			Spheres of Power/Might (Drop Dead Studios)	
Counterspell, Greater (Counterspell)	Counterspell	spheres	Casting class feature, Counterspell, Improved Counterspell, magic skill bonus +15.	When using the Counterspell feat, you may spend 2 additional spell points to target all magic within a 40-foot radius burst, whether it be magical effects or magic items. If your check succeeds against a magic item, that item’s magic is suppressed for 1 minute per caster level. If your check succeeds against a magical effect, the effect is destroyed. You also have a 1% chance per caster level of destroying an antimagic field. If the antimagic field survives the greater counterspell, no items within it are affected.<br><br>You may also spend the 2 additional spell points, but only target a single item. You attempt your magical skill check with a +5 bonus against this item. If you succeed, the item is permanently destroyed. Even artifacts are subject to this effect, though there is only a 1% chance per caster level of actually affecting such powerful items. If successful, the artifact’s power unravels, and it is destroyed. If an artifact is destroyed, you must succeed at a DC 25 Will save or permanently lose all spellcasting abilities. These abilities cannot be recovered by mortal magic, not even miracle or wish. Destroying artifacts is a dangerous business, and it is 95% likely to attract the attention of some powerful being who has an interest in or connection with the device.			Spheres of Power/Might (Drop Dead Studios)	
Counterspell Mastery (Counterspell)	Counterspell	spheres	Counterspell, magic skill bonus +7.	You may perform a counterspell as an immediate action by spending an additional spell point. You may only use a counterspell in this fashion when using it to counter an effect while it is being cast i.e., you cannot use this ability to dispel effects already in place or suppress magic items. You gain a +2 bonus to magical skill checks made when using the Counterspell feat.			Spheres of Power/Might (Drop Dead Studios)	
Counterspelling Strike (Combat, Counterspell)	Combat, Counterspell	spheres	Counterspell, casting class feature, magic skill bonus +5.	Whenever you strike a target with a weapon attack, you may spend a spell point as an immediate action to attempt to dispel an existing magical effect on the target using your Counterspell ability, or multiple effects with your Improved or Greater Counterspell ability.			Spheres of Power/Might (Drop Dead Studios)	
Dispelling Admixture (Admixture, Counterspell)	Admixture, Counterspell	spheres	Destruction sphere (Admixture), Counterspell	When using Admixture, you may spend an additional spell point to affect one target damaged by the destructive blast with the counterspell feat in place of a second blast type. If you possess the Improved Counterspell feat, you may pay an additional spell point to target one additional effect on the target per 5 caster levels or counterspell a single effect on each target damaged. If you possess the Greater Counterspell feat, you may pay two additional spell points to target all effects on each target damaged.<br><br>Source: Card Casting 2: Counters and Control			Card Casting 2: Counters and Control [3PP]	
Dominant Counterspell (Counterspell)	Counterspell	spheres	Telekinesis sphere, Counterspell.	When you successfully counterspell a non-instantaneous magical effect which is not targeting a creature or object (such as a Protection sphere barrier, a Warp sphere looped space, or a Destructive sphere energy sphere), instead of ending the effect, you may spend a spell point to lift and move the effect as per the Telekinesis sphere. You may not Bludgeon using a spell effect, although you may move it or affect it with sustained force. You may spend a spell point when you dismiss a sphere effect to affect it with this feat as if you had successfully counterspelled it.			Spheres Apocrypha: Battlefield Manipulation Talents [Apoc]	
Draining Surge (Counterspell)	Counterspell	spheres	Counterspell, casting class feature, magic skill bonus +5.	When you attempt a magic skill check to counterspell, you may roll twice and take the higher result. If you do, you take 1d6 points of nonlethal damage for every 2 character levels you possess. This damage cannot be healed by any means except rest and bypasses immunity to nonlethal damage. If you possess the Draining Casting drawback, the damage is reduced from 1d6 per 2 levels to 1d4 per 2 levels.			Spheres of Power/Might (Drop Dead Studios) [Cata. HB]	
Fool’s Counterspell (Counterspell)	Counterspell	spheres	Illusion sphere or Mind sphere; Counterspell.	When you successfully counter a spell, the caster must succeed at a Will save equal to your Illusion sphere DC or Mind sphere DC (whichever is greater), or believe the spell had its intended effect, even if they would otherwise be aware of its failure. Treat this effect as a figment with a duration equal to the countered spell, and use the rules for interacting with and investigating figments.			Spheres of Power/Might (Drop Dead Studios)	
Hacking Counterspell (Champion, Counterspell)	Champion, Counterspell	spheres	Spellhacking sphere, Counterspell, casting class feature, magic skill bonus +5.	Whenever you successfully counterspell a magical effect, you may apply a (hack) talent that you know to the effect rather than dispelling it. If you counterspell multiple effects at once, you must spend an additional spell point and apply the same (hack) to all of them. If you have the ability to counter technological effects and apply (hack) talents to them, you may use this feat on technological effects.			Arcforge Players Compendium [LG]	
Harmonic Counter		spheres	Counterspell.	You can counterspell effects which were created with the Alien Source at no penalty. Your abilities that would suppress magic (such as such as the Spell Ward and Anti-Magic Aura effects of the Protection sphere) function normally against all magic effects regardless of source. In addition, you can attempt to use any of your Counterspell feats or other magic-negating abilities on technological equipment as if it were magical equipment. Treat a technological item’s MSD as if it were the item’s Craft DC -5 (or 11 + the item’s level if using Starfinder equipment).			Spheres of Power/Might (Drop Dead Studios) [S&P]	
Harmonic Counter (Counterspell) (Updated)	Counterspell	spheres	Tinker sphere (Disruption Set (gizmo)) or Counterspell.	Whenever you use Countergizmo battery use, you may affect magic effects in the area or on the target as per Counterspell, using your gizmo penetration check in place of your MSB. If you have the Advanced Arsenal legendary talent, this improves to Improved Counterspell if you use an Improved Countergizmo battery use and Greater Counterspell if you use a Greater Countergizmo battery use.<br><br>When you use Counterspell, you may affect gizmos in the area or on the target as per a Countergizmo, using your MSB in place of your gizmo penetration check. This improves to affecting them as per an Improved Countergizmo if you use Improved Counterspell on a single target or a Greater Countergizmo if you use Greater Counterspell.<br><br>You can counterspell effects which were created with the Alien Source at no penalty. Your abilities that would suppress magic (such as such as the Spell Ward and Antimagic Aura effects of the Protection sphere) function normally against all magic effects regardless of source. In addition, you can attempt to use any of your Counterspell feats or other magic-negating abilities on technological equipment from outside the Tinker sphere as if it were magical equipment. Treat such a technological item’s MSD as if it were the item’s Craft DC -5.			Arcforge Players Compendium<br><br>The following version of Harmonic Counter was updated to function with the Tinker sphere. [LG]	
Imperious Counterspell (Counterspell)	Counterspell	spheres	Counterspell	Whenever you would successfully dispel one or more subordinates (such as Conjuration sphere companions, animated objects, or reanimated undead), you may spend an additional spell point to cause all creatures you have successfully dispelled to instead become loyal to you for the effects’ remaining duration. If the target subordinate remains active through concentration, you must concentrate on them to keep their effect active. Subordinates are allowed a Will saving throw once per minute (DC 10 + ½ your MSB + your casting ability modifier) to break free of your control, being dispelled normally on a successful saving throw.<br><br>Source: Card Casting 2: Counters and Control			Card Casting 2: Counters and Control [3PP]	
Magician’s Trade (Counterspell)	Counterspell	spheres	Enhancement sphere, Counterspell.	Whenever you use Counterspell, you may end an enhancement affecting yourself to increase the number of magical effects you may end with Counterspell by one. There is no limit on the number of enhancements you may cancel to improve your Counterspell; however, you may only use enhancements you created yourself to fuel this feat that are not maintained through concentration.			Spheres of Power/Might (Drop Dead Studios)	
Saboteur’s Reclamation		spheres	Counterspell, Base Attack Bonus +6	Whenever you destroy a magic item or the physical form of a sphere effect created using the Substantial Magic drawback (or similar drawbacks) by sundering it, you may spend an immediate action to be considered to have dispelled the effects of that item or the corresponding sphere effect for the purpose of any feats you have that use Counterspell as a prerequisite (for example, if you possess the Spellthief feat and destroy an item that provides a constant shapeshift, you may apply the shapeshift to yourself). If the destroyed item possesses a constant effect, the stolen effect lasts for 1 minute per caster level of the original effect.			Baron’s Glorious Arena [Combat, Counterspell]	
Prepared Counter (Counterspell)	Counterspell	spheres	Counterspell, casting class feature, magic skill bonus +5.	When you ready an action to use Counterspell, you may choose to limit your counterspell against a single sphere. You may only utilize your counterspell against sphere effects created with that sphere, or that utilize a dual-sphere feat related to that sphere. If you choose to limit your counterspell, you can choose to either reduce the spell point cost of your counterspell by 1 (minimum 0), or to roll twice and take the higher result on dispel attempts.			Spheres of Power/Might (Drop Dead Studios) [Archmagi's HB]	
Specialized Wipe (Counterspell)	Counterspell	spheres	Improved Counterspell	Whenever you use an area dispel with Improved Counterspell or Greater Counterspell, you may choose to only dispel effects from a single magic sphere or school of magic. If you do, the radius of the area dispel is doubled.<br><br>Source: Card Casting 2: Counters and Control			Card Casting 2: Counters and Control [3PP]	
Spell Absorption (Combat, Counterspell)	Combat, Counterspell	spheres	Guardian sphere (Cold Iron Call, Defend Other), Counterspell, Counterspell Mastery, magic skill bonus +7.	When counterspelling an effect that would affect you and only you, you may roll twice and take the higher result on the magic skill check to counterspell. If you fail, you take a -2 penalty on your AC, spell resistance, and saving throws against the effect. When using Defend Other to redirect a spell from an ally to yourself, you may spend 2 spell points to attempt to Counterspell the effect as part of the action to use Defend Other.			Spheres of Power/Might (Drop Dead Studios) [DbH]	
Spellthief (Counterspell)	Counterspell	spheres	Counterspell.	Whenever you successfully counterspell an effect that targets a creature or object, you may instead choose to reassign the effect’s targets. If you do so, you immediately take over concentration for the original caster (if the effect requires concentration), and the original caster cannot choose to prematurely end the effect.			Spheres of Power/Might (Drop Dead Studios)	
Suppressive Counterspell (Counterspell)	Counterspell	spheres	Counterspell, casting class feature, magic skill bonus +7.	Whenever you perform a counterspell, you may choose to affect the target or targets with a magical suppression rather than a normal counterspell effect. Creatures affected by a magical suppression must spend an additional spell point to create a magical effect or else the effect fails. A magical suppression lasts for 1 round.<br><br>As part of suppressing a target, you may suppress a single drawback worth no more than a single drawback that the target possesses. A creature with a suppressed drawback is not considered to have that drawback when casting but cannot benefit from any boons or drawback feats which rely on that drawback so long as the drawback is suppressed.<br><br>Author's Note: Vancian casters would have to spend an additional spell slot/prepared spell of equal level to create an effect. Suppressing a drawback could suppress a somatic, verbal, emotion, thought, or focus component for a spell but would shut down any abilities explicitly tied to them (such as a bard’s Harmonic Spell continuing performance).			Spheres of Power/Might (Drop Dead Studios) [Cata. HB]	
